Index,Label,EU_English,US_English,EU_French,US_French,EU_German,EU_Italian,EU_Spanish,US_Spanish,JP_Japanese,KR_Korean,Turkish,Status,Notes
287,MissionStart003,"Defeat <Z> enemies in <X>:<Y>!
","Defeat <Z> enemies in <X>:<Y>!
","Battez <Z> ennemis
en <X>:<Y> !",Défaites <Z> adversaires en <X>:<Y>!,Besiege <Z> Gegner in <X>:<Y>!,"Sconfiggi <Z> nemici
in <X>:<Y>!","¡Hay que vencer a <Z>
enemigos en <X>:<Y>!",¡Derrota a <Z> enemigos en <X>:<Y>!,<X>'<Y>いないに　てきを「<Z>」たおそう！,"<X>분 <Y>초 안에
｢<Z>｣마리의 적을 쓰러뜨려 주세요!","<X>:<Y> içinde <Z> düşmanı yen!
",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
288,MissionStart004,Get Carrie to the throne in <X>:<Y>!,"Get Carrie to this spot in <X>:<Y>!
","Amenez Coquette au trône
en <X>:<Y> !","Transportez Coquette
à ce point en <X>:<Y>!","Bringe Huckepaula in
<X>:<Y> zum Thron!","Porta Pigretta sul trono in
<X>:<Y>!","¡Hay que llevar a Carguita
al trono en <X>:<Y>!","¡Lleva a Yevamé a este lugar
en <X>:<Y>!","<X>'<Y>いないに　しゃしんの　ばしょに
つれていって　あげよう！","<X>분 <Y>초 안에
사진의 장소로 데리고 가 주세요!","Carrie'yi <X>:<Y> içinde tahta
götür!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
289,MissionStart005,"Find everyone in <X>:<Y>!
","Find everyone in <X>:<Y>!
",Trouvez tout le monde en <X>:<Y> !,Trouvez tous vos amis en <X>:<Y>!,"Finde alle Suchmichs
in <X>:<Y>!",Trova tutti in <X>:<Y>!,"¡Hay que encontrar a todo
el mundo en <X>:<Y>!",¡Encuéntralos a todos en <X>:<Y>!,"<X>'<Y>いないに
おともだちを　みんなみつけよう！","<X>분 <Y>초 안에
친구를 모두 찾아 주세요!","<X>:<Y> içinde herkesi bul!
",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
290,MissionInfoLow001,Collect beads!,Collect beads!,Ramassez les perles !,Ramassez les perles!,Sammle Perlen!,Raccogli le perline!,¡Reúne cuentas!,¡Colecciona gemas!,ビーズを　あつめよう！,비즈를 모아 주세요!,Boncukları topla!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
291,MissionInfoLow002,"Get to the
goal first!","Get to the
goal first!","Atteignez l'arrivée
en premier !","Atteignez l'arrivée
en premier!","Erreiche das Ziel
als Erster!","Raggiungi il traguardo
per primo!","¡Alcanza la meta
en primer lugar!",¡Llega primero a la meta!,おともだちより　さきに　ゴールまでいこう！,친구보다 먼저 골인 지점에 도착해 주세요!,"Hedefe
ilk sen ulaş!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
292,MissionInfoLow003,Defeat the enemies!,Defeat the enemies!,Éliminez tous les ennemis !,Éliminez les ennemis!,Besiege die Gegner!,Sconfiggi i nemici!,¡Derrota a los enemigos!,¡Derrota a los enemigos!,てきを　たおそう！,적을 쓰러뜨려 주세요!,Düşmanları yen!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
293,MissionInfoLow004,"Arrive at the location below with
your companion in tow!","Arrive at the location below with
your companion in tow!","Atteignez cette destination
en compagnie de votre amie !","Atteignez cette destination
en compagnie de votre amie!","Erreicht gemeinsam den
unten abgebildeten Ort!","Raggiungi il luogo rappresentato qui
sotto insieme alla tua amica!","¡Visita en compañía el
lugar mostrado abajo!","¡Lleva a tu acompañante
al lugar de la foto!",しゃしんの　ばしょに　つれていって　あげよう！,사진의 장소로 데리고 가 주세요!,"Arkadaşını yanına alıp aşağıda
gösterilen konuma ulaş!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
294,MissionInfoLow005,Find all of your friends!,Find all of your friends!,Retrouvez tous vos amis !,Trouvez tous vos amis!,Finde all deine Freunde!,Trova tutti gli amici!,¡Encuentra a tus amigos!,¡Busca a tus amigos!,おともだちを　みんなみつけよう！,친구를 모두 찾아 주세요!,Tüm arkadaşlarını bul!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
295,MissionClear001,YOU COLLECTED <X> BEADS!,YOU COLLECTED <X> BEADS!,VOUS AVEZ RAMASSÉ <X> PERLES !,Vous avez ramassé <X> perles!,DU HAST <X> PERLEN GESAMMELT!,HAI RACCOLTO <X> PERLINE!,¡<X> cuentas recogidas!,¡Obtuviste <X> gemas!,ビーズを「<X>」コ　あつめたよ！,｢<X>｣개의 비즈를 모았어요!,<X> BONCUK TOPLADIN!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
296,MissionClear002,KIRBY WINS!,KIRBY WINS!,KIRBY A GAGNÉ !,Kirby a gagné!,KIRBY HAT GEWONNEN!,HA VINTO KIRBY!,¡Ha ganado Kirby!,¡Kirby ha ganado!,カービィのかち！,커비 승리!,KIRBY KAZANDI!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
297,MissionClear003,YOU DEFEATED <X> ENEMIES!,YOU DEFEATED <X> ENEMIES!,VOUS AVEZ BATTU <X> ENNEMIS !,Vous avez défait <X> adversaires!,DU HAST <X> GEGNER BESIEGT!,HAI SCONFITTO <X> NEMICI!,¡<X> enemigos vencidos!,¡Derrotaste a <X> enemigos!,てきを「<X>」たおしたよ！,｢<X>｣마리의 적을 쓰러뜨렸어요!,<X> DÜŞMAN YENDİN!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
298,MissionClear004,YOU DID IT! CONGRATS!,YOU DID IT! CONGRATS!,VOUS AVEZ RÉUSSI ! BRAVO !,Vous avez atteint l'arrivée!,DU HAST ES GESCHAFFT! GLÜCKWUNSCH!,CE L'HAI FATTA! GRANDE!,¡Habéis alcanzado el trono a tiempo!,¡Alcanzaste la meta! ¡Felicitaciones!,もくてきちに　たどりついた！,목적지에 도착했어요!,BAŞARDIN! TEBRİKLER!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
299,MissionClear005,YOU FOUND ALL OF YOUR FRIENDS!,YOU FOUND ALL OF YOUR FRIENDS!,VOUS AVEZ TROUVÉ TOUT LE MONDE !,Vous avez trouvé tous vos amis!,DU HAST ALLE SUCHMICHS GEFUNDEN!,HAI TROVATO TUTTI I TUOI AMICI!,¡Esquivín y sus amigos han sido descubiertos!,¡Los has encontrado a todos!,おともだちを　みんなみつけたよ！,친구를 모두 찾았어요!,TÜM ARKADAŞLARINI BULDUN!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
300,MissionFailTimeUp,TIME'S UP!,TIME'S UP!,TEMPS ÉCOULÉ !,Temps écoulé!,ZEIT ABGELAUFEN!,TEMPO SCADUTO!,¡Tiempo!,¡Tiempo!,じかんぎれ,시간 초과!,SÜRE DOLDU!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
301,MissionFailLoseRace,TOO BAD!,TOO BAD!,PAS DE CHANCE !,Désolé!,SCHADE!,HAI PERSO!,¡Mejor suerte la próxima vez!,¡Lástima!,おともだちのかち,친구 승리!,OLMADI!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
302,MissionMessage000,Ready to play?,Ready to play?,Commencer ce jeu ?,Commencer ce jeu?,Spiel beginnen?,Vuoi cominciare a giocare?,¿Comenzar a jugar?,¿Comenzar a jugar?,あそびますか？,플레이할까요?,Oynamaya hazır mısın?,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
303,MissionMessage0301,"Clear <X>
to play this!","Clear <X>
to play this!","Terminez <X>
pour débloquer ce jeu !","Réussissez <X>
pour jouer ici!","Erst verfügbar, wenn du
folgenden Level abschließt:
<X>","Completa <X>
per sbloccare questo livello!","Para jugar aquí, es necesario
completar la fase
<X>.","¡Completa este nivel
para poder jugar aquí!
<X>","<X>を
クリアすると　あそべるよ","<X> 스테이지를
클리어하면 플레이할 수 있어요!","Bunu oynamak için
<X> bölümünü tamamla!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
304,MissionMessage0302,<X>:<Y>.<Z>,<X>:<Y>.<Z>,"<X>:<Y>,<Z>","<X>:<Y>,<Z>","<X>:<Y>,<Z>","<X>:<Y>,<Z>","<X>:<Y>,<Z>",<X>:<Y>.<Z>,<X>'<Y>''<Z>,<X>:<Y>.<Z>,<X>:<Y>.<Z>,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
305,WipeMessage0003,"You have enough beads to
expand the apartment building! ","You have enough beads to
expand the apartment building! ","Vous avez assez de perles pour
agrandir le Loyer douillet !","Tu as obtenu assez de perles pour
agrandir le bloc appartement!","Sie haben genug Perlen für ein
neues Stockwerk gesammelt!","Hai abbastanza perline per
ingrandire il residence!","¡Ya tiene las cuentas necesarias
para añadir otra planta al edificio!","¡Ahora tienes gemas suficientes
para añadir nuevos apartamentos!","マンションを　おおきくできるだけの
ビーズが　あつまりましたぞ！","건물을 올릴 정도의
비즈를 모으신 것 같습니다요!","Apartmanı büyütmeye yetecek
kadar boncuğun var!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
306,WipeMessage0004,"I would like to introduce you to my
brothers! Come back and see me!","I would like to introduce you to my
brothers! Come back and see me!","Je voudrais vous présenter à mes
frères ! Venez me voir plus tard !","Je voudrais vous présenter mes
frères! Revenez et venez me voir!","Ich würde Ihnen gerne meine
Brüder vorstellen. Bis bald!","Vorrei presentarti ai miei cugini!
Torna presto a farmi visita!","¡Me gustaría presentarle a mis
hermanos! ¡Vuelva pronto!","¡Quiero presentarle a mis hermanos!
¿Por qué no vuelve a visitarme?","おとうとたちを　しょうかいしたいので
キルトのまちに　きていただけませぬか？","동생들을 소개해 드릴 테니
퀼트 거리로 오시면 감사하겠습니다요!","Seni kardeşlerimle tanıştırmak
istiyorum! Yanıma uğra!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
307,WipeMessage0100,"Hey, Kirby! I'm thinking about going
to yours. Will you be home soon?","Kirby, I've come over to play! Oh,
this is such a neat-looking room!","Kirby, je vais passer te voir.
Tu seras chez toi ?","Kirby, je suis venue pour jouer!
Quelle pièce... originale!","Kirby, sollen wir uns bei dir
treffen? Dann komm nach Hause!","Ciao Kirby! Pensavo di farti una
visitina. Sei a casa?","¿Te apetece que juguemos juntos, 
Kirby? ¡Te espero en tu casa!","¡Kirby, ven a jugar conmigo!
¡Oh, que habitación tan linda!","あそびに　きたよ
カッコイイ　へやだね","나 놀러 왔어.
와! 정말 멋진 집인걸?","Hey Kirby! Sana uğrayacağım.
Yakında evde misin?",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
308,WipeMessage0101,"Kirby, can I come over to yours?
It'd be nice to pop in and say hi!","Kirby, I've come over to play!
Oh, this room is so classy!","Kirby, je vais passer te dire
bonjour. Tu me rejoins chez toi ?","Kirby, je suis venue pour jouer!
C'est vraiment chic, ici!","Kirby, ich möchte dich besuchen.
Kommst du bald nach Hause?","Kirby, possiamo vederci a casa tua?
Ho voglia di fare due chiacchiere!","Kirby, había pensado acercarme
a tu casa. ¡A ver quién llega antes!","¡Kirby, ven a jugar conmigo!
¡Qué habitación tan elegante!","あそびに　きましたわ
すてきな　へやだこと","잠깐 놀러 왔어요!
어머! 정말 판타스틱한 집이네요!","Kirby, sana gelebilir miyim?
Uğrayıp selam vermek güzel olur!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
309,WipeMessage0102,"Kirby, are you going back to your
flat soon? I'll come over and visit!","Kirby, I've come over to play!
Oh, this room is so fun!","Kirby, j'ai envie de passer chez toi.
Tu m'y retrouves ?","Kirby, je suis venu chez toi pour jouer!
Cette chambre est amusante!","Mir ist langweilig, Kirby. Komm in
deine Wohnung, ich komme auch.","Kirby, quando torni a casa?
Vorrei venire a trovarti!","¡Kirby, quiero comprobar si tu casa
es un buen escondite! ¿Te vienes?","¡Kirby, ven a jugar conmigo!
¡Qué habitación tan juvenil!","あそびにきたぞ！
たのしい　へやだな！","나 놀러 왔어!
여긴 사랑스러워 보이는 집이구나!","Kirby, yakında dairene dönecek
misin? Seni ziyarete geleceğim!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
310,WipeMessage0103,"Can we meet up at your flat, Kirby?
I bet it would be super duper fun!","Kirby, I've come over to play!
This room is so cute! I love it!","Kirby, tu es chez toi ? Je vais
passer prendre de tes nouvelles.","Kirby, je suis venue pour jouer!
Tout est mignon, ici!","Mir ist langweilig, Kirby. Treffen
wir uns in deiner Wohnung?","Ehilà Kirby, hai da fare?
Perché non ci vediamo da te?","¡He oído que te ha quedado el
piso de lujo, Kirby! ¡Voy a verlo!","¡Kirby, ven a jugar conmigo!
¡Qué habitación tan bonita!","あそびに　きたわよ
カワイイへやね","안녕? 놀러 왔어.
집이 너무 귀엽다!","Kirby, dairende buluşalım mı?
Çok ama çok eğlenceli olur!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
311,WipeMessage0104,"Hey, bro! Wanna meet up at your
place? It'd be great to hang out!","Kirby, I've come over to play!
This room is so stylish!","Kirby, je voulais te rendre visite.
On se retrouve chez toi ?","Kirby, je suis venu chez toi pour jouer!
Quelle pièce... élégante!","Deine Wohnung soll so toll sein,
Kirby! Sollen wir uns dort treffen?","Ehi, amico! Sto per passare da casa
tua. Ti trovo lì?","¡Kirby, me voy a pasar por tu casa!
¿Quieres que entrenemos juntos?","¡Kirby, ven a jugar conmigo!
¡Esta habitación tiene mucho estilo!","あそびにきたでござる
しぶい　いいへやで　ござるな","제가 놀러 왔습니다.
감각적이고 멋진 집이군요.","Hey dostum! Senin evde buluşalım mı?
Birlikte takılmak harika olur!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
312,WipeMessage0200,"There's a new bead-collecting
stage to try out! Let's go!","There's a new bead-collecting
stage that opened up! Let's go!","On peut ramasser des perles dans
un nouveau stage ! On y va ?","Vous pouvez ramasser des perles
dans un nouveau niveau! Allez-y!","Es gibt einen neuen Level für
Perlensammler. Auf geht's!","Hai sbloccato un nuovo livello di
Caccia alla perlina! Andiamo!","¡Qué bien! ¡Ahora podemos recoger 
cuentas en una nueva fase!","¡Ahora puedes entrar en un nuevo
nivel para buscar gemas! ¡Genial!","あたらしいところへ
ビーズをあつめに　いけるように　なったよ","새로운 장소에서
비즈를 모을 수 있게 됐어!","Yeni bir boncuk toplama bölümü
açıldı! Hadi gidelim!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
313,WipeMessage0201,"It looks like a brand-new racing
stage has opened up! Come on!","It looks like a brand-new racing
stage has opened up! Come on!","Super, une nouvelle course est
disponible ! C'est quand tu veux !","On dirait qu'un nouveau niveau
de course vient d'ouvrir!","Es gibt einen brandneuen Level mit
einem Rennen. Auf geht's!","Hai sbloccato un nuovo livello di
Maratona! Andiamo!","¡Ahora podemos echar una carrera
en una nueva fase! ¡Vamos, vamos!","¡Ahora puedes entrar en un nuevo
nivel para jugar carreras!","あたらしいところで
きょうそうできるように　なりましたわ","새로운 장소에서
레이스할 수 있게 되었어요!","Yepyeni bir yarış bölümü
açılmış gibi! Hadi!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
314,WipeMessage0202,"Hey, Kirby! You can go into a
brand-new hide-and-seek stage! ","Hey, Kirby! You can go into a
brand-new hide-and-seek stage! ","Hé, Kirby ! Un cache-cache dans
un nouveau stage, ça te tente ?","Hé, Kirby! Tu peux aller à ce nouveau
niveau pour jouer à la cachette!","Hey, es gibt einen neuen Level
für Versteckspieler. Auf geht's!","Kirby! Ora è disponibile un nuovo
livello di Nascondino!","¡Ahora podemos jugar al escondite 
en una nueva fase! ¡A divertirse!","¡Kirby! ¡Ahora puedes jugar a las
escondidas en un nuevo nivel!","あたらしいところで
かくれんぼを　できるように　なったぞ","새로운 장소에서
숨바꼭질하고 놀 수 있게 됐어!","Hey Kirby! Yepyeni bir saklambaç
bölümüne girebilirsin!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
315,WipeMessage0203,"You can go out on a new stage!
Go and have some fun out there!","You can go out on a new stage!
Go and have some fun out there!","On peut aller se promener dans un
nouveau stage ! J'ai hâte d'y être !","Vous pouvez explorer un nouveau
niveau! Amusez-vous!","Es gibt einen neuen Level. Viel
Spaß bei der Erkundung!","È disponibile un nuovo livello!
Dai, ci sarà da divertirsi!","¡Ahora podemos recorrer una
nueva fase! ¡A buscar el trono!","¡Ahora puedes ir a un nuevo nivel!
¿Por qué no vas a verlo?","あたらしいところに
おでかけ　できるように　なったわ","새로운 장소에서
산책할 수 있게 되었어!","Yeni bir gezi bölümü açıldı!
Git ve biraz eğlen!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
316,WipeMessage0204,"Yo, Kirby! Looks like we can try
out a brand-new training stage!","Yo, Kirby! Looks like we can try
out a brand-new training stage!","Kirby ! Un nouveau stage génial est
disponible pour ton entraînement !","Kirby! Tu peux aller à ce nouveau
niveau pour t'entraîner!","Hey, wir können einen neuen Level
für unser Training ausprobieren.","Ehi, Kirby! Ho sentito che possiamo
allenarci in un nuovo livello!","¡Ahora podemos entrenar en una
nueva fase! ¿A qué esperamos?","¡Oye, Kirby! ¡Ahora puedes entrar
en un nivel nuevo para practicar!","あたらしいところで
しゅぎょうを　できるように　なったでござる","새로운 장소에서
트레이닝할 수 있게 되었습니다.","Hey Kirby! Yepyeni bir antrenman
bölümünü deneyebiliriz!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
317,WipeMessage0300,"New items are now on sale! Come
and check them out when you can!","New items are now on sale! Come
check them out when you can!","Nous avons de nouveaux articles
en stock ! Passez donc nous voir !","Nous avons reçu de la
nouvelle marchandise!","Neue Items stehen zum Verkauf!
Schau mal rein, wenn du Zeit hast.","Ci sono nuovi articoli in vendita!
Passa a vederli quando hai tempo!","¡Tengo nuevos artículos! ¡Que venga
a mi tienda quien quiera verlos!","¡Ahora puedes comprar nuevos
objetos! ¡Ven a verlos!","あたらしいインテリアを
うりだしたのであーる",새로운 상품이 가게에 들어왔슴다!,"Yeni eşyalar satışta!
Fırsat bulunca göz at!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
318,WipeMessage0400,Well done! You completed <X>!,Nice job! You completed <X>!,"Bien joué ! Vous avez complété
la catégorie <X> !","Bravo! Vous avez complété
la catégorie qui dit : <X>.","Gut gemacht!
Jetzt komplett: <X>.",Collezione di <X> completata!,"Colección completada: <X>.
¡Buen trabajo!","¡Muy bien! ¡Has completado
la puerta de <X>! ",<X>を　コンプリートしましたぞ！,<X> 모두를 모으셨습니다요!,Aferin! <X> tamamlandı!,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
319,WipeMessage0500,"You've met someone
via StreetPass!",You've got a new StreetPass!,"Vous avez fait une rencontre
via StreetPass !","Kirby, tu as fait une nouvelle
rencontre via StreetPass!","Du hast jemanden über
StreetPass getroffen!","Hai ottenuto un nuovo
risultato tramite StreetPass!","¡Te has cruzado con alguien
a través de StreetPass!","¡Te has encontrado con alguien
a través de StreetPass!",すれちがいのしんちゃくがありますぞ！,"엇갈림 통신으로 모델 하우스에
새로운 집이 도착했습니다요!","StreetPass üzerinden
biriyle karşılaştın!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
320,WipeMessage0501,"Hey, you unlocked a new stage
in Slash & Bead!","Kirby! You unlocked a new
stage in Slash & Bead!","Vous avez déverrouillé un nouveau
stage de Meta Knight taillade !","Vous avez déverrouillé un nouveau
niveau de Meta Knight taillade!","Cool, du hast einen neuen Level von
„Meta-Knights Schlacht“ freigeschaltet!","Evvai! Hai sbloccato un nuovo
livello di ""Meta Knight tritatutto""!","¡Has desbloqueado una nueva
fase de ""Meta Knight desatado""!","¡Desbloqueaste un nuevo nivel
de Meta Knight desatado!","「メタナイトスラッシュ」の　あたらしい
ステージが　あそべるようになったよ","｢메타 나이트 슬래시｣의 새로운
스테이지를 플레이할 수 있게 되었어!","Slash & Bead'de yeni bir
bölüm açtın!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
321,WipeMessage0502,"You've unlocked a new stage
in Dedede Gogogo, youngster!","It seems you've unlocked a
new stage, youngster!","Vous avez déverrouillé un nouveau
stage de DaDiDou déboule !","On dirait que t'as déverrouillé
un nouveau niveau, petit!","Wow, du hast einen neuen Level von
„Düsender Dedede“ freigeschaltet!","Grande! Hai sbloccato un nuovo
livello di ""Fila, Dedede, fila!"".","¡Ya puedes jugar una nueva
fase de ""Correcorre Dedede""!","¡Ya puedes jugar un nuevo nivel
de Correcorre Dedede, joven!","「デデデでドドド」の　あたらしい
ステージが　あそべるようになったよ","｢디디디로 고고고!｣의 새로운
스테이지를 플레이할 수 있게 되었어!","Dedede Gogogo'da yeni bir
bölüm açtın, genç dostum!",FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
322,BuildUpMessage0000,Hand over <MANSION_2F_BEAD> beads?,Hand over <MANSION_2F_BEAD> beads?,Donner <MANSION_2F_BEAD> perles ?,Remettre toutes les <MANSION_2F_BEAD> perles?,<MANSION_2F_BEAD> Perlen übergeben?,Vuoi dare <MANSION_2F_BEAD> perline a Phil?,"¿Darle <MANSION_2F_BEAD> cuentas
a Botonio Delana?",¿Quieres darle las <MANSION_2F_BEAD> gemas?,ビーズを<MANSION_2F_BEAD>コ　わたしますか？,<MANSION_2F_BEAD>개의 비즈를 줄까요?,<MANSION_2F_BEAD> boncuk verilsin mi?,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
323,BuildUpMessage0001,Hand over <MANSION_3F_BEAD> beads? ,Hand over <MANSION_3F_BEAD> beads? ,Donner <MANSION_3F_BEAD> perles ?,Remettre toutes les <MANSION_3F_BEAD> perles?,<MANSION_3F_BEAD> Perlen übergeben?,Vuoi dare <MANSION_3F_BEAD> perline a Phil?,"¿Darle <MANSION_3F_BEAD> cuentas
a Botonio Delana?",¿Quieres darle las <MANSION_3F_BEAD> gemas?,ビーズを<MANSION_3F_BEAD>コ　わたしますか？,<MANSION_3F_BEAD>개의 비즈를 줄까요?,<MANSION_3F_BEAD> boncuk verilsin mi? ,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
324,BuildUpMessage0100,Do it,Do it,Avec plaisir,Les remettre,Ja,Va bene,¡Claro!,¡Dáselas!,わたす,주기,Ver,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
325,BuildUpMessage0101,No way,No way,Hors de question,Pas question,Nein,Nemmeno per sogno,De eso nada,Claro que no,わたさない,주지 않기,Vazgeç,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
326,StageInfo0000,HIGH SCORE,HIGH SCORE,Record,Record,HIGHSCORE,RECORD,Récords,Récord,さいこうきろく,최고 기록,REKOR,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
327,StageInfo0001,Beads,Beads,Perles,Perles,Perlen,Perline,Cuentas,Gemas,ビーズ,비즈,Boncuklar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
328,StageInfo0002,Streak ,Streak ,Série,Série,Serie,Serie,Racha,Racha,チェイン,체인,Seri,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
329,StageInfo0003,Treasures,Treasures,Trésors,Trésors,Schätze,Tesori,Tesoros,Tesoros,たからもの,보물,Hazineler,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
330,StageInfo0004,Mats,Mats,Bases,Bases,Platten,Basi,Patrones,Patrones,プレート,매트,Plakalar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
331,StageInfo0100,{{CTRL|0001|0001|00CD}}: Confirm,{{CTRL|0001|0001|00CD}}: Confirm,{{CTRL|0001|0001|00CD}} Choisir,{{CTRL|0001|0001|00CD}} Choisir,{{CTRL|0001|0001|00CD}}: Auswahl,{{CTRL|0001|0001|00CD}} Scegli,{{CTRL|0001|0001|00CD}} Confirmar,{{CTRL|0001|0001|00CD}} Confirmar,{{CTRL|0001|0001|00CD}}：けってい,{{CTRL|0001|0001|00CD}}: 결정,{{CTRL|0001|0001|00CD}}: Onayla,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
332,StageInfo0101,{{CTRL|0001|0001|01CD}}: Back,{{CTRL|0001|0001|01CD}}: Back,{{CTRL|0001|0001|01CD}} Retour,{{CTRL|0001|0001|01CD}} Retour,{{CTRL|0001|0001|01CD}}: Zurück,{{CTRL|0001|0001|01CD}} Indietro,{{CTRL|0001|0001|01CD}} Atrás,{{CTRL|0001|0001|01CD}} Atrás,{{CTRL|0001|0001|01CD}}：もどる,{{CTRL|0001|0001|01CD}}: 뒤로,{{CTRL|0001|0001|01CD}}: Geri,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
333,CollectionNo0000,No. <X>,No. <X>,Nº <X>,N° <X>,Nr. <X>,Nº <X>,N.º <X>,N.°<X>,No.<X>,No. <X>,No. <X>,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
334,CollectionInfo001,?,?,?,?,?,?,(?),(?),？,?,?,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
335,SYS_YES,OK,Yes ,OK,Oui,O.K.,OK,Aceptar,Sí,はい,예,Tamam,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
336,SYS_NO,No ,No ,Annuler,Non,Nein,Annulla,Cancelar,No,いいえ,아니요,Hayır ,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
