Index,Label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Portuguese,EU_Russian,EU_Spanish,JP_Japanese,US_English,US_French,US_Portuguese,US_Spanish,Turkish,Source_Max_Lines,Source_Safe_Line_Units,Turkish_Lines,Turkish_Max_Line_Units,Fit_Status,Placeholder_Check,PUA_Glyph_Check,Translation_Note,Fit_Note
123,StgFace_FaceRecord_ Delete_WhichFace,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
124,StgFace_FaceRecord_ Delete_Stop,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
125,StgFace_FaceRecord_ Delete_Deleted,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
126,StgFace_ThankYou,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
127,StgFace_15,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
128,StgFace_SeqTitle_Record_Top,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
129,StgFace_SeqTitle_Record_Property,Gekozen gezicht:,Selected face,Visage choisi,Details,Faccia scelta,Cara selecionada,Выбранное лицо,Cara elegida,選ばれた顔,Selected Face,Visage choisi,Cara selecionada,Cara elegida,Seçili yüz,1,14.6,1,8.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
130,StgFace_SeqTitle_Record_CollectionDate,Ontmoet op:,Date Met,Première rencontre,Zuerst aufgetaucht:,Data di incontro,Primeiro Encontro,Встречено,Primer encuentro,出会った日,Met On,Première rencontre,Primeiro encontro,Primer encuentro,Tanışma tarihi,1,18.05,1,12.35,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
131,StgFace_SeqTitle_Record_Appearance,Gekozen:,Times chosen,Sélections,Bisherige Auftritte:,Numero di apparizioni,Vezes escolhida,Выбиралось,Veces seleccionada,選ばれた回数,Appearances,Sélections,Aparições,Veces seleccionada,Seçilme sayısı,1,18.4,1,11.9,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
132,StgFace_SeqTitle_Record_AppearanceData,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
133,StgFace_SeqTitle_Record_NotLike,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
134,StgFace_SeqTitle_Record_Expressive_Laugh,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
135,StgFace_SeqTitle_Record_Expressive_Cry,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
136,StgFace_SeqTitle_Record_Expressive_Angry,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
137,StgFace_SeqTitle_Record_Expressive,Uitdrukking,Expression,Expression,Grimasse,Espressione,Expressão,Выражение,Expresiones,次の表情に,Expression,Expression,Expressão,Expresiones,İfade,1,10.55,1,4.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
138,StgFace_SeqTitle_Record_Delete_Top,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
139,StgFace_SeqTitle_Record_Delete,Wissen,Delete,Effacer,Löschen,Cancella,Apagar,Удалить,Borrar,消去,Delete,Effacer,Deletar,Borrar,Sil,1,7.1,1,2.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
140,StgFace_SeqTitle_Record_Adjust_Top,Aanpassen,Adjust,Ajuster,Zuschneiden,Modifica,Ajustar,Подогнать,Ajustar,位置あわせ,Adjust,Ajuster,Ajustar cara,Ajustar,Ayarla,1,11.5,1,5.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
141,StgFace_SeqTitle_Record_Adjust,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
142,StgFace_SeqTitle_Record_SexAge,Geslacht/leeftijd,Gender/Age,Sexe / Âge,Daten,Sesso/età,Género/Idade,Пол/возраст,Sexo/Edad,性別・年令,Info,Sexe / Âge,Mudar sexo / idade,Sexo/Edad,Cinsiyet/Yaş,1,16.25,1,11.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
143,StgFace_SeqTitle_Record_Sex_Baby,Tot en met 3 jaar,Up to 3 years,Jusqu'à 3 ans,Bis zu 3 Jahre,Fino a 3 anni,Até aos 3 anos,До 3 лет,Hasta 3 años,～3才,Up to 3 years,Jusqu'à 3 ans,De 0 a 3 anos,Hasta 3 años,3 yaşa kadar,1,15.2,1,11.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
144,StgFace_SeqTitle_Record_Sex_Child,4-9 jaar,4 to 9 years,Entre 4 et 9 ans,4-9 Jahre,Da 4 a 9 anni,4-9 anos,4-9 лет,De 4 a 9 años,4～9才,4-9 years,Entre 4 et 9 ans,De 4 a 9 anos,De 4 a 9 años,4-9 yaş,1,14.0,1,6.5,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
145,StgFace_SeqTitle_Record_Sex_Young,10-29 jaar,10 to 29 years,Entre 10 et 29 ans,10-29 Jahre,Da 10 a 29 anni,10-29 anos,10-29 лет,De 10 a 29 años,10～29才,10 to 29 years,Entre 10 et 29 ans,De 10 a 29 anos,De 10 a 29 años,10-29 yaş,1,16.2,1,8.7,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
146,StgFace_SeqTitle_Record_Sex_Adult,30-49 jaar,30 to 49 years,Entre 30 et 49 ans,30-49 Jahre,Da 30 a 49 anni,30-49 anos,30-49 лет,De 30 a 49 años,30～49才,30 to 49 years,Entre 30 et 49 ans,De 30 a 49 anos,De 30 a 49 años,30-49 yaş,1,16.2,1,8.7,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
147,StgFace_SeqTitle_Record_Sex_Old,Ouder dan 50 jaar,Over 50 years,Plus de 50 ans,Über 50 Jahre,Oltre i 50 anni,Mais de 50 anos,Более 50 лет,Más de 50 años,50才～,Over 50 years,Plus de 50 ans,Mais de 50 anos,Más de 50 años,50 yaş üstü,1,15.9,1,10.2,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
148,StgFace_SeqTitle_Record_Adjust_ExplainAbove00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
149,StgFace_SeqTitle_Record_Adjust_ExplainAbove01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
150,StgFace_SeqTitle_Record_Adjust_ExplainAbove,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
151,StgFace_SeqTitle_Record_Adjust_Explain,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
152,StgFace_SeqTitle_Record_Delete?,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
153,StgFace_PutFace,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
154,StgFace_PutFace_PutFaceButton ,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
155,StgFace_PutFace_Explain_PutFaceButton ,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
156,StgFace_PutFace_PleaseChooseEnemy,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
157,StgFace_PutFace_PleaseChooseFace,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
158,StgFace_SeqTitle_CastingList,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
159,StgFace_SeqTitle_Record_Boss,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
160,StgFace_SeqTitle_Record_SmallFry00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
161,StgFace_SeqTitle_Record_SmallFry01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
162,StgFace_SeqTitle_Record_SmallFry02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
163,StgFace_SeqTitle_Record_SmallFry03,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
164,StgFace_SeqTitle_Record_SmallFry04,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
165,StgFace_SeqTitle_Record_SmallFry05,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
166,StgFace_Dialog_OutCamera,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
167,StgFace_Dialog_Congratulation,Gefeliciteerd!,Congratulations!,Félicitations !,Glückwunsch!,Complimenti!,Parabéns!,Поздравляем!,¡Enhorabuena!,おめでとうございます!,Congratulations!,Félicitations!,Parabéns!,¡Felicidades!,Tebrikler!,1,14.65,1,8.65,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
168,StgFace_Dialog_UnlockOpenOutCamera,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
169,StgFace_Dialog_UnlockRecord,"Je hebt een gezicht bemachtigd!
De optie VERZAMELING is
aan het menu toegevoegd!","You've collected a face!
Face Collection has been
added to the menu!","Un visage a été capturé !
Vous pouvez maintenant choisir
Collection dans le menu !","Du hast ein Gesicht gefangen!
„Gesichtergalerie“ wurde dem
Hauptmenü hinzugefügt.","Hai salvato una faccia!
Ora l'opzione Collezione
è stata aggiunta al menu!","Guardou uma cara!
O modo Coleção foi
adicionado ao menu.","Тебе удалось собрать лицо!
Коллекция лиц добавлена в меню!","¡Has conseguido una cara y el modo
Colección se ha añadido al menú!","顔が登録されたので
「顔コレクション」が
選べるようになりました!","You saved a new face!
Face Collection has been
added to the menu!","Un visage a été sauvegardé!
Vous pouvez maintenant choisir
Collection dans le menu!","Você salvou uma cara!
A ""Galeria de caras"" foi 
adicionada ao menu!","¡Has guardado una cara y el modo
Colección se ha añadido al menú!","Bir yüz yakaladın!
Yüz Koleksiyonu artık
menüde!",3,30.3,3,18.65,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
170,StgFace_Dialog_UnlockStage2,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
171,StgFace_Dialog_UnlockCasting,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
172,StgFace_Dialog_UnlockStage3,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
173,StgFace_Dialog_UnlockStage4,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
174,StgFace_Dialog_UnlockStage5,"Je verzameling is uitgebreid!
Nu kun je levels kiezen in
Demonstratiegezichten!","Your face collection has expanded!
Now you can select stages in
Share the Fun!","Votre collection de visages
s'est agrandie ! Vous pouvez
maintenant choisir votre stage
en mode Mission éclair !","Deine Gesichtergalerie ist gewachsen!
Du kannst nun im „Vorführmodus“
einzelne Stufen direkt anwählen!","La tua collezione cresce!
Ora puoi scegliere diversi
livelli in Gara di facce.","A sua Coleção cresceu!
Agora já pode selecionar níveis no
Modo Partilhado!","Твоя коллекция лиц расширилась!
Теперь ты можешь выбирать уровни
в режиме Покажи другу!","¡Tu colección de caras ha
aumentado! ¡Ahora puedes elegir
fases en el modo Demostración!","新しい顔が増えたので、
「遊んでもらう」で
ステージが選べるようになりました!","Your face collection has expanded!
You can now select Show a Friend!","Votre collection de visages
s'est agrandie! Vous pouvez
maintenant choisir votre
niveau en mode Jeu éclair!","A sua galeria de caras cresceu!
Agora já pode selecionar fases no
modo amigo!","¡Tu colección de caras ha
aumentado! ¡Ahora puedes elegir
fases en el modo Demostración!","Yüz koleksiyonun büyüdü!
Artık Neşeyi Paylaş!
modunda bölüm seçebilirsin!",4,33.0,3,23.7,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
175,StgFace_Dialog_UnlockStage6,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
176,StgFace_Dialog_UnlockCollection,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
177,StgFace_Lower_ADecide,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
178,StgFace_Lower_ANext,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
179,StgFace_Lower_PadSelect_ADecide,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
180,StgFace_Lower_PadSelect_ADecide_BBack,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
181,StgFace_Lower_PadSelect_ACasting_BBack,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
182,StgFace_Lower_PadAdjust_ADecide_BBack,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
183,StgFace_Lower_PadAdjust_Adjust,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
184,StgFace_Game_Pause_Explain,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
185,StgFace_Game_Explain_Home, Terug naar het HOME-menu,: Return to HOME Menu, Retourner au menu HOME, Zurück zum HOME-Menü, Torna al menu HOME,: Regressar ao Menu HOME, — вернуться в меню HOME , Volver al menú HOME,を押すとHOMEメニューにもどります,Press  to go to the HOME Menu, Retourner au menu HOME,: Voltar ao menu HOME, Volver al menú HOME,: HOME Menüsüne dön,1,27.9,1,19.45,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
186,StgFace_TitleMenu_Button00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
187,StgFace_TitleMenu_Button01,Spelen,Play,Campagne,Herausforderung,Gioca,Jogar,Играть,Jugar,遊ぶ,Play,Jouer,Jogar,Jugar,Oyna,1,15.0,1,4.2,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
188,StgFace_TitleMenu_Button02,Verzameling,Face Collection,Collection,Gesichtergalerie,Collezione,Coleção,Коллекция лиц,Colección,顔コレクション,Face Collection,Collection,Galeria de caras,Colección,Yüz Koleksiyonu,1,14.65,1,13.6,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
189,StgFace_TitleMenu_Button03,Demonstratie,Share the Fun!,Mission éclair,Vorführmodus,Gara di facce,Modo Partilhado,Покажи другу!,Demostración,遊んでもらう,Show a Friend!,Jeu éclair,Modo amigo,Demostración,Neşeyi Paylaş!,1,13.8,1,12.15,OK,OK,OK,"EU “Share the Fun!”, US “Show a Friend!” ve Japonca işlev karşılaştırılarak kısa, oyunbaz ad seçildi: “Neşeyi Paylaş!”.",Shipped Latin localizations suggest this should fit.
190,StgFace_Button00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
191,StgFace_Button08,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
192,StgFace_Button01,Aanpassen,Customise,Paramètres,Anpassen,Personalizza,Personalizar,Подогнать,Editar,顔の設定,Settings,Paramètres,Modificar,Editar,Özelleştir,1,11.1,1,8.65,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
193,StgFace_Button06,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
194,StgFace_Button02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
195,StgFace_Button03,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
196,StgFace_Button04,Opnieuw,Play Again,Réessayer,Erneut spielen,Gioca di nuovo,Jogar Outra Vez,Играть еще раз,Repetir,もう一度遊ぶ,Play Again,Réessayer,Jogar outra vez,Jugar otra vez,Tekrar Oyna,1,14.2,1,10.7,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
197,StgFace_Button05,Stoppen,Cancel,Annuler,Beenden,Esci,Sair,Отмена,Cancelar,やめる,Cancel,Annuler,Cancelar,Cancelar,İptal,1,7.55,1,4.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
198,StgFace_Button07,Wissen,Delete,Effacer,Löschen,Cancella,Apagar,Удалить,Borrar,消去する,Delete,Effacer,Deletar,Borrar,Sil,1,7.1,1,2.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
199,StgFace_PNote,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
200,StgFace_FaceMatching_Diagnosis,Bezig met analyseren,Analysing...,Analyse...,Überprüfung...,Analisi in corso...,A analisar...,Идет анализ...,Analizando...,診断中,Analyzing photo...,Analyse...,Analizando...,Analizando...,Analiz ediliyor...,1,18.3,1,13.9,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
201,StgFace_Initialize,Voorbereiden...,Preparing...,Préparation...,Vorbereitung...,"Preparazione
in corso...",A preparar...,Идет подготовка...,Preparando...,準備中です…,Preparing...,Préparation...,Preparando...,Preparando...,Hazırlanıyor...,2,13.2,1,12.3,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
202,StgFace_WhichFace,Met welk gezicht wil je spelen?,Which face do you want to play with?,Avec quel visage voulez-vous jouer ?,Mit welchem Gesicht spielen?,Che faccia vuoi usare per giocare?,Que cara deseja usar?,Какое лицо выбрать для игры?,¿Qué cara quieres usar?,どの顔で遊びますか？,Select a face to play with!,Jouer avec quel visage?,Qual cara deseja usar?,¿Qué cara quieres usar?,Hangi yüzle oynamak istersin?,1,32.15,1,25.9,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
203,StgFace_Figure,Systeem,System,Console,System,Console,Consola,Система,Consola,本体,System,Console,Console,Consola,Konsol,1,7.2,1,5.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
204,StgFace_Dialog_2face,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
205,StgFace_Dialog_4face,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
206,StgFace_New,NIEUW,NEW,NOUVEAU,NEU,NUOVO,Novo,НОВОЕ,¡Nuevo!,NEW,NEW!,NOUVEAU,NOVA!,¡Nuevo!,YENİ,1,7.2,1,3.55,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
207,StgFace_Menu_00,Selecteren,Select,Sélection,Auswählen,Seleziona,Selecionar,Выбрать,Seleccionar,選択,Select,Sélection,Selecionar,Seleccionar,Seç,1,10.1,1,3.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
208,StgFace_Menu_01,Bevestigen,Confirm,OK,Okay,OK,Confirmar,OK,Aceptar,決定,Confirm,OK,Confirmar,Aceptar,Onayla,1,9.55,1,5.75,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
209,StgFace_?,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
210,StgFace_Darekato_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
211,StgFace_Darekato_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
212,StgFace_Darekato_02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
213,StgFace_Darekato_03,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
214,StgFace_Darekato_04,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
215,StgFace_Darekato_05,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
216,StgFace_Darekato_06,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
217,StgFace_Darekato_ShowFace_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
218,StgFace_Darekato_ShowFace_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
219,StgFace_HintDialog_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
220,StgFace_HintDialog_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
221,StgFace_HintDialog_03,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
222,StgFace_HintDialog_04,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
223,StgFace_HintDialog_05,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
224,StgFace_HintDialog_06,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
225,StgFace_HintDialog_07,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
226,StgFace_HintDialog_02,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
227,StgFace_MemoryFull,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
228,StgFace_Lower_FaceDefeated,Geredde gezichten,Rescued Faces,Visages secourus,Gerettete Gesichter,Facce recuperate,Caras Resgatadas,Спасенные лица,Caras rescatadas,助けた顔,Rescued Faces,Visages sauvés,Caras resgatadas,Caras rescatadas,Kurtarılan Yüzler,1,18.05,1,15.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
229,StgFace_Title_Pnote,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
230,StgFace_Result_kao,Gezichtsbonus,Face Bonus,Bonus visage,Gesichtsbonus,Faccia bonus,Cara de Bónus,Бонус за лицо,Bonificación:,顔ボーナス,Face Bonus,Bonus visage,Bônus,Bonificación:,Yüz Bonusu,1,12.55,1,9.5,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
231,StgFace_TotalResult_01,Score,Total Score,Score total,Gesamtscore,Punteggio totale,Pontuação Total,Всего очков,Puntuación total:,トータルスコア,Total Score,Pointage total,Resultado final,Puntuación total:,Toplam Skor,1,15.15,1,10.25,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
232,StgFace_FaceRecord_ new,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
233,StgFace_scorerank_combo,Maximale combo,Max Combo,Meilleur combo,Maximale Combo,Super combo,Combinação Máxima,Макс. комбинация,Combo máximo:,最大コンボ,Max Combo,Meilleur combo,Melhor combo,Combo máximo,Maks. Kombo,1,16.2,1,10.45,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
234,StgFace_screencapture_00,Niet opslaan,Don't Save,Suite,Verwerfen,Non salvare,Não guardar,Не сохранять,No guardar,しない,Don't,Non,Não salvar,No guardar,Kaydetme,1,10.6,1,8.2,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
235,StgFace_screencapture_01,Opslaan,Save,Sauvegarder,Speichern,Salva,Guardar,Сохранить,Guardar,記録する,Save,Sauvegarder,Salvar,Guardar,Kaydet,1,11.0,1,6.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
236,StgFace_capturedialog_00,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
237,StgFace_capturedialog_01,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
238,StgFace_score_00,%d,%d,%d,%d,%d,%d,%d,%d,%d,%d,%d,%d,%d,%d,1,2.2,1,2.2,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
239,StgFace_score_01,%d%03d,"%d,%03d",%d %03d,%d %03d,%d%03d,%d%03d,%d%03d,%d%03d,%d%03d,"%d,%03d",%d %03d,%d %03d,%d%03d,%d.%03d,1,7.15,1,7.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
240,StgFace_score_02,%d %03d,"%d,%03d",%d %03d,%d %03d,%d.%03d,%d.%03d,%d %03d,%d %03d,%d%03d,"%d,%03d",%d %03d,%d %03d,%d %03d,%d.%03d,1,7.15,1,7.15,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
241,StgFace_FaceMatching_guide,"Plaats mond en ogen
binnen de lijnen, en
druk dan op .","Align mouth and
eyes with the guides,
then press .","Alignez la bouche et les
yeux avec les repères,
puis appuyez sur .","Richte Augen und Mund
an der Markierung aus
und drücke dann .","Allinea occhi e bocca
con gli indicatori, poi
premi .","Enquadre os olhos e a
boca nas linhas e prima
.
","Совмести глаза
и рот с метками,
затем нажми .","Haz coincidir la boca
y los ojos con la guía
y pulsa .","目と口をガイドにあわせ
を押してください","Align the eyes
and mouth with the
guides, then press .","Alignez la bouche et les
yeux avec les repères,
puis appuyez sur .","Enquadre os olhos e a
boca nas linhas e 
aperte .","Haz coincidir la boca
y los ojos con la guía
y oprime .","Ağzını ve gözlerini
kılavuza hizala,
sonra  bas.",4,20.2,3,15.75,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
242,StgFace_FaceMatching_ok,Is dit gezicht oké?,Is this face OK?,"Ce portrait vous
convient-il ?",Ist dieses Gesicht okay?,Va bene questa faccia?,Que tal esta cara?,Это лицо в порядке?,¿Te parece bien así?,この顔で いいですか？,Is this face OK?,"Cette photo vous
convient-elle?",OK?,¿Te parece bien así?,Bu yüz uygun mu?,2,21.15,1,14.7,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
243,StgFace_demo_lr,,,,,,,,,,,,,,,1,0.0,0,0.0,EMPTY,OK,OK,,
244,StgFace_friend_runk_ymd,%02d-%02d-%d,%02d/%02d/%d,%02d/%02d/%d,%02d.%02d.%d,%02d/%02d/%d,%02d/%02d/%d,%02d.%02d.%d,%02d-%02d-%d,%d年%d月%d日,%d/%d/%d,%02d/%02d/%d,%02d/%02d/%d,%02d/%02d/%d,%02d.%02d.%d,1,13.0,1,12.1,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
245,StgFace_friend_runk_nin,　,　,　,　,　,　,　,　,人,　,　,　,　,　,1,1.0,1,1.0,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
246,StgFace_Information, Advies, Advice, Info, Information, Consiglio, Conselhos, Совет,  Información,ひとこと, Advice, Info, Ajuda,  Información, İpucu,1,13.1,1,6.85,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
247,StgFace_SeqTitle_StageSelect_gameselect,Kies een level!,Select a stage!,Choisissez un stage !,Wähle eine Stufe!,Scegli un livello!,Escolha um nível!,Выбери уровень!,¡Elige una fase!,ステージを選んでください,Select a stage!,Choisissez un niveau!,Escolha uma fase!,¡Elige una fase!,Bir bölüm seç!,1,18.2,1,11.85,OK,OK,OK,,Shipped Latin localizations suggest this should fit.
248,StgFace_FaceCollection_ufo,"Er is een ufo geland!
De ufo ontvoert gezichten uit
Nintendo 3DS Camera.","A UFO has landed! The UFO
will abduct faces from
Nintendo 3DS Camera.","Un OVNI ! Il va capturer
des visages sauvegardés
dans l'application photo.","Ein UFO ist aufgetaucht!
Es entführt Gesichter aus
Nintendo 3DS-Kamera.","Atterra un UFO! Delle facce
saranno rapite dalla Fotocamera
Nintendo 3DS!","Surgiu um OVNI! O OVNI irá
raptar caras da
Câmara Nintendo 3DS. ","Приземлилось НЛО! Это НЛО
похитит лица из приложения
Камера Nintendo 3DS.","Ha aterrizado un OVNI que
abducirá caras de Cámara
de Nintendo 3DS.","UFOが着陸しました。
ニンテンドー3DSカメラから
顔を運んできてくれます。","Wow, a UFO has landed!
This UFO will abduct faces
from Nintendo 3DS Camera.","Un ovni! Il va capturer des
visages sauvegardés dans
l'application photo.","Nossa! Surgiu um OVNI!
Este OVNI vai abduzir as caras
da câmera Nintendo 3DS!","Ha aterrizado un OVNI que
abducirá caras de Cámara
de Nintendo 3DS.","Bir UFO indi! UFO,
Nintendo 3DS Kamera’dan
yüzleri kaçıracak.",3,28.35,3,21.75,OK,OK,OK,"UFO’nun yüz “kaçırması”, uzaylı kaçırma şakasını korumak için bilinçli olarak “kaçıracak” diye çevrildi.",Shipped Latin localizations suggest this should fit.
