index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
63,MemberCheckHeadText,Press ⟦MSBT:0E00000003000400FF4B32FF⟧Set Off ⟦MSBT:0E00000003000400000000FF⟧to start!,Touchez ⟦MSBT:0E00000003000400FF4B32FF⟧Commencer⟦MSBT:0E00000003000400000000FF⟧ !,Start: ⟦MSBT:0E00000003000400FF4B32FF⟧Aufbrechen ⟦MSBT:0E00000003000400000000FF⟧drücken!,⟦MSBT:0E000000020002005F00⟧Premi ⟦MSBT:0E00000003000400FF4B32FF⟧Partenza ⟦MSBT:0E00000003000400000000FF⟧per iniziare!⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Toca ⟦MSBT:0E00000003000400FF4B32FF⟧¡Vamos! ⟦MSBT:0E00000003000400000000FF⟧para comenzar.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000003000400FF4B32FF⟧しゅつげき⟦MSBT:0E00000003000400000000FF⟧で スタート！,Select ⟦MSBT:0E00000003000400FF4B32FF⟧Set Off ⟦MSBT:0E00000003000400000000FF⟧to start!,Touchez ⟦MSBT:0E00000003000400FF4B32FF⟧Commencer⟦MSBT:0E00000003000400000000FF⟧!,⟦MSBT:0E000000020002005500⟧Toca ⟦MSBT:0E00000003000400FF4B32FF⟧¡Vamos! ⟦MSBT:0E00000003000400000000FF⟧para comenzar.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Başlamak için ⟦MSBT:0E00000003000400FF4B32FF⟧Yola Çık⟦MSBT:0E00000003000400000000FF⟧'a bas!⟦MSBT:0E000000020002006400⟧,
64,MemberCheckBodyText,"Once everyone has selected
a role, begin your quest!","Tout le monde a choisi son
rôle ? Alors, c'est parti !","Wenn alle ihre Rolle gewählt
haben, beginnt die Mission!","Dopo che tutti hanno scelto un
ruolo, la missione può iniziare!","⟦MSBT:0E000000020002005A00⟧La misión empezará en cuanto
todos hayan elegido una habilidad.⟦MSBT:0E000000020002006400⟧","ぜんいんの ジョブが きまったら
クエストを スタートしよう！","Once everyone has selected
a role, begin your quest!","Tout le monde a choisi son
rôle? Alors, c'est parti!","⟦MSBT:0E000000020002005A00⟧La misión empezará en cuanto
todos hayan elegido una habilidad.⟦MSBT:0E000000020002006400⟧","Herkes rolünü seçince
göreve başla!",
65,MemberCheckBodyTextWithAI,"You can also change your
⟦MSBT:0E00000003000400FF4B32FF⟧teammates' roles⟦MSBT:0E00000003000400000000FF⟧! Once you're
ready, set off!","Vous pouvez modifier le ⟦MSBT:0E00000003000400FF4B32FF⟧rôle
⟦MSBT:0E00000003000400000000FF⟧de vos ⟦MSBT:0E00000003000400FF4B32FF⟧équipiers⟦MSBT:0E00000003000400000000FF⟧. Si tout est
prêt, la quête peut commencer !","Du kannst auch die ⟦MSBT:0E00000003000400FF4B32FF⟧Rollen der
einzelnen Spieler⟦MSBT:0E00000003000400000000FF⟧ ändern. Bist
du bereit, kannst du aufbrechen!","Puoi anche cambiare i ⟦MSBT:0E00000003000400FF4B32FF⟧ruoli dei
tuoi compagni⟦MSBT:0E00000003000400000000FF⟧! Quando tutto
sarà pronto, potrete partire!","Si quieres, puedes cambiar la
⟦MSBT:0E00000003000400FF4B32FF⟧habilidad de tus aliados⟦MSBT:0E00000003000400000000FF⟧.
¡Prepárate, que esto empieza!","⟦MSBT:0E00000003000400FF4B32FF⟧おとものジョブ⟦MSBT:0E00000003000400000000FF⟧も へんこう できるぞ！
じゅんびが できたら しゅつげきだ！","You can also change your
⟦MSBT:0E00000003000400FF4B32FF⟧teammates' roles⟦MSBT:0E00000003000400000000FF⟧! Once you're
ready, set off!","Vous pouvez modifier le ⟦MSBT:0E00000003000400FF4B32FF⟧rôle
⟦MSBT:0E00000003000400000000FF⟧de vos ⟦MSBT:0E00000003000400FF4B32FF⟧équipiers⟦MSBT:0E00000003000400000000FF⟧. Si tout est
prêt, la quête peut commencer!","Si quieres, puedes cambiar la
⟦MSBT:0E00000003000400FF4B32FF⟧habilidad de tus aliados⟦MSBT:0E00000003000400000000FF⟧.
¡Prepárate y entra en acción!","Takım arkadaşlarının
⟦MSBT:0E00000003000400FF4B32FF⟧rollerini⟦MSBT:0E00000003000400000000FF⟧ de değiştirebilirsin.
Hazırsan yola çık!",
66,MemberCheckDecideBtnText,Set Off,⟦MSBT:0E000000020002005F00⟧Commencer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Aufbrechen⟦MSBT:0E000000020002006400⟧,Partenza,¡Vamos!,しゅつげき,Set Off,⟦MSBT:0E000000020002005F00⟧Commencer⟦MSBT:0E000000020002006400⟧,¡Vamos!,Yola Çık,
67,OperationBtnText,Controls,Commandes,Steuerung,Comandi,Controles,そうさせつめい,Controls,Commandes,Controles,Kontroller,
68,MemberBtnLevelText,Level,⟦MSBT:0E000000020002005A00⟧Niveau⟦MSBT:0E000000020002006400⟧,Level,⟦MSBT:0E000000020002005A00⟧Livello⟦MSBT:0E000000020002006400⟧,Nivel,レベル,Level,⟦MSBT:0E000000020002005A00⟧Niveau⟦MSBT:0E000000020002006400⟧,Nivel,⟦MSBT:0E000000020002004B00⟧Seviye⟦MSBT:0E000000020002006400⟧,
69,MemberBtnJobText1,"Sword
Hero","Héros à
l'épée",Ritter,"Spada
eroica","⟦MSBT:0E000000020002005F00⟧Rey de la
espada⟦MSBT:0E000000020002006400⟧","ヒーロー
ソード","Sword
Hero","Héros à
l'épée","⟦MSBT:0E000000020002005F00⟧Rey de la
espada⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002004100⟧Kılıç
Kahramanı⟦MSBT:0E000000020002006400⟧",
70,MemberBtnJobText2,"⟦MSBT:0E000000020002005F00⟧Doctor
Healmore⟦MSBT:0E000000020002006400⟧","Docteur
prodige",Heiler,"Dottore
mistico","Doctor
erudito","ヒール
ドクター","⟦MSBT:0E000000020002005F00⟧Doctor
Healmore⟦MSBT:0E000000020002006400⟧","Docteur
prodige","Doctor
erudito","⟦MSBT:0E000000020002005A00⟧Şifa
Doktoru⟦MSBT:0E000000020002006400⟧",
71,MemberBtnJobText3,"Hammer
Lord","Maestro
marto",Krieger,"Mastro
martello","As del
martillo","へビィ
ハンマー","Hammer
Lord","Maestro
marto","As del
martillo","Çekiç
Ustası",
72,MemberBtnJobText4,"Beam
Mage","Roi des
rayons",Magier,"Raggio
magico","Señor
del rayo","マジック
ビーム","Beam
Mage","Roi des
rayons","Señor
del rayo","Işın
Büyücüsü",
73,ConfirmDialogYesBtnText,Yes,Oui,Ja,Sì,Sí,はい,Yes,Oui,Sí,Evet,
74,ConfirmDialogNoBtnText,No,Non,Nein,No,No,いいえ,No,Non,No,Hayır,
75,ConfirmDialogWindowText,"Are you ready to
⟦MSBT:0E00000003000400FF4B32FF⟧set off ⟦MSBT:0E00000003000400000000FF⟧on your quest?","La quête va ⟦MSBT:0E00000003000400FF4B32FF⟧commencer⟦MSBT:0E00000003000400000000FF⟧.
Tout est prêt ?","Bereit, die Mission zu
starten und ⟦MSBT:0E00000003000400FF4B32FF⟧aufzubrechen⟦MSBT:0E00000003000400000000FF⟧?","Vuoi ⟦MSBT:0E00000003000400FF4B32FF⟧partire⟦MSBT:0E00000003000400000000FF⟧ per
la missione?","¿Todo listo para ⟦MSBT:0E00000003000400FF4B32FF⟧comenzar
⟦MSBT:0E00000003000400000000FF⟧la misión?","クエストに ⟦MSBT:0E00000003000400FF4B32FF⟧しゅつげき ⟦MSBT:0E00000003000400000000FF⟧します。
よろしいですか？","Are you ready to
⟦MSBT:0E00000003000400FF4B32FF⟧set off ⟦MSBT:0E00000003000400000000FF⟧on your quest?","La quête va ⟦MSBT:0E00000003000400FF4B32FF⟧commencer⟦MSBT:0E00000003000400000000FF⟧.
Tout est prêt?","¿Todo listo para ⟦MSBT:0E00000003000400FF4B32FF⟧comenzar
⟦MSBT:0E00000003000400000000FF⟧la misión?","Göreve ⟦MSBT:0E00000003000400FF4B32FF⟧yola çıkmaya⟦MSBT:0E00000003000400000000FF⟧
hazır mısın?",
76,TitleEndBtnText,Quit,⟦MSBT:0E000000020002005A00⟧Quitter⟦MSBT:0E000000020002006400⟧,Ende,Esci,Salir,おわる,Quit,⟦MSBT:0E000000020002005A00⟧Quitter⟦MSBT:0E000000020002006400⟧,Salir,Çık,
77,TitleSingleBtnText,Team Quest,Aventure,⟦MSBT:0E000000020002005500⟧Team-Mission⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Modalità di squadra⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Misión en equipo⟦MSBT:0E000000020002006400⟧,おともとクエスト,Team Quest,Aventure,⟦MSBT:0E000000020002005000⟧Misión en equipo⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Takım Görevi⟦MSBT:0E000000020002006400⟧,
78,TitleMultiBtnText,Wireless Quest,Mode sans fil,⟦MSBT:0E000000020002005500⟧Drahtlos-Mission⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Modalità wireless⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Misión inalámbrica⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E00000000000C00040008006430463057309330⟧通信でクエスト,Wireless Quest,Mode sans fil,⟦MSBT:0E000000020002005000⟧Misión inalámbrica⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Kablosuz Görev⟦MSBT:0E000000020002006400⟧,
79,TitleHeaderLoText,Game Mode,Choix du mode,Modusauswahl,Modalità di gioco,Modos de juego,モードせんたく,Game Mode,Choix du mode,Modos de juego,Oyun Modu,
80,TipsSword1HeaderText,Sword Hero's Special,Pouvoir du héros à l'épée,Ritter-Spezialtechnik,Specialità (Spada eroica),⟦MSBT:0E000000020002005500⟧Ataque del rey de la espada⟦MSBT:0E000000020002006400⟧,ヒーローソードの ひっさつ⟦MSBT:0E00000000000800020004008F305630⟧技,Sword Hero's Special,Pouvoir du héros à l'épée,⟦MSBT:0E000000020002005500⟧Ataque del rey de la espada⟦MSBT:0E000000020002006400⟧,Kılıç Kahramanı Özeli,
81,TipsSword1BodyText,"Press and hold ⟦MSBT:0E00010001000000⟧ to charge
your ⟦MSBT:0E00000003000400FFDE00FF⟧Spin Slash⟦MSBT:0E00000003000400000000FF⟧! There are
three levels of charge!","Maintenez ⟦MSBT:0E00010001000000⟧ pour charger
votre ⟦MSBT:0E00000003000400FFDE00FF⟧Lame tourbillon⟦MSBT:0E00000003000400000000FF⟧. Il y a
trois niveaux de charge !","Halte ⟦MSBT:0E00010001000000⟧ gedrückt, um deinen
⟦MSBT:0E00000003000400FFDE00FF⟧Rundumschlag⟦MSBT:0E00000003000400000000FF⟧ aufzuladen. Es gibt
drei verschiedene Ladungsstufen!","Tieni premuto ⟦MSBT:0E00010001000000⟧ per caricare
l'⟦MSBT:0E00000003000400FFDE00FF⟧Attacco rotante⟦MSBT:0E00000003000400000000FF⟧! Ci sono
tre livelli di carica!","Mantén pulsado ⟦MSBT:0E00010001000000⟧ para activar
el ⟦MSBT:0E00000003000400FFDE00FF⟧espadazo con giro⟦MSBT:0E00000003000400000000FF⟧. ¡Hay
tres niveles de potencia!","⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おしで ⟦MSBT:0E00000003000400FFDE00FF⟧⟦MSBT:0E00000000000800020004004B304430⟧回てんぎり⟦MSBT:0E00000003000400000000FF⟧が さくれつ！
３だんかいまで チャージが できる！","Press and hold ⟦MSBT:0E00010001000000⟧ to charge
your ⟦MSBT:0E00000003000400FFDE00FF⟧Spin Slash⟦MSBT:0E00000003000400000000FF⟧! There are
three levels of charge!","Maintenez ⟦MSBT:0E00010001000000⟧ pour charger
votre ⟦MSBT:0E00000003000400FFDE00FF⟧Lame tourbillon⟦MSBT:0E00000003000400000000FF⟧. Il y a
trois niveaux de charge!","⟦MSBT:0E000000020002006400⟧Mantén oprimido ⟦MSBT:0E00010001000000⟧ para activar
el ⟦MSBT:0E00000003000400FFDE00FF⟧ataque torbellino⟦MSBT:0E00000003000400000000FF⟧. ¡Hay
tres niveles de potencia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00010001000000⟧ basılı tut,
⟦MSBT:0E00000003000400FFDE00FF⟧Döner Kesik⟦MSBT:0E00000003000400000000FF⟧ için güç biriktir!
3 şarj seviyesi var!",
82,TipsHammer1HeaderText,Hammer Lord's Special,⟦MSBT:0E000000020002005F00⟧Pouvoir du maestro marto⟦MSBT:0E000000020002006400⟧,Krieger-Spezialtechnik,⟦MSBT:0E000000020002005F00⟧Specialità (Mastro martello)⟦MSBT:0E000000020002006400⟧,Ataque del as del martillo,ヘビィハンマーの ひっさつ⟦MSBT:0E00000000000800020004008F305630⟧技,Hammer Lord's Special,⟦MSBT:0E000000020002005F00⟧Pouvoir du maestro marto⟦MSBT:0E000000020002006400⟧,Ataque del as del martillo,Çekiç Ustası Özeli,
83,TipsHammer1BodyText,"Press and hold ⟦MSBT:0E00010006000000⟧+⟦MSBT:0E00010001000000⟧ to charge
your ⟦MSBT:0E00000003000400FFDE00FF⟧Hammer Flip⟦MSBT:0E00000003000400000000FF⟧! There are
three levels of charge!","Maintenez ⟦MSBT:0E00010006000000⟧ et ⟦MSBT:0E00010001000000⟧ pour charger
votre ⟦MSBT:0E00000003000400FFDE00FF⟧Marteau ardent⟦MSBT:0E00000003000400000000FF⟧. Il y a trois
niveaux de charge !","Halte  ⟦MSBT:0E00010006000000⟧+⟦MSBT:0E00010001000000⟧ gedrückt, um deinen
⟦MSBT:0E00000003000400FFDE00FF⟧Feuerzorn⟦MSBT:0E00000003000400000000FF⟧ aufzuladen. Es gibt drei
verschiedene Ladungsstufen!","Tieni premuto ⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ per caricare
l'⟦MSBT:0E00000003000400FFDE00FF⟧Iper martellata⟦MSBT:0E00000003000400000000FF⟧! Ci sono tre livelli
di carica!","Mantén pulsados ⟦MSBT:0E00010006000000⟧ y ⟦MSBT:0E00010001000000⟧ para
activar el ⟦MSBT:0E00000003000400FFDE00FF⟧martillo ígneo⟦MSBT:0E00000003000400000000FF⟧. ¡Hay
tres niveles de potencia!","⟦MSBT:0E00010006000000⟧+⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おしで ⟦MSBT:0E00000003000400FFDE00FF⟧おにごろし⟦MSBT:0E00000000000A00040006004B3048309330⟧火炎ハンマー！⟦MSBT:0E00000003000400000000FF⟧
３だんかいまで チャージが できる！","Press and hold ⟦MSBT:0E00010006000000⟧+⟦MSBT:0E00010001000000⟧ to charge
your ⟦MSBT:0E00000003000400FFDE00FF⟧Hammer Flip⟦MSBT:0E00000003000400000000FF⟧! There are
three levels of charge!","Maintenez ⟦MSBT:0E00010006000000⟧ et ⟦MSBT:0E00010001000000⟧ pour charger
votre ⟦MSBT:0E00000003000400FFDE00FF⟧Marteau ardent⟦MSBT:0E00000003000400000000FF⟧. Il y a trois
niveaux de charge!","⟦MSBT:0E000000020002006400⟧Mantén oprimidos ⟦MSBT:0E00010006000000⟧+⟦MSBT:0E00010001000000⟧ para
activar el ⟦MSBT:0E00000003000400FFDE00FF⟧martillo ígneo⟦MSBT:0E00000003000400000000FF⟧. ¡Hay
tres niveles de potencia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00010006000000⟧+⟦MSBT:0E00010001000000⟧ basılı tut,
⟦MSBT:0E00000003000400FFDE00FF⟧Çekiç Taklası⟦MSBT:0E00000003000400000000FF⟧ için güç biriktir!
3 şarj seviyesi var!",
84,TipsDoctor1HeaderText,Doctor Healmore's Special,⟦MSBT:0E000000020002005F00⟧Pouvoir du docteur prodige⟦MSBT:0E000000020002006400⟧,Heiler-Spezialtechnik,⟦MSBT:0E000000020002005F00⟧Specialità (Dottore mistico)⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Especialidad del doctor erudito⟦MSBT:0E000000020002006400⟧,ヒールドクターの ひっさつ⟦MSBT:0E00000000000800020004008F305630⟧技,Doctor Healmore's Special,⟦MSBT:0E000000020002005F00⟧Pouvoir du docteur prodige⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Especialidad del doctor erudito⟦MSBT:0E000000020002006400⟧,Şifa Doktoru Özeli,
85,TipsDoctor1BodyText,"Press and hold ⟦MSBT:0E00010001000000⟧ to charge
your ⟦MSBT:0E00000003000400FFDE00FF⟧Healing Area⟦MSBT:0E00000003000400000000FF⟧! There are
three levels of charge!","Maintenez ⟦MSBT:0E00010001000000⟧ pour charger votre
⟦MSBT:0E00000003000400FFDE00FF⟧Zone de soins⟦MSBT:0E00000003000400000000FF⟧. Il y a trois niveaux
de charge !","Halte ⟦MSBT:0E00010001000000⟧ gedrückt, um deine
⟦MSBT:0E00000003000400FFDE00FF⟧Heilungszone⟦MSBT:0E00000003000400000000FF⟧ aufzuladen. Es gibt
drei verschiedene Ladungsstufen!","Tieni premuto ⟦MSBT:0E00010001000000⟧ per caricare
la ⟦MSBT:0E00000003000400FFDE00FF⟧Terapia intensiva⟦MSBT:0E00000003000400000000FF⟧! Ci sono
tre livelli di carica!","Mantén pulsado ⟦MSBT:0E00010001000000⟧ para activar
el ⟦MSBT:0E00000003000400FFDE00FF⟧área de curación⟦MSBT:0E00000003000400000000FF⟧. ¡Hay
tres niveles de potencia!","⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おしで キズをいやす ⟦MSBT:0E00000003000400FFDE00FF⟧ヒーリングエリア！
⟦MSBT:0E00000003000400000000FF⟧３だんかいまで チャージが できる！","Press and hold ⟦MSBT:0E00010001000000⟧ to charge
your ⟦MSBT:0E00000003000400FFDE00FF⟧Healing Area⟦MSBT:0E00000003000400000000FF⟧! There are
three levels of charge!","Maintenez ⟦MSBT:0E00010001000000⟧ pour charger votre
⟦MSBT:0E00000003000400FFDE00FF⟧Zone de soins⟦MSBT:0E00000003000400000000FF⟧. Il y a trois niveaux
de charge!","Mantén oprimido ⟦MSBT:0E00010001000000⟧ para activar
el ⟦MSBT:0E00000003000400FFDE00FF⟧área de curación⟦MSBT:0E00000003000400000000FF⟧. ¡Hay
tres niveles de potencia!","⟦MSBT:0E00010001000000⟧ basılı tut,
⟦MSBT:0E00000003000400FFDE00FF⟧Şifa Alanı⟦MSBT:0E00000003000400000000FF⟧ için güç biriktir!
3 şarj seviyesi var!",
86,TipsBeam1HeaderText,Beam Mage's Special,Pouvoir du roi des rayons,Magier-Spezialtechnik,Specialità (Raggio magico),Poder del señor del rayo,マジックビームの ひっさつ⟦MSBT:0E00000000000800020004008F305630⟧技,Beam Mage's Special,Pouvoir du roi des rayons,Poder del señor del rayo,Işın Büyücüsü Özeli,
87,TipsBeam1BodyText,"Press and hold ⟦MSBT:0E00010001000000⟧ to charge
your clock-stopping ⟦MSBT:0E00000003000400FFDE00FF⟧Time Beam⟦MSBT:0E00000003000400000000FF⟧!
There are three levels of charge!","Maintenez ⟦MSBT:0E00010001000000⟧ pour charger votre
⟦MSBT:0E00000003000400FFDE00FF⟧Rayon temporel ⟦MSBT:0E00000003000400000000FF⟧qui arrête le temps.
Il y a trois niveaux de charge !","Halte ⟦MSBT:0E00010001000000⟧ gedrückt, um mit dem ⟦MSBT:0E00000003000400FFDE00FF⟧Zeit-
Beam⟦MSBT:0E00000003000400000000FF⟧ die Zeit anzuhalten. Es gibt
drei verschiedene Ladungsstufen!","Tieni premuto ⟦MSBT:0E00010001000000⟧ per caricare il
⟦MSBT:0E00000003000400FFDE00FF⟧Raggio temporale⟦MSBT:0E00000003000400000000FF⟧ e fermare il
tempo! Ci sono tre livelli di carica!","Mantén pulsado ⟦MSBT:0E00010001000000⟧ para activar la
⟦MSBT:0E00000003000400FFDE00FF⟧ráfaga temporal ⟦MSBT:0E00000003000400000000FF⟧y detener el reloj.
¡Hay tres niveles de potencia!","⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おしで てきの⟦MSBT:0E00000000000A000400060058304B309330⟧時間をとめる ⟦MSBT:0E00000003000400FFDE00FF⟧タイムビーム！⟦MSBT:0E00000003000400000000FF⟧
３だんかいまで チャージが できる！","Press and hold ⟦MSBT:0E00010001000000⟧ to charge
your clock-stopping ⟦MSBT:0E00000003000400FFDE00FF⟧Time Beam⟦MSBT:0E00000003000400000000FF⟧!
There are three levels of charge!","Maintenez ⟦MSBT:0E00010001000000⟧ pour charger votre
⟦MSBT:0E00000003000400FFDE00FF⟧Rayon temporel ⟦MSBT:0E00000003000400000000FF⟧qui arrête le temps.
Il y a trois niveaux de charge!","⟦MSBT:0E000000020002006400⟧Mantén oprimido ⟦MSBT:0E00010001000000⟧ para activar la
⟦MSBT:0E00000003000400FFDE00FF⟧ráfaga temporal ⟦MSBT:0E00000003000400000000FF⟧y detener el reloj.
¡Hay tres niveles de potencia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00010001000000⟧ basılı tutup zamanı durduran
⟦MSBT:0E00000003000400FFDE00FF⟧Zaman Işını⟦MSBT:0E00000003000400000000FF⟧ için güç biriktir!
3 şarj seviyesi var!",
88,TipsSword2HeaderText,Sword Hero's Shield Power,Bouclier du héros à l'épée,Ritter-Abwehrschild,Scudo (Spada eroica),Escudo heroico,ヒーローソードの シールド,Sword Hero's Shield Power,Bouclier du héros à l'épée,Escudo heroico,Kılıç Kahramanı Kalkanı,
89,TipsSword2BodyText,"Press ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ to activate your
⟦MSBT:0E00000003000400FFDE00FF⟧Hero Shield⟦MSBT:0E00000003000400000000FF⟧! Protect your
teammates inside the barrier!","Appuyez sur ⟦MSBT:0E00010004000000⟧ ou ⟦MSBT:0E00010005000000⟧ pour activer
votre ⟦MSBT:0E00000003000400FFDE00FF⟧Bouclier héroïque ⟦MSBT:0E00000003000400000000FF⟧et protéger
vos coéquipiers !","Drücke ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧, um deinen ⟦MSBT:0E00000003000400FFDE00FF⟧Helden-
schild⟦MSBT:0E00000003000400000000FF⟧ zu aktivieren! Schütze deine
Partner innerhalb seiner Barriere!","Premi ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ per attivare lo
⟦MSBT:0E00000003000400FFDE00FF⟧Scudo eroico⟦MSBT:0E00000003000400000000FF⟧! Proteggi i compagni
all'interno della barriera!","Pulsa ⟦MSBT:0E00010004000000⟧ o ⟦MSBT:0E00010005000000⟧ para activar el ⟦MSBT:0E00000003000400FFDE00FF⟧escudo
heroico⟦MSBT:0E00000003000400000000FF⟧. ¡Protege a los aliados que
estén dentro del escudo!","⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧で ⟦MSBT:0E00000003000400FFDE00FF⟧ヒーローシールド！⟦MSBT:0E00000003000400000000FF⟧
バリアをつくって なかまを⟦MSBT:0E00000000000800020004007E308230⟧守ろう！","Press ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ to activate your
⟦MSBT:0E00000003000400FFDE00FF⟧Hero Shield⟦MSBT:0E00000003000400000000FF⟧! Protect your
mates inside the barrier!","Appuyez sur ⟦MSBT:0E00010004000000⟧ ou ⟦MSBT:0E00010005000000⟧ pour activer
votre ⟦MSBT:0E00000003000400FFDE00FF⟧Bouclier héroïque ⟦MSBT:0E00000003000400000000FF⟧et protéger
vos coéquipiers!","Oprime ⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ para activar el ⟦MSBT:0E00000003000400FFDE00FF⟧escudo
heroico⟦MSBT:0E00000003000400000000FF⟧. ¡Protege a los aliados que
estén dentro del escudo!","⟦MSBT:0E00010004000000⟧/⟦MSBT:0E00010005000000⟧ ile ⟦MSBT:0E00000003000400FFDE00FF⟧Kahraman Kalkanı⟦MSBT:0E00000003000400000000FF⟧ aç!
Bariyerin içindeki takım
arkadaşlarını koru!",
90,TipsLithographHeaderText,Power Tablets,Fragments de météore,Steintafeln,Tavolette dell'amicizia,Tablas de la amistad,⟦MSBT:0E00000000000800020004005B304D30⟧石ばんを ⟦MSBT:0E00000000000600020002006630⟧手にいれよう,Power Tablets,Fragments de météore,Tablas de la amistad,Güç Tabletleri,
91,TipsLithographBodyText,"If you continuously attack
an enemy, you can get
⟦MSBT:0E00000003000400FFDE00FF⟧Power Tablets ⟦MSBT:0E00000003000400000000FF⟧for your team.","Attaquez l'ennemi sans relâche
afin de faire apparaître des
⟦MSBT:0E00000003000400FFDE00FF⟧fragments de météore⟦MSBT:0E00000003000400000000FF⟧.","Attackierst du kontinuierlich einen
Gegner, erhältst du ⟦MSBT:0E00000003000400FFDE00FF⟧Steintafeln ⟦MSBT:0E00000003000400000000FF⟧für
dein Team.","Se attacchi continuamente un
nemico, puoi ottenere ⟦MSBT:0E00000003000400FFDE00FF⟧tavolette
dell'amicizia ⟦MSBT:0E00000003000400000000FF⟧per la tua squadra.","Si atacas continuamente a un
enemigo, conseguirás ⟦MSBT:0E00000003000400FFDE00FF⟧tablas de
la amistad ⟦MSBT:0E00000003000400000000FF⟧para tu equipo.","てきに たくさん こうげきを⟦MSBT:0E00000000000600020002004230⟧当てて
ぜんいんで ⟦MSBT:0E00000003000400FFDE00FF⟧⟦MSBT:0E00000000000800020004005B304D30⟧石ばんを あつめよう！⟦MSBT:0E00000003000400000000FF⟧","If you continuously attack
an enemy, you can get
⟦MSBT:0E00000003000400FFDE00FF⟧Power Tablets ⟦MSBT:0E00000003000400000000FF⟧for your team.","Attaquez l'ennemi sans relâche
afin de faire apparaître des
⟦MSBT:0E00000003000400FFDE00FF⟧fragments de météore⟦MSBT:0E00000003000400000000FF⟧.","Si atacas continuamente a un
enemigo, conseguirás ⟦MSBT:0E00000003000400FFDE00FF⟧tablas de
la amistad ⟦MSBT:0E00000003000400000000FF⟧para tu equipo.","Düşmana art arda vurup
takımın için ⟦MSBT:0E00000003000400FFDE00FF⟧Güç Tabletleri⟦MSBT:0E00000003000400000000FF⟧
topla!",
92,TipsMeteorHeaderText,Team Meteor,Union météore,Coop-Meteor,Meteora amica,Aerolito amigo,⟦MSBT:0E00000000001400080010004D30873046308A3087304F308F305630⟧協力技 フレンドメテオ,Team Meteor,Union météore,Aerolito amigo,Takım Meteoru,
