index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
63,AblMelonDoctorLaboBtn,"⟦MSBT:0E00010007000000⟧ + hold ⟦MSBT:0E00010001000000⟧ extra
long, then release","Maintenir ⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,
puis relâcher","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧ lange gedrückt
halten, dann loslassen⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00010007000000⟧ + tieni premuto ⟦MSBT:0E00010001000000⟧
a lungo, poi rilascia","Mantén pulsados ⟦MSBT:0E00010007000000⟧ +
⟦MSBT:0E00010001000000⟧ y luego suéltalos","⟦MSBT:0E00010007000000⟧＋⟦MSBT:0E00010001000000⟧めちゃ⟦MSBT:0E00000000000800020004006A304C30⟧長おし
～はなす","⟦MSBT:0E00010007000000⟧ + hold ⟦MSBT:0E00010001000000⟧ extra
long, and then release","⟦MSBT:0E00010007000000⟧+ maintenir ⟦MSBT:0E00010001000000⟧ plus
longtemps, et relâcher","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00010007000000⟧ + mantén ⟦MSBT:0E00010001000000⟧ mucho
rato y luego suéltalo⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧'yi çok uzun tut,
sonra bırak⟦MSBT:0E000000020002006400⟧",
64,AblMelonDoctorKeepLaboBtn,"Begin Science Lab,
then ⟦MSBT:0E00010000000000⟧/Guard","Laboratoire, puis
⟦MSBT:0E00010000000000⟧ ou se protéger","„Labor“ beginnen,
dann ⟦MSBT:0E00010000000000⟧ / blocken","Inizia Laboratorio,
poi ⟦MSBT:0E00010000000000⟧/Parata","Laboratorio +
⟦MSBT:0E00010000000000⟧/cubrirse","かがくけんきゅうしょ
～⟦MSBT:0E00010000000000⟧/ガード","⟦MSBT:0E00010000000000⟧/Guard during
Science Lab","Laboratoire, puis
⟦MSBT:0E00010000000000⟧ ou se protéger","Laboratorio +
⟦MSBT:0E00010000000000⟧/cubrirse","Laboratuvar sonrası
⟦MSBT:0E00010000000000⟧ / Savun",
65,AblMelonDoctorSprayBtn,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧＋⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧,
66,AblMelonDoctorSpinBtn,Dash + ⟦MSBT:0E00010001000000⟧ in mid-air,"Course, puis ⟦MSBT:0E00010001000000⟧
(en l'air)","Spurten + ⟦MSBT:0E00010001000000⟧
in der Luft",Scatta + ⟦MSBT:0E00010001000000⟧ in aria,"Corre + ⟦MSBT:0E00010001000000⟧
en el aire",ダッシュ＋⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010001000000⟧はなす,"Dash + release
⟦MSBT:0E00010001000000⟧ in midair","Ruée, puis relâcher ⟦MSBT:0E00010001000000⟧
(en l'air)","Correr + soltar
⟦MSBT:0E00010001000000⟧ en el aire",Koş + ⟦MSBT:0E00010001000000⟧ havada,
67,AblMelonDoctorCrystalPotBtn,"Dash + hold ⟦MSBT:0E00010001000000⟧
in mid-air","Course + maintenir ⟦MSBT:0E00010001000000⟧
(en l'air)","Spurten + ⟦MSBT:0E00010001000000⟧ in der
Luft gedrückt halten","Scatta + tieni premuto
⟦MSBT:0E00010001000000⟧ in aria","Corre + mantén
pulsado ⟦MSBT:0E00010001000000⟧ en el aire","ダッシュ＋⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で
⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おし","Dash + hold ⟦MSBT:0E00010001000000⟧ in
midair","Ruée + maintenir ⟦MSBT:0E00010001000000⟧
(en l'air)","Correr + mantén
oprimido ⟦MSBT:0E00010001000000⟧ en el aire","Havada Koş + ⟦MSBT:0E00010001000000⟧'yi
basılı tut",
68,AblMelonDoctorImpactBtn,Dash + ⟦MSBT:0E00010001000000⟧,"Course, puis ⟦MSBT:0E00010001000000⟧",Spurten + ⟦MSBT:0E00010001000000⟧,Scatta + ⟦MSBT:0E00010001000000⟧,Corre + ⟦MSBT:0E00010001000000⟧,ダッシュ＋⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧,"Ruée, puis ⟦MSBT:0E00010001000000⟧",Correr + ⟦MSBT:0E00010001000000⟧,Koş + ⟦MSBT:0E00010001000000⟧,
69,AblMelonDoctorHealingBtn,"Hold ⟦MSBT:0E00010001000000⟧,
then release","Maintenir ⟦MSBT:0E00010001000000⟧,
puis relâcher","⟦MSBT:0E00010001000000⟧ gedrückt halten,
dann loslassen","Tieni premuto ⟦MSBT:0E00010001000000⟧,
poi rilascia","Mantén pulsado ⟦MSBT:0E00010001000000⟧
y luego suéltalo",⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おし～はなす,"Press and hold ⟦MSBT:0E00010001000000⟧,
and then release","Maintenir ⟦MSBT:0E00010001000000⟧,
puis relâcher","Mantén oprimido ⟦MSBT:0E00010001000000⟧
y luego suéltalo","⟦MSBT:0E00010001000000⟧'yi basılı tut,
sonra bırak",
70,AblMelonDoctorSpellBtn,"⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ neben
gefallenem Mitspieler","⟦MSBT:0E00010003000000⟧ accanto a un
compagno ferito","⟦MSBT:0E00010003000000⟧ cerca de un
aliado caído","たおれたなかまの
そばで⟦MSBT:0E00010003000000⟧","⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ cerca de un
aliado caído","Düşmüş takım arkadaşının
yanında ⟦MSBT:0E00010003000000⟧",
71,AblMelonHammerNormal,Hammer,Marteau,Hammerschlag,Martellata,Martillazo,ハンマーたたき,Hammer,Marteau,Martillazo,Çekiç,
72,AblMelonHammerGiantSwing,Hammer Swing,Marteau toupie,Hammerkreisel,Piroetta martello,Trompo martillo,ジャイアントスイング,Hammer Swing,Marteau toupie,Trompo martillo,Çekiç Savuruşu,
73,AblMelonHammerRoll,Giant Swing,Pirouette marteau,Riesenschwung,Martello rotante,Giro martillo,だいしゃりん,Giant Swing,Pirouette marteau,Giro martillo,Dev Savurma,
74,AblMelonHammerRoolHyper,Ultra-Giant Swing,Pirouette ultra,Gigantenschwung,Turbine martello,Supergiro martillo,ごく・だいしゃりん,Ultra-Giant Swing,Pirouette ultra,Supergiro martillo,Ultra Dev Savurma,
75,AblMelonHammerUnder,Hammer Twirl,Marteau tourbillon,Hammerzwirbel,Trivella,Aspa martillo,ぐりぐりハンマー,Hammer Twirl,Marteau tourbillon,Aspa martillo,Çekiç Fırıldağı,
76,AblMelonHammerFire,Hammer Flip,Marteau ardent,Feuerzorn,Iper martellata,Martillo ígneo,"おにごろし
　⟦MSBT:0E00000000000A00040006004B3048309330⟧火炎ハンマー",Hammer Flip,Marteau ardent,Martillo ígneo,Çekiç Taklası,
77,AblMelonHammerSpell,Revival Spell,Sort de vie,Wiederbelebung,Incantesimo vitale,Conjuro resucitador,ふっかつのじゅもん,Revival Spell,Sort de vie,Conjuro resucitador,Diriltme Büyüsü,
78,AblMelonHammerNormalBtn,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,
79,AblMelonHammerGiantSwingBtn,Dash + ⟦MSBT:0E00010001000000⟧,Course + ⟦MSBT:0E00010001000000⟧,Spurten + ⟦MSBT:0E00010001000000⟧,Scatta + ⟦MSBT:0E00010001000000⟧,Corre + ⟦MSBT:0E00010001000000⟧,ダッシュ＋⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧,Ruée + ⟦MSBT:0E00010001000000⟧,Correr + ⟦MSBT:0E00010001000000⟧,Koş + ⟦MSBT:0E00010001000000⟧,
80,AblMelonHammerRollBtn,⟦MSBT:0E00010001000000⟧ in mid-air,⟦MSBT:0E00010001000000⟧ (en l'air),⟦MSBT:0E00010001000000⟧ in der Luft,⟦MSBT:0E00010001000000⟧ in aria,⟦MSBT:0E00010001000000⟧ en el aire,⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧ in midair,⟦MSBT:0E00010001000000⟧ (en l'air),⟦MSBT:0E00010001000000⟧ en el aire,Havada ⟦MSBT:0E00010001000000⟧,
81,AblMelonHammerRoolHyperBtn,Dash + ⟦MSBT:0E00010001000000⟧ in mid-air,Course + ⟦MSBT:0E00010001000000⟧ (en l'air),"Spurten + ⟦MSBT:0E00010001000000⟧
in der Luft",Scatta + ⟦MSBT:0E00010001000000⟧ in aria,Corre + ⟦MSBT:0E00010001000000⟧ en el aire,ダッシュ＋⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧ in midair,Ruée + ⟦MSBT:0E00010001000000⟧ (en l'air),Correr + ⟦MSBT:0E00010001000000⟧ en el aire,Koş + ⟦MSBT:0E00010001000000⟧ havada,
82,AblMelonHammerUnderBtn,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧＋⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010007000000⟧ + ⟦MSBT:0E00010001000000⟧,
83,AblMelonHammerFireBtn,⟦MSBT:0E00010006000000⟧ + release ⟦MSBT:0E00010001000000⟧,"⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ (appuyer ou
maintenir et relâcher)",⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ loslassen,"⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ (premi o tieni
premuto, poi rilascia)","⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ y luego
suelta ⟦MSBT:0E00010001000000⟧",⟦MSBT:0E00010006000000⟧＋⟦MSBT:0E00010001000000⟧はなす,⟦MSBT:0E00010006000000⟧ + release ⟦MSBT:0E00010001000000⟧,"⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ (appuyer ou
maintenir et relâcher)","⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧ y luego
suelta ⟦MSBT:0E00010001000000⟧",⟦MSBT:0E00010006000000⟧ + ⟦MSBT:0E00010001000000⟧'yi bırak,
84,AblMelonHammerSpellBtn,"⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ neben
gefallenem Mitspieler","⟦MSBT:0E00010003000000⟧ accanto a un
compagno ferito","⟦MSBT:0E00010003000000⟧ cerca de un
aliado caído","たおれたなかまの
そばで⟦MSBT:0E00010003000000⟧","⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ cerca de un
aliado caído","Düşmüş takım arkadaşının
yanında ⟦MSBT:0E00010003000000⟧",
85,AblMelonBeamWhip,Beam Whip,Rayon fouet,Peitschen-Beam,Raggio frusta,Látigo de luz,ビームウィップ,Beam Whip,Rayon fouet,Látigo de luz,Işın Kırbacı,
86,AblMelonBeamCicle,Cycle Beam,Rayon large,Kreisel-Beam,Raggio rotante,Látigo espiral,サイクルビーム,Cycle Beam,Rayon large,Bolas de luz,Döngü Işını,
87,AblMelonBeamMachinegun,Beam Blast,Rayon avalanche,Sturz-Beam,Raggio esplosivo,Ráfaga de luz,ビームマシンガン,Beam Blast,Rayon avalanche,Ráfaga de luz,Işın Patlaması,
88,AblMelonBeamTime,Time Beam,Rayon temporel,Zeit-Beam,Raggio temporale,Ráfaga temporal,タイムビーム,Time Beam,Rayon temporel,Ráfaga temporal,Zaman Işını,
89,AblMelonBeamSpell,Revival Spell,Sort de vie,Wiederbelebung,Incantesimo vitale,Conjuro resucitador,ふっかつのじゅもん,Revival Spell,Sort de vie,Conjuro resucitador,Diriltme Büyüsü,
90,AblMelonBeamWhipBtn,Release ⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧,⟦MSBT:0E00010001000000⟧はなす,Press and release ⟦MSBT:0E00010001000000⟧,"Appuyer sur ⟦MSBT:0E00010001000000⟧, puis
relâcher",⟦MSBT:0E00010001000000⟧ brevemente,⟦MSBT:0E00010001000000⟧'yi bırak,
91,AblMelonBeamCicleBtn,Dash + ⟦MSBT:0E00010001000000⟧,Course + ⟦MSBT:0E00010001000000⟧,Spurten + ⟦MSBT:0E00010001000000⟧,Scatta + ⟦MSBT:0E00010001000000⟧,Corre + ⟦MSBT:0E00010001000000⟧,ダッシュ＋⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧,Ruée + ⟦MSBT:0E00010001000000⟧,Correr + ⟦MSBT:0E00010001000000⟧,Koş + ⟦MSBT:0E00010001000000⟧,
92,AblMelonBeamMachinegunBtn,Dash + ⟦MSBT:0E00010001000000⟧ in mid-air,Course + ⟦MSBT:0E00010001000000⟧ (en l'air),"Spurten + ⟦MSBT:0E00010001000000⟧
in der Luft",Scatta + ⟦MSBT:0E00010001000000⟧ in aria,Corre + ⟦MSBT:0E00010001000000⟧ en el aire,ダッシュ＋⟦MSBT:0E00000000000E0004000A004F304630613085304630⟧空中で⟦MSBT:0E00010001000000⟧,Dash + ⟦MSBT:0E00010001000000⟧ in midair,Ruée + ⟦MSBT:0E00010001000000⟧ (en l'air),Correr + ⟦MSBT:0E00010001000000⟧ en el aire,Koş + ⟦MSBT:0E00010001000000⟧ havada,
93,AblMelonBeamTimeBtn,"Press and hold ⟦MSBT:0E00010001000000⟧,
then release","Maintenir ⟦MSBT:0E00010001000000⟧,
puis relâcher","⟦MSBT:0E00010001000000⟧ gedrückt halten,
dann loslassen","Tieni premuto ⟦MSBT:0E00010001000000⟧,
poi rilascia","Mantén pulsado ⟦MSBT:0E00010001000000⟧
y luego suéltalo",⟦MSBT:0E00010001000000⟧⟦MSBT:0E00000000000800020004006A304C30⟧長おし～はなす,"Press and hold ⟦MSBT:0E00010001000000⟧,
and then release","Maintenir ⟦MSBT:0E00010001000000⟧,
puis relâcher","Mantén oprimido ⟦MSBT:0E00010001000000⟧
y luego suéltalo","⟦MSBT:0E00010001000000⟧'yi basılı tut,
sonra bırak",
94,AblMelonBeamSpellBtn,"⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ neben
gefallenem Mitspieler","⟦MSBT:0E00010003000000⟧ accanto a un
compagno ferito","⟦MSBT:0E00010003000000⟧ cerca de un
aliado caído","たおれたなかまの
そばで⟦MSBT:0E00010003000000⟧","⟦MSBT:0E00010003000000⟧ near fallen
teammate","⟦MSBT:0E00010003000000⟧ près d'un équipier
tombé au combat","⟦MSBT:0E00010003000000⟧ cerca de un
aliado caído","Düşmüş takım arkadaşının
yanında ⟦MSBT:0E00010003000000⟧",
