file,label,index,English,French,German,Spanish,Italian,Dutch,Turkish,Notes,ObservedMaxLines,ObservedMaxLineChars,ObservedMinTotalChars,ObservedMaxTotalChars
hundred_cbm000msg.msbt,cbm_bmatch_starblln_00,184,Star Balloon,Ballon étoile,Sternballon,Globo estrella,Palloncino stella,Sterrenballon,Yıldız Balonu,,1,17,11,17
hundred_cbm000msg.msbt,cbm_bonusstr_mes_01,185,"A bonus star given to the player
who collected the most coins.","Une étoile décernée au joueur
qui a obtenu le plus de pièces.","Ein Bonus-Stern für den Spieler, der
die meisten Münzen gesammelt hat.","Bonificación para quien haya
conseguido más monedas.","Una stella bonus per il giocatore che
ha ottenuto più monete.","Deze bonusster is voor degene
die de meeste munten heeft
verzameld.","En çok jeton toplayan oyuncuya
verilen bonus yıldız.",,3,37,52,70
hundred_cbm000msg.msbt,cbm_itemshop_shyguy_01,186,"Good news! There's a rare
new item in stock!","Bienvenue !
J'ai un objet rare à vendre !","Gute Neuigkeiten!
Wir haben ein seltenes
neues Item auf Lager!","¡Tengo un nuevo objeto
bastante raro!","Ho delle ottime notizie!
È arrivato un oggetto
raro nuovo di zecca!","Goed nieuws! Ik heb een
zeldzaam nieuw voorwerp
binnengekregen.","Güzel haber! Stoklara nadir
yeni bir eşya geldi!",,3,29,37,67
hundred_cbm000msg.msbt,cbm_bonusstr_mes_02,187,"A bonus star given to the player
who acquired the most items.","Une étoile décernée au joueur
qui a obtenu le plus d'objets.","Ein Bonus-Stern für den Spieler, der
die meisten Items gesammelt hat.","Bonificación para quien haya
conseguido más objetos.","Una stella bonus per il giocatore
che ha ottenuto più oggetti.","Deze bonusster is voor degene
die de meeste voorwerpen heeft
verzameld.","En çok eşya edinen oyuncuya
verilen bonus yıldız.",,3,36,52,71
hundred_cbm000msg.msbt,cbm_itemshop_shyguy_02,188,"Sorry, but... We don't sell
anything you can afford.","Bienvenue ! Ah, désolé,
mais mes objets sont trop
chers pour vous...","Tut mir leid, aber...
Du kannst dir hier gerade
nichts leisten.","Lo siento, pero parece que
no te lo puedes permitir.","Spiacente, ma non posso
darti oggetti che non puoi
permetterti.","Het spijt me, maar we
hebben niets wat jij je kunt
veroorloven.","Üzgünüm ama... Alabileceğin
fiyatta hiçbir şey yok.",,3,28,52,68
hundred_cbm000msg.msbt,cbm_mgr_o_icon00,189,"The selected player will
receive double the coins!","Le joueur sélectionné
recevra le double de
pièces !","Der ausgewählte Spieler
erhält doppelt so viele
Münzen!","¡El jugador elegido recibirá
el doble de monedas!","Il giocatore selezionato
otterrà il doppio di monete!","De gekozen speler krijgt
dubbel zo veel munten!","Seçilen oyuncu
iki kat jeton alacak!",,3,28,47,55
hundred_cbm000msg.msbt,cbm_bonusstr_mes_03,190,"A bonus star given to the player
who collected the most minigame
balloons.","Une étoile décernée au joueur qui
a obtenu le plus de ballons mini-jeu.","Ein Bonus-Stern für den Spieler, der
die meisten Minispiel-Ballons
gesammelt hat.","Bonificación para quien haya logrado
más globos de minijuegos.","Una stella bonus per il giocatore che
ha raccolto più palloncini minigioco.","Deze bonusster is voor degene
die de meeste minigame-ballonnen
heeft verzameld.","En çok Mini Oyun Balonu toplayan
oyuncuya verilen bonus yıldız.",,3,37,62,81
hundred_cbm000msg.msbt,cbm_graph_003,191,Graph,Graphique,Verlauf,Gráfica,Grafico,Overzicht,Grafik,,1,9,5,9
hundred_cbm000msg.msbt,cbm_itm005_scrpt,192,Duel for the reward!,misées. Place au duel !,Kämpft um die Belohnung!,¡Lucha por las monedas!,Duello per le monete!,Duel om de beloning!,Ödül için düello!,,1,24,20,24
hundred_cbm000msg.msbt,cbm_mgr_o_icon01,193,"The players on the selected
player's team will also get
double the coins!","Les coéquipiers du joueur
sélectionné recevront eux
aussi le double de pièces !","Das Team dieses Spielers
erhält ebenfalls doppelt
so viele Münzen!","¡Los demás jugadores del
equipo también recibirán
el doble de monedas!","Anche chi è in squadra con
il giocatore selezionato
otterrà il doppio di monete!","De spelers in het team van
de gekozen speler krijgen
ook dubbel zo veel munten!","Seçilen oyuncunun takımı da
iki kat jeton
kazanacak!",,3,28,66,80
hundred_cbm000msg.msbt,cbm_bonusstr_mes_05,194,"A bonus star given to the player
who advanced the most spaces.","Une étoile décernée au joueur qui
s'est le plus déplacé sur le plateau.","Ein Bonus-Stern für den Spieler, der
die meisten Felder zurückgelegt hat.","Bonificación para quien haya
avanzado más casillas.","Una stella bonus per il giocatore che
è avanzato di più caselle.","Deze bonusster is voor degene
die de meeste vakjes heeft gelopen.","En çok ilerleyen oyuncuya
verilen bonus yıldız.",,2,37,51,73
hundred_cbm000msg.msbt,cbm_bonusstr_mes_06,195,"A bonus star given to a player
who didn't collect many items.","Une étoile décernée au joueur qui
n'a presque pas obtenu d'objets.","Ein Bonus-Stern für den Spieler, der
eher weniger Items gesammelt hat.","Bonificación para quien no haya
recogido muchos objetos.","Una stella bonus per il giocatore che
non ha ottenuto molti oggetti.","Deze bonusster is voor een speler
die niet zo veel voorwerpen heeft
verzameld.","Çok az eşya toplayan bir oyuncuya
verilen bonus yıldız.",,3,37,56,78
hundred_cbm000msg.msbt,cbm_bonuscom_021,196,It's {C:0:3:0500}[n0]{C:0:3:0200}!,Elle revient à {C:0:3:0500}[n0]{C:0:3:0200} !,{C:0:3:0500}[n0]{C:0:3:0200}!,¡Para {C:0:3:0500}[n0]{C:0:3:0200}!,È {C:0:3:0500}[n0]{C:0:3:0200}!,"Deze ster gaat naar
{C:0:3:0500}[n0]{C:0:3:0200}!",{C:0:3:0500}[n0]{C:0:3:0200}!,,2,45,29,49
hundred_cbm000msg.msbt,cbm_bonusstr_mes_07,197,"A bonus star given to a player who
didn't collect many Star Balloons.","Une étoile décernée au joueur qui
n'a presque pas obtenu de ballons
étoile.","Ein Bonus-Stern für den Spieler, der
eher weniger Sternballons gesammelt
hat.","Bonificación para quien no haya
recogido muchos globos estrella.","Una stella bonus per il giocatore
che non ha raccolto molti
palloncini minigioco.","Deze bonusster is voor een speler
die niet zo veel sterrenballonnen
heeft verzameld.","Çok az Yıldız Balonu toplayan bir
oyuncuya verilen bonus yıldız.",,3,36,64,84
hundred_cbm000msg.msbt,cbm_bonuscom_022,198,"It's {C:0:3:0500}[n0]
{C:0:3:0200}and {C:0:3:0500}[n1]{C:0:3:0200}!","Elle revient à la fois à {C:0:3:0500}[n0]
{C:0:3:0200}et à {C:0:3:0500}[n1]{C:0:3:0200} !","{C:0:3:0500}[n0]{C:0:3:0200} und
{C:0:3:0500}[n1]{C:0:3:0200}!","¡Son {C:0:3:0500}[n0]
{C:0:3:0200}y {C:0:3:0500}[n1]{C:0:3:0200}!","Sono {C:0:3:0500}[n0]
{C:0:3:0200}e {C:0:3:0500}[n1]{C:0:3:0200}!","Deze ster gaat naar
{C:0:3:0500}[n0] {C:0:3:0200}en {C:0:3:0500}[n1]{C:0:3:0200}!","{C:0:3:0500}[n0]
{C:0:3:0200}ve {C:0:3:0500}[n1]{C:0:3:0200}!",,2,61,62,89
hundred_collection.msbt,cn_ss_msg_025,0,"This handy wind-up toy can
snatch an item away from one
of your rivals.","Permet de voler un objet à un
rival en faisant intervenir un
Hélico Maskass.","Mit diesem praktischen Item
kannst du einem Mitspieler
ein Item klauen.","Este práctico juguete
a cuerda puede birlarle
un objeto a tus rivales.","Questo giocattolo può
sottrarre un oggetto a
uno dei tuoi rivali.","Dit handige stuk
opwindspeelgoed kan
een voorwerp van een
tegenspeler afpakken.","Bu kurmalı oyuncak,
rakiplerinden birinin
eşyasını kapıp sana
getirir.",,4,30,65,79
hundred_collection.msbt,cn_ss_msg_026,1,"Dump all of your ho-hum items
on a rival in exchange for all
their sweet gear.","Permet d'échanger tous ses
objets avec ceux d'un rival.","Gib einem Mitspieler all deine
Ausrüstung und reiß dir dafür
seine unter den Nagel.","Si tus objetos son un rollo y
prefieres los que lleve un rival,
¡usa esto para cambiárselos!","Ruba gli oggetti a un tuo
rivale rifilandogli in cambio
i tuoi oggetti inutili.","Wissel jouw nutteloze
voorwerpen om voor de gave
dingen van je tegenspeler!","İşe yaramaz eşyalarının hepsini
bir rakibine verip onun güzel
eşyalarının tamamını alırsın.",,3,33,55,92
hundred_collection.msbt,cn_ss_msg_027,2,"Sends out Boo to fetch one
of your rivals' stars.","Permet de voler une étoile à
un rival en faisant intervenir
un Boo.","Schicke einen Buu Huu los,
um einem Gegner einen Stern
abzunehmen.","Envía un Boo a robarle
una estrella a alguno
de tus rivales.","Invia un Boo a rubare una
delle stelle dei tuoi rivali.","Stuur Boo eropuit om een ster
van een van je tegenspelers
te stelen.","Boo’yu gönderir ve rakiplerinden
birinin yıldızını çaldırırsın.",,3,30,49,68
hundred_collection.msbt,cn_ss_msg_028,3,"Grants one very specific wish:
the desire to be at the spot
with the Star Balloon.","Permet de se téléporter sur
la case où se trouvent le ou
les ballons étoile.","Dieses Item gewährt einen
ganz bestimmten Wunsch:
An der Stelle zu sein, wo sich
der Sternballon befindet.","Satisface ese peculiar
e intenso deseo de estar ya
mismo con el globo estrella.","Esaudisce un desiderio molto
specifico: raggiungere un
palloncino stella!","Vervult één heel specifieke
wens: die om op dezelfde plek
te zijn als de sterrenballon.","Tek bir dileği gerçekleştirir:
Seni Yıldız Balonu’nun bulunduğu
yere ışınlar.",,4,30,73,106
hundred_collection.msbt,cn_ss_msg_029,4,"Tie Chain Chomp to the
Star Balloon and see where
he drags it!","Un Chomp expédie le(s)
ballon(s) étoile sur une
autre case.","Binde einen Kettenhund an
den Sternballon und schau,
wohin er ihn schleift!","Ata el Chomp Cadenas
al globo estrella, ¡a ver
adónde lo lleva!","Lega un Categnaccio a un
palloncino stella e guarda
dove lo porta!","Bind een Chain Chomp aan de
sterrenballon en kijk waar hij
hem heen trekt!","Chain Chomp’u Yıldız Balonu’na
bağla; bakalım onu nereye
sürükleyecek!",,3,30,59,75
hundred_collection.msbt,cn_sd_tl_000,5,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
hundred_collection.msbt,cn_sd_msg_010,6,"Minigame Match
Prize Ceremony
Music","Match de mini-jeux
Remise des prix","Minispiel-Match
(Siegeszeremonie)","Duelo de minijuegos
(entrega de premios)","Isole dei minigiochi -
Cerimonia di
premiazione","Bordspel,
prijsuitreikingsmuziek","Mini Oyun Maçı
Ödül Töreni Müziği",,3,22,32,47
hundred_collection.msbt,cn_sd_msg_011,7,"Minigame Match
Results Time! Music","Match de mini-jeux
Résultats","Minispiel-Match
(Ergebnis)","Duelo de minijuegos
(resultados)","Isole dei minigiochi -
Arrivano i risultati!","Bordspel,
resultatenmuziek","Mini Oyun Maçı
Sonuç Müziği",,2,22,26,44
hundred_collection.msbt,cn_sd_msg_012,8,"Minigame Island
World 1 Music","Îles aux mini-jeux
Monde 1","Minispiel-Inseln
(Welt 1)","Islas de los
minijuegos
(Mundo 1)","Isole dei minigiochi -
Mondo 1","Minigame-eilanden,
muziek van wereld 1","Mini Oyun Adaları
Dünya 1 Müziği",,3,22,25,38
hundred_collection.msbt,cn_sd_msg_013,9,"Minigame Island
Donkey Kong
Arrives! Music","Îles aux mini-jeux
Arrivée de
Donkey Kong","Minispiel-Inseln
(Donkey Kong)","Islas de los
minijuegos
(Llega Donkey Kong)","Isole dei minigiochi -
Arriva Donkey Kong!","Minigame-eilanden,
Donkey Kongs
muziek","Mini Oyun Adaları
Donkey Kong Geliyor!
Müziği",,3,22,30,43
hundred_collection.msbt,cn_sd_msg_014,10,"Minigame Island
Game Over Music","Îles aux mini-jeux
Partie terminée","Minispiel-Inseln
(Game Over)","Islas de los
minijuegos
(Fin de la partida)","Isole dei minigiochi -
Game Over?","Minigame-eilanden,
muziek bij
'game over'","Mini Oyun Adaları
Oyun Bitti Müziği",,3,22,28,43
hundred_collection.msbt,cn_sd_msg_015,11,"Minigame Island
World 2 Music","Îles aux mini-jeux
Monde 2","Minispiel-Inseln
(Welt 2)","Islas de los
minijuegos
(Mundo 2)","Isole dei minigiochi -
Mondo 2","Minigame-eilanden,
muziek van wereld 2","Mini Oyun Adaları
Dünya 2 Müziği",,3,22,25,38
hundred_collection.msbt,cn_ss_release_001,12,Released 1999.,Sorti en 1999,1999,Año: 1999,Uscito nel 1999.,Jaar: 1999,Çıkış yılı: 1999,,1,16,4,16
hundred_collection.msbt,cn_sd_msg_016,13,"Minigame Island
Bowser Arrives!
Music","Îles aux mini-jeux
Arrivée de Bowser","Minispiel-Inseln
(Bowser)","Islas de los
minijuegos
(Llega Bowser)","Isole dei minigiochi -
Arriva Bowser!","Minigame-eilanden,
Bowsers muziek","Mini Oyun Adaları
Bowser Geliyor!
Müziği",,3,22,25,38
hundred_collection.msbt,cn_ss_release_002,14,Released 2000.,Sorti en 2000,2000,Año: 2000,Uscito nel 2000.,Jaar: 2000,Çıkış yılı: 2000,,1,16,4,16
hundred_collection.msbt,cn_sd_msg_017,15,"Minigame Island
World 3 Music","Îles aux mini-jeux
Monde 3","Minispiel-Inseln
(Welt 3)","Islas de los
minijuegos
(Mundo 3)","Isole dei minigiochi -
Mondo 3","Minigame-eilanden,
muziek van wereld 3","Mini Oyun Adaları
Dünya 3 Müziği",,3,22,25,38
hundred_collection.msbt,cn_ss_release_003,16,Released 2001.,Sorti en 2001,2001,Año: 2001,Uscito nel 2001.,Jaar: 2001,Çıkış yılı: 2001,,1,16,4,16
hundred_collection.msbt,cn_sd_msg_018,17,"Minigame Island
Event Music","Îles aux mini-jeux
Événement","Minispiel-Inseln
(Ereignis)","Islas de los
minijuegos
(Evento)","Isole dei minigiochi -
Imprevisto","Minigame-eilanden,
muziek bij speciale
gebeurtenis","Mini Oyun Adaları
Etkinlik Müziği",,3,22,27,50
hundred_collection.msbt,cn_ss_release_004,18,Released 2002.,Sorti en 2002,2002,Año: 2002,Uscito nel 2002.,Jaar: 2002,Çıkış yılı: 2002,,1,16,4,16
hundred_collection.msbt,cn_sd_msg_019,19,"Minigame Island
World 4 Music","Îles aux mini-jeux
Monde 4","Minispiel-Inseln
(Welt 4)","Islas de los
minijuegos
(Mundo 4)","Isole dei minigiochi -
Mondo 4","Minigame-eilanden,
muziek van wereld 4","Mini Oyun Adaları
Dünya 4 Müziği",,3,22,25,38
hundred_collection.msbt,cn_ss_release_005,20,Released 2003.,Sorti en 2003,2003,Año: 2003,Uscito nel 2003.,Jaar: 2003,Çıkış yılı: 2003,,1,16,4,16
hundred_collection.msbt,cn_ss_release_006,21,Released 2005.,Sorti en 2005,2005,Año: 2005,Uscito nel 2005.,Jaar: 2005,Çıkış yılı: 2005,,1,16,4,16
hundred_collection.msbt,cn_ss_release_007,22,Released 2006.,Sorti en 2006,2006,Año: 2006,Uscito nel 2006.,Jaar: 2006,Çıkış yılı: 2006,,1,16,4,16
hundred_collection.msbt,cn_ss_release_008,23,Released 2007.,Sorti en 2007,2007,Año: 2007,Uscito nel 2007.,Jaar: 2007,Çıkış yılı: 2007,,1,16,4,16
hundred_collection.msbt,cn_ss_release_009,24,Released 2012.,Sorti en 2012,2012,Año: 2012,Uscito nel 2012.,Jaar: 2012,Çıkış yılı: 2012,,1,16,4,16
hundred_collection.msbt,cn_ss_msg_010,25,"A new party begins—and
Bowser is the star?! Do
your worst to defeat Mario
and friends!","Cette fois, Bowser est à
l'honneur ! À vous de
battre Mario et ses amis
pour leur gâcher la fête !","Eine neue Party mit
Bowser als Star? Tu alles,
um Mario & Co. zu
besiegen!","¡¿Cómo que la estrella es
Bowser?! ¡Pásate a su
bando para vencer a Mario
y sus amigos!","Inizia un nuovo party
e la stella è... Bowser?!
Fai del tuo peggio e batti
Mario e i suoi amici!","Bowser is de ster van dit
feestje! Toon je van je
slechtste kant en versla
Mario en zijn vrienden.","Yeni bir parti başlıyor—
ama yıldız Bowser mı?!
Mario ve dostlarını yen,
en kötü hâlini göster!",,4,26,74,98
hundred_collection.msbt,cn_ss_msg_011,26,"The brightest of all, said to
shine only once a millennium!
Whoever has it is the biggest
super star in the galaxy!","On dit qu'il ne se forme qu'une
étoile millénaire tous les 1 000
ans. Quiconque en détient une
est une superstar galactique !","Der hellste Stern von allen
strahlt nur einmal alle 1000
Jahre! Wer ihn hat, ist der
größte Superstar der Galaxis!","Brilla cada mil años, ¡pero con
más fuerza que ninguna!
¡Quien la tenga será la
superestrella de la galaxia!","La stella più luminosa di tutte.
Si dice che appaia solo una
volta ogni mille anni. Chi la
trova diventa la Superstar!","De helderste van alle sterren
schijnt maar eens in de 1000
jaar. Alleen voor de grootste
superster van de Melkweg!","Hepsinin en parlağı; bin yılda
bir ışıldadığı söylenir! Ona sahip
olan, galaksinin en büyük
süper yıldızı olur!",,4,32,108,125
hundred_collection.msbt,cn_ss_msg_012,27,"The Millennium Star's power
infused life into this humble
die. He now acts as a guide
to the partygoers.","Les pouvoirs de l'étoile
millénaire ont donné vie à ce
dé. Il joue le rôle de guide
pour Mario et ses amis.","Die Macht des Millenium-
Sterns hat diesen Würfel zum
Leben erweckt. Er führt die
Partygäste durchs Spiel.","La Estrella Milenaria le
infundió vida a este dado
que ahora sirve de guía
a los jugadores.","Il potere della stella millenaria
ha dato vita a questo dado.
Ora è diventato una guida
per tutti i concorrenti.","De kracht van de Millennium
Star heeft deze dobbelsteen
tot leven gewekt. Hij helpt de
feestvierders bij het spelen.","Milenyum Yıldızı’nın gücü bu
sıradan zara can verdi. Artık
partiye katılanlara rehberlik ediyor.",,4,33,91,116
hundred_collection.msbt,cn_ss_msg_013,28,"Star Spirits from the Dream
Depot, a dreamy world found
far away in the starry sky.","Ces esprits étoile résident
dans une région appelée
le pays des rêves, aux
confins du ciel étoilé.","Die hohen Sterne aus der
Sternenzuflucht, einer
Traumwelt weit hinter dem
Blau des Himmels.","Vienen de Oniria, un mundo
de sueños situado
en estrellas lejanas.","Gli Spiriti Stellari appartenenti
a Sognilandia, un mondo
remoto che si trova lontano
nel cielo stellato.","Dit zijn de Star Spirits uit het
Dream Depot, een droom-
wereld ver weg aan de
sterrenhemel.","Yıldızlı göğün çok ötesindeki
rüya âlemi Rüya Deposu’ndan
gelen Yıldız Ruhları.",,4,33,66,105
hundred_collection.msbt,cn_ss_msg_014,29,"Agents of the sun and moon
shining in the sky over Mario's
world. They take turns as day
passes into night and back.","Dans le monde de Mario,
Célestin représente le soleil
et Séléna la lune. Ils régissent
le cycle du jour et de la nuit.","Repräsentanten von Sonne
und Mond, die abwechselnd
über der Welt von Mario
leuchten.","Representantes del sol
y la luna, se van turnando
en el cielo con el paso
de los días y las noches.","Regolano il moto di sole e luna
che splendono nel cielo sul
mondo di Mario. Alternandosi,
creano il giorno e la notte.","Deze twee staan hoog aan de
lucht in de wereld van Mario.
Ze wisselen elkaar af, als de
zon en de maan.","Mario’nun dünyasında gökyüzünü
aydılatan güneş ve ayın temsilcileri.
Gündüzle gece değiştikçe sırayla
görev başına geçerler.",,4,32,84,118
hundred_collection.msbt,cn_ss_msg_015,30,"Princess Peach's elderly
retainer who gifted the
partygoers with a vacation
cruise.","Ce serviteur de la princesse
Peach a offert une croisière
à Mario et ses amis pour leurs
vacances.","Der weise alte Berater von
Prinzessin Peach, der den
Partygästen eine Kreuzfahrt
spendiert hat.","Anciano asistente de la
princesa Peach que brinda
a los jugadores unas
vacaciones en un crucero.","Il più anziano degli assistenti
della Principessa Peach. Ha
invitato i concorrenti del party
a una crociera.","Prinses Peach' trouwe
adviseur die Mario en zijn
vrienden op een cruise
heeft getrakteerd.","Prenses Peach’in yaşlı yardımcısı.
Parti ekibine tatil hediyesi olarak
bir gemi yolculuğu armağan etti.",,4,32,83,108
hundred_collection.msbt,cn_ss_msg_016,31,"MC Ballyhoo is on the mic,
while Big Top is on his head.
Together, they act as guides
at the Star Carnival.","Martin Tamarre est au micro,
et Gai Lurin est son chapeau.
Ils jouent le rôle de guides du
carnaval de l'Étoile.","Billy Balla-Balla ist am Mikro,
während Kopftopf auf seinem
Kopf sitzt. Sie führen durch
den Jahrmarkt der Sterne.","Gundimero el Pregonero coge
el micrófono y lleva a Capirón
en su cabeza. Juntos son los
guías de la Feria de la Estrella.","Sir Baraonda al microfono e
Joe Cilindro sulla sua testa.
Insieme guidano i concorrenti
alla Fiera delle Stelle.","MC Ballyhoo loodst je met
zijn microfoon in zijn hand
en Big Top op zijn hoofd
door het sterrencarnaval.","Mikrofonda MC Ballyhoo, başında
ise Big Top! İkisi birlikte
Yıldız Karnavalı’nda rehberlik eder.",,4,33,104,121
hundred_collection.msbt,cn_ss_msg_017,32,"Gives a little extra to your
rolls by adding 3.",Ajoute 3 à un lancer de dé.,"Fügt deinem Würfelergebnis
3 hinzu.","Te ayuda un poquito
sumando 3 a tu tirada.","Ti permette di muoverti di
3 caselle supplementari
quando lanci il dado.",Verhoogt je worp met 3.,"Zarına küçük bir destek verir:
attığın sayıya 3 ekler.",,3,28,23,72
hundred_collection.msbt,cn_sd_btn_000,33,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
hundred_collection.msbt,cn_ss_msg_018,34,"When you need a big boost,
use this to add 5 to your roll.",Ajoute 5 à un lancer de dé.,"Fügt deinem Würfelergebnis
5 hinzu, wenn du mal
besonders hoch würfeln
musst.","Suma 5 a tu tirada, así que
úsalo cuando necesites
un buen empujón.","Ti permette di muoverti di
5 caselle supplementari
quando lanci il dado.",Verhoogt je worp met 5.,"Büyük bir desteğe ihtiyacın varsa
kullan; zarına 5 ekler.",,4,31,23,77
hundred_collection.msbt,cn_sd_btn_001,35,???,???,???,(?),???,???,???,,1,3,3,3
hundred_collection.msbt,cn_ss_msg_019,36,"Lowers a rival's roll by 2.
Practice saying, ""You wouldn't
do that to me..."" now.","Retranche 2 au lancer de dé
d'un rival.","Reduziert das Würfelergebnis
von Mitspielern um 2. Aber
wer macht denn so was?","Resta 2 a la tirada de
un rival. Te dirán que no
lo uses, pero tú ni caso.","Sottrae 2 movimenti a un
rivale quando lancia il dado.","Verlaagt de worp van een
tegenspeler met 2.
Zorg maar dat je lief kijkt!","Bir rakibin zarından 2 eksiltir.
Şimdiden “Bana bunu yapmazsın...”
demeye başlasan iyi olur.",,3,30,39,81
hundred_collection.msbt,menu_title_011,37,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
hundred_collection.msbt,menu_info_u_018,38,Which music will you listen to?,Choisissez un morceau.,Welche Musik möchtest du dir anhören?,¿Qué música quieres escuchar?,Quale tema vuoi ascoltare?,Welke muziek wil je horen?,Hangi müziği dinlemek istersin?,,1,37,22,37
hundred_collection.msbt,cn_ss_msg_030,39,"Let Bowser's might flow
through you as you stomp on
your rivals to steal their stars.","Permet de se transformer
en Bowser et de voler des
étoiles à ses rivaux en les
écrasant.","Nutze Bowsers Macht, um
deinen Mitspielern ihre
Sterne abzunehmen!","Siéntete como Bowser
mientras empujas a tus rivales
y les arrebatas sus estrellas.","La potenza di Bowser ti
permette di schiacciare un
rivale e rubargli le stelle.","Voel hoe het is om Bowser te
zijn en stamp je tegenspelers
plat om hun sterren te stelen!","Bowser’ın gücü içine dolsun!
Rakiplerini ezip yıldızlarını
çalabilirsin.",,4,33,66,89
hundred_collection.msbt,cn_sd_msg_000,40,Menu Music,Menu,Menümusik,Música de los menús,Menu,"Muziek van het
hoofdmenu",Menü Müziği,,2,19,4,24
hundred_collection.msbt,cn_msg_000,41,Hear the game's music.,"Écoutez les morceaux que
vous avez débloqués.","Hör dir Musik aus dem Spiel
an.",Escucha la música del juego.,Ascolta le musiche del gioco.,"Luister naar de muziek
van de game.",Oyundaki müzikleri dinle.,,2,29,22,45
hundred_collection.msbt,cn_sd_msg_001,42,"Play With Friends
Menu Music","Multijoueur
Menu","Mehrspielerpartie
(Menü)",Todos juegan,Multigiocatore,"Muziek van het menu
van Multiplayer","Arkadaşlarla Oyna
Menü Müziği",,2,19,12,35
hundred_collection.msbt,cn_msg_001,43,"Get some background
on the games in the
Mario Party series.","Consultez des informations
sur la série Mario Party.","Erfahre mehr über die Spiele
der Mario Party-Reihe.","Descubre la historia
de los títulos de
la serie Mario Party.","Vedi qualche informazione
sui giochi della serie
Mario Party.","Leer meer over de games
in de Mario Party-serie.","Mario Party serisindeki
oyunların geçmişini öğren.",,3,28,48,61
hundred_collection.msbt,cn_sd_msg_002,44,Collection Music,Collection,Sammlung,Colección,Collezione,Encycloparty-muziek,Koleksiyon Müziği,,1,19,8,19
hundred_collection.msbt,cn_msg_002,45,View the game's credits.,"Regardez le générique
qui contient les crédits
du logiciel.","Sieh dir die Credits des
Spiels an.","Consulta los créditos
del juego.",Vedi i titoli di coda del gioco.,"Bekijk wie er aan deze
game hebben meegewerkt.",Oyunun jeneriğini izle.,,3,32,24,59
hundred_collection.msbt,cn_sd_msg_003,46,Staff Credits Music,Crédits,Credits,Créditos,Riconoscimenti,"Muziek van
de credits",Ekip Jeneriği Müziği,,2,19,7,21
hundred_collection.msbt,cn_sd_mg_000,47,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
hundred_collection.msbt,cn_msg_003,48,"Learn about the items in
Minigame Match.","Consultez des informations
sur les objets apparaissant
dans le mode Match de
mini-jeux.","Sieh dir die Items aus
„Minispiel-Match“ an.","Obtén información acerca
de los objetos usados en
el duelo de minijuegos.","Ottieni informazioni sugli
oggetti presenti nella
modalità Sfida minigiochi.","Leer meer over de
voorwerpen in het bordspel.","Mini Oyun Maçı’ndaki
eşyaları yakından tanı.",,4,27,40,87
hundred_collection.msbt,cn_sd_msg_004,49,"Minigame Match
Map Music","Match de mini-jeux
Plateau","Minispiel-Match
(Karte)","Duelo de minijuegos
(mapa)","Sfida minigiochi -
Mappa","Bordspel,
bordmuziek","Mini Oyun Maçı
Harita Müziği",,2,19,20,26
hundred_collection.msbt,cn_sd_msg_005,50,"Minigame Match
Map Music","Match de mini-jeux
Plateau","Minispiel-Match
(Karte)","Duelo de minijuegos
(mapa)","Sfida minigiochi -
Mappa","Bordspel,
bordmuziek","Mini Oyun Maçı
Harita Müziği",,2,19,20,26
hundred_collection.msbt,cn_sd_msg_006,51,"Minigame Match
Progress Music","Match de mini-jeux
Classement actuel","Minispiel-Match
(Fortschritt)","Duelo de minijuegos
(clasificación)","Sfida minigiochi -
Classifica attuale","Bordspel,
voortgangsmuziek","Mini Oyun Maçı
Gidişat Müziği",,2,19,26,37
hundred_collection.msbt,cn_sd_msg_007,52,"Minigame Match
Dueling Music","Match de mini-jeux
Duel","Minispiel-Match
(Duell)","Duelo de minijuegos
(duelo)","Sfida minigiochi -
Duello","Bordspel,
duelmuziek","Mini Oyun Maçı
Düello Müziği",,2,19,20,28
hundred_collection.msbt,cn_sd_msg_008,53,"Minigame Match
Minigame Roulette
Music","Match de mini-jeux
Roue des mini-jeux","Minispiel-Match
(Minispiel-Roulette)","Duelo de minijuegos
(ruleta)","Sfida minigiochi -
Roulette minigioco","Bordspel,
roulettemuziek","Mini Oyun Maçı
Mini Oyun Ruleti
Müziği",,3,20,24,38
hundred_collection.msbt,cn_sd_msg_009,54,"Minigame Match
Opening Music","Match de mini-jeux
Début de partie","Minispiel-Match
(Eröffnung)","Duelo de minijuegos
(obertura)","Sfida minigiochi -
Introduzione","Bordspel,
openingsmuziek","Mini Oyun Maçı
Açılış Müziği",,2,19,24,34
hundred_collection.msbt,cn_tl_00,55,[0],[0],[0],[0],[0],[0],[0],,1,3,3,3
