index,key,English,French,German,Italian,Spanish,Turkish,prefix_hex
368,map_prompt_chooseworld_core:0:*,\dpad_left_right    Choose World,\dpad_left_right CHOIX DU MONDE,\dpad_left_right  <space=0.5>Welt wählen,\dpad_left_right    <space=0.5>Scegli mondo,\dpad_left_right   <space=0.75>Elegir mundo,\dpad_left_right    Dünya Seç,01
369,map_prompt_chooseworld_core:1:*, \cb114cf6     Choose World, \cb114cf6  CHOIX DU MONDE, \cb114cf6  <space=0.5> Welt wählen, \cb114cf6     <space=0.5>Scegli mondo, \cb114cf6   <space=0.75>Elegir mundo, \cb114cf6     Dünya Seç,01
370,map_prompt_continue:0:*,\b0013bc9OK,\b0013bc9OK,\b0013bc9O.K.,\b0013bc9OK,\b0013bc9 Aceptar,\b0013bc9Tamam,01
371,map_prompt_continue_core:0:*,\b0013bc9OK,\b0013bc9OK,\b0013bc9O.K.,\b0013bc9OK,\b0013bc9 Aceptar,\b0013bc9Tamam,01
372,map_prompt_freelook:0:*,\9097e9e2        <space=0.5>FreeLook,\9097e9e2       <space=0.5>VUE LIBRE,\9097e9e2  <squish=0.85>Panoramaansicht,\9097e9e2      <space=0.5>Panoramica,\9097e9e2      Vista libre,\9097e9e2        <space=0.5><squish=0.85>Serbest Bakış,01
373,map_prompt_freelookreturn:0:*,\9097e9e2          <space=0.4>Return,\9097e9e2         <space=0.1>RETOUR,\9097e9e2      <space=0.5>Verlassen,\9097e9e2          Indietro,\9097e9e2         <space=0.4>Volver,\9097e9e2          <space=0.4>Geri Dön,01
374,map_prompt_freelookreturn_c:0:*,\9097e9e2          <space=0.4>Return,\9097e9e2         <space=0.1>RETOUR,\9097e9e2      <space=0.5>Verlassen,\9097e9e2          Indietro,\9097e9e2         <space=0.4>Volver,\9097e9e2          <space=0.4>Geri Dön,01
375,map_prompt_freelook_core:0:*,\9097e9e2        <space=0.5>FreeLook,\9097e9e2       <space=0.5>VUE LIBRE,\9097e9e2  <squish=0.85>Panoramaansicht,\9097e9e2      <space=0.5>Panoramica,\9097e9e2       Vista libre,\9097e9e2        <space=0.5><squish=0.85>Serbest Bakış,01
376,map_prompt_rotate:0:*,\tstick_all_directions         <space=0.5>Rotate,\tstick_all_directions   <space=0.5>FAIRE PIVOTER,\tstick_all_directions       <space=0.5>Drehen,\tstick_all_directions        <space=2.2>Ruota,\tstick_all_directions <space=1.6><squish=0.82>Mover la cámara,\tstick_all_directions         <space=0.5>Döndür,01
377,map_prompt_rotate_core:0:*,\dpad_all_directions         <space=0.5>Rotate,\dpad_all_directions   <space=0.5>FAIRE PIVOTER,\dpad_all_directions       <space=0.5>Drehen,\dpad_all_directions        <space=2.2>Ruota,\dpad_all_directions <space=1.6><squish=0.82>Mover la cámara,\dpad_all_directions         <space=0.5>Döndür,01
378,map_select:0:*,\b0013bc9           <space=0.5>Select,\b0013bc9     SÉLECTIONNER,\b0013bc9     Auswählen,\b0013bc9        Conferma,\b0013bc9      Seleccionar,\b0013bc9           <space=0.5>Seç,01
379,map_select_core:0:*,\b0013bc9           <space=0.5>Select,\b0013bc9     SÉLECTIONNER,\b0013bc9     Auswählen,\b0013bc9        Conferma,\b0013bc9      Seleccionar,\b0013bc9           <space=0.5>Seç,01
380,medaltimesuffix:0:*,\8a502bab,\8a502bab,\8a502bab,\8a502bab,\8a502bab,\8a502bab,01
381,medaltimesuffix:1:*,\f424dc18,\f424dc18,\f424dc18,\f424dc18,\f424dc18,\f424dc18,01
382,medaltimesuffix:2:*,\82a735cb,\82a735cb,\82a735cb,\82a735cb,\82a735cb,\82a735cb,01
383,medaltimesuffix:3:*,\08db579e,\08db579e,\08db579e,\08db579e,\08db579e,\08db579e,01
384,medaltimesuffix:4:*,\9cb5ee8e,\9cb5ee8e,\9cb5ee8e,\9cb5ee8e,\9cb5ee8e,\9cb5ee8e,01
385,medaltimesuffix_bronze:0:*,\742b4fd9,\742b4fd9,\742b4fd9,\742b4fd9,\742b4fd9,\742b4fd9,01
386,medaltimesuffix_gold:0:*,\b7bdc79f,\b7bdc79f,\b7bdc79f,\b7bdc79f,\b7bdc79f,\b7bdc79f,01
387,medaltimesuffix_sgold:0:*,\ca217ead,\ca217ead,\ca217ead,\ca217ead,\ca217ead,\ca217ead,01
388,medaltimesuffix_silver:0:*,\02ada98c,\02ada98c,\02ada98c,\02ada98c,\02ada98c,\02ada98c,01
389,menu_back:0:*,\90279b99Back,\90279b99<squish=0.8>RETOUR,\90279b99<squish=0.85>Zurück,\90279b99ESCI,\90279b99Atrás,\90279b99Geri,01
390,menu_backshop:0:*,\90279b99Exit Shop,\90279b99QUITTER,\90279b99Verlassen,\90279b99Esci,\90279b99Salir,\90279b99Çık,01
391,menu_backshop_core:0:*,\90279b99Exit Shop,\90279b99QUITTER,\90279b99Verlassen,\90279b99Esci,\90279b99Salir,\90279b99Çık,01
392,menu_back_areamap:0:*, \90279b99        Island Map, \90279b99     CARTE DE L'ÎLE, \90279b99     <space=0.1>Insel-Karte, \90279b99       Mappa isola, \90279b99  <space=0.5>Mapa de la isla, \90279b99        Ada Haritası,01
393,menu_back_areamap_core:0:*, \90279b99        Island Map, \90279b99     CARTE DE L'ÎLE, \90279b99     <space=0.1>Insel-Karte, \90279b99       Mappa isola, \90279b99  <space=0.5>Mapa de la isla, \90279b99        Ada Haritası,01
394,menu_back_core:0:*,\90279b99Back,\90279b99<squish=0.8>RETOUR,\90279b99<squish=0.85>Zurück,\90279b99ESCI,\90279b99Atrás,\90279b99Geri,01
395,menu_cancel:0:*,CANCEL,ANNULER,LÖSCHEN,ANNULLA,CANCELAR,İPTAL,01
396,menu_confirm:0:*,OK,OK,O.K.,OK,ACEPTAR,TAMAM,01
397,menu_copy:0:*,\y_button_32Copy,\y_button_32<squish=0.8>COPIER,\y_button_32Kopieren,\y_button_32Copia,\y_button_32 Copiar,\y_button_32Kopyala,01
398,menu_copy:1:*,\gray_y_button_32Copy,\gray_y_button_32<squish=0.8>COPIER,\gray_y_button_32Kopieren,\gray_y_button_32Copia,\gray_y_button_32 Copiar,\gray_y_button_32Kopyala,01
399,menu_copyselectdest:0:*,Select |destination,<scale=0.8>CHOISIR LA|DESTINATION,<scale=0.8>Wähle einen|Speicherplatz!,SELEZIONE SLOT,<scale=0.8>Elige el archivo de destino,Hedef|kaydı seç,01
400,menu_copyselectsource:0:*,Select game|to copy,<scale=0.8>SÉLECTIONNER|LA PARTIE À|COPIER,<scale=0.8>Welchen|Spielstand|kopieren?,SELEZIONE FILE,<scale=0.7>Elige qué archivo quieres copiar,Kopyalanacak|kaydı seç,01
401,menu_erase:0:*,\9097e9e2Erase,\9097e9e2<squish=0.8>EFFACER,\9097e9e2Löschen,\9097e9e2Elimina,\9097e9e2Borrar,\9097e9e2Sil,01
402,menu_erase:1:*,\gray_x_button_32Erase,\gray_x_button_32<squish=0.8>EFFACER,\gray_x_button_32Löschen,\gray_x_button_32Elimina,\gray_x_button_32Borrar,\gray_x_button_32Sil,01
403,menu_eraseselectslot:0:*,Select game|to erase,<scale=0.8>SÉLECTIONNER|LA PARTIE À|EFFACER,<scale=0.8>Welchen|Spielstand|löschen?,SELEZIONE FILE,<scale=0.7>Elige qué archivo quieres borrar,Silinecek|kaydı seç,01
404,options_audio:0:*,Audio,AUDIO,Audio,AUDIO,Sonido,Ses,01
405,options_audio_music:0:*,Music,MUSIQUE,Musik,MUSICA,Música,Müzik,01
406,options_audio_soundfx:0:*,SFX,SONS,Sound,EFFETTI,Efectos,Efektler,01
407,options_audio_title:0:*,Audio,AUDIO,Audio,AUDIO,Sonido,Ses,01
408,options_controllers:0:*,Controls,COMMANDES,Steuerung,Comandi,Controles,Kontroller,01
409,options_controllers_howto_h:0:*,\b0013bc9Choose,\b0013bc9<squish=0.8>SÉLECTIONNER,\b0013bc9<squish=0.85>Auswählen,\b0013bc9Scegli,\b0013bc9Elegir,\b0013bc9Seç,01
410,options_controllers_howto_n:0:*,\b0013bc9Choose,\b0013bc9<squish=0.8>SÉLECTIONNER,\b0013bc9<squish=0.85>Auswählen,\b0013bc9Scegli,\b0013bc9Elegir,\b0013bc9Seç,01
411,options_controller_horizont:0:*,+Control Pad,MANETTE +,Steuerkreuz,Pulsantiera +,<scale=0.9>Cruz de control,+ Kontrol Tuşu,01
412,options_controller_horizontD1:0:*,Currently Selected,MODE SÉLECTIONNÉ,ausgewählt,IN USO,Seleccionada,Seçili,01
413,options_controller_nunchuk_:0:*,Circle Pad,PAD CIRCULAIRE,Schiebepad,Pad scorrevole,<scale=0.9>Botón deslizante,Analog Çubuk,01
414,options_controller_nunchuk_D1:0:*,Currently Selected,MODE SÉLECTIONNÉ,ausgewählt,IN USO,Seleccionado,Seçili,01
415,options_controller_title:0:*,Controls,COMMANDES,Steuerung,Comandi,Tipos de control,Kontroller,01
416,options_left_arrow:0:*,\a275f16a,\a275f16a,\a275f16a,\a275f16a,\a275f16a,\a275f16a,01
417,options_left_arrow_pressed:0:*,\dddf850a,\dddf850a,\dddf850a,\dddf850a,\dddf850a,\dddf850a,01
418,options_right_arrow:0:*,\ce2f8e13,\ce2f8e13,\ce2f8e13,\ce2f8e13,\ce2f8e13,\ce2f8e13,01
419,options_right_arrow_pressed:0:*,\d7b11681,\d7b11681,\d7b11681,\d7b11681,\d7b11681,\d7b11681,01
420,options_title:0:*,Options,PARAMÈTRES,Optionen,IMPOSTAZIONI,Opciones,Seçenekler,01
421,options_video:0:*,Video,VIDÉO,Video,VIDEO,Imagen,Görüntü,01
422,pause_options:0:*,Options,PARAMÈTRES,Optionen,IMPOSTAZIONI,Opciones,Seçenekler,01
423,pause_puzzle:0:*,Puzzle,PUZZLE,Puzzle,PUZZLE,Puzle,Yapboz,01
424,pause_quittomap:0:*,Quit Level,QUITTER,Level verlassen,ESCI,Salir del nivel,Bölümden Çık,01
425,pause_quit_confirm:0:*,Are you sure you want to quit the level?,QUITTER CE NIVEAU ?,Level wirklich verlassen?,VUOI DAVVERO|ABBANDONARE|IL LIVELLO?,¿Seguro que quieres salir del nivel?,Bölümden çıkmak istediğinden emin misin?,01
426,pause_restarttimeattack:0:*,Retry,RECOMMENCER,Level neu starten,RICOMINCIA,Otra vez,Tekrar Dene,01
427,pause_restarttimeattack_con:0:*,Are you sure you want to restart the level?,RECOMMENCER|CE NIVEAU ?,Level wirklich neu starten?,Vuoi davvero ricominciare il livello?,¿Seguro que quieres|volver a empezar|el nivel?,Bölümü baştan başlatmak|istediğinden emin misin?,01
428,pause_resume:0:*,Resume,CONTINUER,Fortfahren,CONTINUA,Continuar,Devam Et,01
429,rocketbarrelboost:0:Core,\ab_btn,\ab_btn,\ab_btn,\ab_btn,\ab_btn,\ab_btn,01
430,rocketbarrelboost:1:Standard,\ab_btn,\ab_btn,\ab_btn,\ab_btn,\ab_btn,\ab_btn,01
431,rollleft:0:Standard,\8bec70d9\xy_btn,\8bec70d9\xy_btn,\8bec70d9\xy_btn,\8bec70d9\xy_btn,\8bec70d9\xy_btn,\8bec70d9\xy_btn,01
432,rollleft:1:Core,\b00ec231\lr_btn,\b00ec231\lr_btn,\b00ec231\lr_btn,\b00ec231\lr_btn,\b00ec231\lr_btn,\b00ec231\lr_btn,01
433,rollright:0:Standard,\1388fc84\xy_btn,\1388fc84\xy_btn,\1388fc84\xy_btn,\1388fc84\xy_btn,\1388fc84\xy_btn,\1388fc84\xy_btn,01
434,rollright:1:Core,\057633b9\lr_btn,\057633b9\lr_btn,\057633b9\lr_btn,\057633b9\lr_btn,\057633b9\lr_btn,\057633b9\lr_btn,01
435,savefileerror_corruptfile:0:*,The file cannot be used because the data is corrupted.|Would you like to delete the file?,Le fichier est corrompu|et ne peut pas être utilisé.|Effacer le fichier ?,Die Datei ist fehlerhaft und kann|daher nicht verwendet werden.|Fehlerhafte Datei löschen?,Il file non può essere usato|perché i dati sono danneggiati.|Vuoi cancellarlo?,Los datos están dañados|y no se pueden usar.|¿Borrar datos?,Veriler bozuk olduğu için|bu dosya kullanılamıyor.|Dosyayı silmek ister misin?,01
436,savefileerror_createfailed:0:*,A save file could not be created. Would you like to continue without saving?,IMPOSSIBLE DE CRÉER LE FICHIER DE SAUVEGARDE. CONTINUER SANS SAUVEGARDER ?,Speicherdaten konnten nicht angelegt werden. Ohne Speichern fortfahren?,IMPOSSIBILE CREARE IL|FILE DI SALVATAGGIO.|VUOI PROSEGUIRE SENZA|SALVARE?,No se han podido crear los datos.|¿Continuar sin guardar?,Kayıt dosyası oluşturulamadı.|Kaydetmeden devam etmek ister misin?,01
437,savefileerror_deletefailed:0:*,The corrupted file cannot be deleted. Would you like to continue without saving?,IMPOSSIBLE D'EFFACER LE FICHIER CORROMPU. CONTINUER SANS SAUVEGARDER ?,Fehlerhafte Datei kann nicht gelöscht werden. Ohne Speichern fortfahren?,IMPOSSIBILE CANCELLARE|IL FILE DANNEGGIATO.|VUOI PROSEGUIRE SENZA|SALVARE?,No se han podido borrar los datos.|¿Continuar sin guardar?,Bozuk dosya silinemedi.|Kaydetmeden devam etmek ister misin?,01
438,savefileerror_insufficientn:0:*,There is not enough available space in the Wii System Memory.|Either move data to an SD Card or delete data in the Wii console's Data Management screen.,Il n'y a pas assez d'espace libre|dans la mémoire de la console Wii.|Transférez des données sur une|carte SD ou effacez des données|inutiles depuis l'écran de gestion|des données de la console Wii.,"Nicht genügend freier Platz im Speicher der Wii-Konsole vorhanden.|Bitte rufe den Datenverwaltungsbildschirm der Wii-Konsole auf, um Daten auf eine SD Card zu verschieben oder zu löschen.","Non c'è abbastanza spazio libero|nella memoria della console Wii.|Per creare spazio, vai allo schermo|Gestione dati della console Wii|e cancella alcuni dati o|trasferiscili in una scheda SD.",No hay suficiente espacio libre en la memoria de la consola Wii.|Transfiere datos a una tarjeta SD o borra los que no necesites en la pantalla de gestión de datos de la consola Wii.,Wii Sistem Belleği'nde|yeterli boş alan yok.|Wii konsolunun Veri Yönetimi|ekranından verileri bir SD karta taşı|veya gereksiz verileri sil.,01
439,savefileerror_insufficients:0:*,There is not enough available space in the Wii System Memory.|Create 2 blocks of free space either by moving data to an SD Card or deleting data in the Wii console's Data Management screen.,Il n'y a pas assez d'espace libre|dans la mémoire de la console Wii.|Libérez 2 blocs en transférant des|données vers une carte SD ou en|les effaçant depuis l'écran de gestion|des données de la console Wii.,"Nicht genügend freier Platz im Speicher der Wii-Konsole vorhanden.|Bitte rufe den Datenverwaltungsbildschirm der Wii-Konsole auf, um Daten auf eine SD Card zu verschieben oder zu löschen (erforderliche Blöcke: 2).","Non c'è abbastanza spazio libero|nella memoria della console Wii.|Blocchi liberi necessari: 2. Per|creare spazio, vai allo schermo|Gestione dati della console Wii|e cancella alcuni dati o|trasferiscili in una scheda SD.",No hay suficiente espacio libre|en la memoria de la consola Wii.|Bloques libres necesarios: 2.|Transfiere datos a una tarjeta SD|o borra los que no necesites|en la pantalla de gestión|de datos de la consola Wii.,Wii Sistem Belleği'nde|yeterli boş alan yok.|2 blok boş alan açmak için|Wii konsolunun Veri Yönetimi|ekranından verileri bir SD karta taşı|veya gereksiz verileri sil.,01
440,secretworld_reveal:0:*,Golden Temple Revealed!,LE TEMPLE D'OR|EST APPARU !,<scale=0.9>Goldener Tempel enthüllt!,ORA PUOI RAGGIUNGERE|LA PIRAMIDE SCINTILLANTE!,¡Ha aparecido|el templo dorado!,Altın Tapınak|Ortaya Çıktı!,01
441,selectfile_balloonnotificat:0:*,"Looks like you're running low on balloons, kid. Here's a gift to help you on your way.||Love, Cranky","JE VOIS QUE TU|AS BIEN BESOIN|DE BALLONS, GAMIN.|VOICI UN PETIT|CADEAU POUR|T'AIDER À AVANCER.|AFFECTUEUSEMENT,|CRANKY","Mein Junge! Wie|ich sehe, brauchst du Ballons. Hier hast du eine kleine Hilfe für deinen weiteren Weg.||Alles Liebe, Cranky","SEI A CORTO|DI PALLONCINI,|VERO FIGLIOLO?|ECCO UN REGALO|PER AIUTARTI!||CON AFFETTO,|CRANKY","Chaval, veo que|vas un poco corto|de globos. Aquí|tienes algo para|superar el bache.||Besitos de Cranky","Balonların epey azalmış, evlat.|Yoluna devam edebilmen için|sana bir hediye bırakıyorum.||Sevgiler, Cranky",01
442,selectfile_empty:0:*,New Game,NOUVELLE PARTIE,Neues Spiel,NUOVO,Nueva partida,Yeni Oyun,01
443,selectfile_file:0:*,Game,PARTIE,Spielstand,FILE,Partida,Kayıt,01
444,selectfile_prompt:0:*,Select Game,<scale=0.8>SÉLECTIONNER|UNE PARTIE,<scale=0.8>Spielstand|auswählen,SELEZIONE FILE,Elegir partida,Kayıt Seç,01
445,shop_1up_comment:0:CON,<squish=0.82>All these balloons are useless to me. 'Cause I am AMAZING.,"<squish=0.82>TOUS CES BALLONS NE ME SERVENT À RIEN. MÊME SANS, J'ASSURE, MOI !",<squish=0.82>Ich brauch all diese Ballons nicht. Ich bin eben einfach grossartig!,<squish=0.82>A ME TUTTI QUESTI|PALLONCINI NON|SERVONO. SONO|IL MIGLIORE!,"<squish=0.82>Yo no necesito estos|globos, ¡porque soy|la PERA LIMONERA!",<squish=0.82>Bunca balon benim işime yaramaz.|Çünkü ben MUHTEŞEMİM.,01
446,shop_1up_comment:1:INT,<squish=0.82>How about an extra balloon for you? Don’t say you couldn’t use it.,<squish=0.82>QUE DIRAIS-TU|D'UN PETIT BALLON|SUPPLÉMENTAIRE ?|NE ME DIS PAS QU'IL NE|TE SERA PAS UTILE !,"<squish=0.82>Wie wär's mit einem Extraballon für dich? Sag bloss nicht, du bräuchtest keinen!",<squish=0.82>CHE NE DICI DI QUESTO|PALLONCINO? NON|DIRMI CHE NON SAI|CHE FARTENE.,"<squish=0.82>¿Quieres un globo extra? Venga, admite que lo vas a necesitar.",<squish=0.82>Fazladan bir balona ne dersin?|İşine yaramaz deme sakın.,01
447,shop_1up_comment:2:OPT,<squish=0.82>One extra balloon equals one extra reprieve from failure.,"<squish=0.82>UN BALLON DE PLUS,|C'EST LE DROIT DE FAIRE|UNE ERREUR DE PLUS !","<squish=0.82>Ein Ballon mehr bedeutet eine Chance mehr, der Niederlage zu entkommen!",<squish=0.82>UN PALLONCINO|DI QUESTI VUOL DIRE|UNA VITA EXTRA E|UN PASSO FALSO|IN MENO.,<squish=0.82>Un globo extra siempre te alejará un pasito más del fracaso total.,"<squish=0.82>Bir balon fazlası, başarısızlıktan|bir kez daha kurtulmak demektir.",01
448,shop_1up_comment:3:DIS,<squish=0.82>All the balloons|you buy from me are gonna pop eventually. Just you wait!,<squish=0.82>TOUS LES BALLONS|QUE TU M'ACHÈTES NE|TARDERONT PAS À|ÉCLATER. CROIS-MOI !,"<squish=0.82>Alle Ballons, die du mir abkaufst, platzen irgendwann. Wart's nur ab!","<squish=0.82>TUTTI I PALLONCINI|CHE ACQUISTI DA ME|SONO DESTINATI A|SCOPPIARE, PRIMA|O POI!",<squish=0.82>Todos los globos|que me compres|van a acabar pinchados...|¡Espera y verás!,<squish=0.82>Benden aldığın bütün balonlar|er geç patlayacak. Bekle de gör!,01
449,shop_1up_comment:4:INT,<squish=0.82>Where does an ape get helium for all these balloons? I will never tell!,"<squish=0.82>OÙ EST-CE QUE|JE TROUVE L'HÉLIUM|POUR TOUS CES|BALLONS ? ÇA, C'EST|MON SECRET !",<squish=0.82>Wo nimmt ein Affe überhaupt das Helium für diese Ballons her? Ich sag's dir nicht!,<squish=0.82>DOVE TROVA UN|PRIMATE L'ELIO|PER TUTTI QUESTI|PALLONCINI? NON|TE LO DICO!,<squish=0.82>¿Que de dónde saco el helio para llenar los globos? ¡No te lo voy a decir!,<squish=0.82>Bir maymun bütün bu balonlara|helyumu nereden bulur? Asla söylemem!,01
450,shop_1up_comment:5:OPT,<squish=0.82>Just one of these balloons is enough to hold the weight of an entire ape!,<squish=0.82>UN SEUL DE|CES BALLONS SUFFIT À|SOULEVER UN GRAND|SINGE COMME TOI !,<squish=0.82>Ein einziger von diesen Ballons kann das Gewicht eines ganzen Affen heben!,<squish=0.82>UN SOLO PALLONCINO|DI QUESTI SOLLEVA UNA|SCIMMIA INTERA!,<squish=0.82>¡Cada uno de estos globos aguanta perfectamente el peso de un simio!,<squish=0.82>Şu balonlardan biri bile|koca bir maymunu taşıyabilir!,01
451,shop_1up_purchase:0:CON,<squish=0.82>Don’t waste it!,<squish=0.82>NE LE GÂCHE PAS !,<squish=0.82>Verschwende ihn bloss nicht!,<squish=0.82>NON LO SPRECARE!,<squish=0.82>¡No lo malgastes!,<squish=0.82>Boşa harcama!,01
452,shop_1up_purchase:1:CON,<squish=0.82>I give this balloon 30 seconds before it pops.,<squish=0.82>JE DONNE 30 SECONDES|À CE BALLON AVANT|QU'IL N'EXPLOSE.,"<squish=0.82>Ich geb diesem Ballon 30 Sekunden, bevor er platzt.",<squish=0.82>SENTO CHE QUESTO|PALLONCINO NON|DURERÀ PIÙ DI|30 SECONDI.,"<squish=0.82>Este globo no te va|a durar más de|medio minuto,|ya lo verás...",<squish=0.82>Bu balona patlamadan önce|30 saniye veriyorum.,01
453,shop_1up_purchase:2:INT,<squish=0.82>You’ll need every balloon you can get if you want to finish this quest.,"<squish=0.82>POUR FINIR CETTE|QUÊTE, TU AURAS|BESOIN DE TOUS LES|BALLONS POSSIBLES.","<squish=0.82>Wenn du diese Suche erfolgreich abschliessen willst, wirst du jeden Ballon brauchen.","<squish=0.82>SE VUOI ARRIVARE|FINO IN FONDO,|TI SERVIRANNO TUTTI I|PALLONCINI CHE RIESCI|A RECUPERARE.",<squish=0.82>Todos los globos serán pocos si quieres completar tu misión.,<squish=0.82>Bu macerayı bitirmek istiyorsan|bulabildiğin her balona ihtiyacın olacak.,01
454,shop_1up_purchase:3:OPT,<squish=0.82>Excellent choice!,<squish=0.82>EXCELLENT CHOIX !,<squish=0.82>Ausgezeichnete Wahl!,<squish=0.82>MI CONGRATULO PER|LA SCELTA!,<squish=0.82>¡Muy buena elección!,<squish=0.82>Harika seçim!,01
455,shop_3up_comment:0:OPT,<squish=0.82>What’s better than one balloon? Three balloons!,"<squish=0.82>1 BALLON, C'EST|BIEN... 3 BALLONS,|C'EST MIEUX !","<squish=0.82>Was ist noch besser als ein Ballon? Genau, drei Ballons!",<squish=0.82>QUALCOSA DI MEGLIO DI|UN PALLONCINO? TRE|PALLONCINI!,<squish=0.82>¿Hay algo mejor que un globo?|¡Sí! ¡Tres globos!,<squish=0.82>Bir balondan daha iyi ne var?|Üç balon!,01
456,shop_3up_comment:1:INT,"<squish=0.82>Where does an ape keep all these balloons, anyway?","<squish=0.82>MAIS AU FAIT,|OÙ RANGES-TU DONC|TOUS CES BALLONS ?",<squish=0.82>Wo verstaut ein Affe eigentlich all diese Ballons?,"<squish=0.82>AD OGNI MODO, DOVE|METTE UNA SCIMMIA|TUTTI QUESTI|PALLONCINI?",<squish=0.82>¿Y dónde vas a meter todos estos globos hasta que los necesites?,<squish=0.82>Bir maymun bu kadar balonu|nereye sığdırıyor ki?,01
457,shop_3up_comment:2:INT,"<squish=0.82>You know, helium accounts for nearly a quarter of the universe’s mass. True story.","<squish=0.82>TU SAIS, L'HÉLIUM REPRÉSENTE PRESQUE UN QUART DE LA MASSE DE L'UNIVERS. VÉRIDIQUE.",<squish=0.82>Helium macht fast ein Viertel der Masse des Universums aus. Im Ernst!,<squish=0.82>SAPEVI CHE L'ELIO|COSTITUISCE UN|QUARTO DELLA MASSA|DELL'UNIVERSO?|TUTTO VERO!,<squish=0.82>¿Sabías que una cuarta parte de la masa del universo es helio? No me lo invento...,"<squish=0.82>Helyum, evrenin kütlesinin neredeyse|dörtte birini oluşturur. Vallahi doğru.",01
458,shop_3up_comment:3:CON,<squish=0.82>Why don’t you buy these balloons and float on outta here!,<squish=0.82>ACHÈTE DONC|CES BALLONS ET|DÉBARRASSE-MOI|LE PLANCHER !,<squish=0.82>Warum kaufst du nicht diese Ballons und schwebst hier raus?,<squish=0.82>COMPRA QUESTI|PALLONCINI E POI|VOLA VIA DI QUI!,"<squish=0.82>Anda, ¡compra estos globos y vete a flotar por ahí!",<squish=0.82>Şu balonları al da|uça uça git buradan!,01
459,shop_3up_comment:4:CON,<squish=0.82>Three is a crowd! I make do with one... ME!,"<squish=0.82>3 BALLONS, C'EST|ÉNORME ! UN SEUL|ME SUFFIT, À MOI !",<squish=0.82>Drei sind einer zu viel! Ich muss mich nur auf einen verlassen... nämlich auf MICH allein!,<squish=0.82>TRE SONO TROPPI! NE|BASTA UNO SOLO... IO!,"<squish=0.82>Tres son multitud. Bueno, para mí dos ya están de más. ¡De hecho me basta con uno!",<squish=0.82>Üç kişi kalabalıktır!|Bana biri yeter... BEN!,01
460,shop_3up_comment:5:OPT,<squish=0.82>These ought to help with some of those tough spots.,<squish=0.82>CES BALLONS|T'AIDERONT À|FRANCHIR CERTAINS|PASSAGES DIFFICILES.,<squish=0.82>Die hier sollten dir an so mancher kritischen Stelle helfen.,<squish=0.82>CON QUESTI DOVRESTI|RIUSCIRE A SUPERARE|UNO DI QUEI PUNTI|DIFFICILI.,<squish=0.82>Estos te sacarán de más de un aprieto.,<squish=0.82>Bunlar bazı zorlu yerlerde|işine yarar.,01
461,shop_3up_purchase:0:OPT,<squish=0.82>Look at you! Swimming in balloons now!,"<squish=0.82>REGARDE-TOI !|TU CROULES SOUS|LES BALLONS,|MAINTENANT !",<squish=0.82>Schau dich nur an! Du schwimmst ja geradezu in Ballons!,<squish=0.82>MA GUARDATI! ADESSO|NUOTI NEI PALLONCINI!,<squish=0.82>¡Hay que ver! ¡Ya se puede decir que nadas entre globos!,<squish=0.82>Şuna bak! Balonların içinde|yüzüyorsun resmen!,01
462,shop_3up_purchase:1:INT,<squish=0.82>Careful you don’t float away with all these balloons!,"<squish=0.82>FAIS ATTENTION À NE|PAS T'ENVOLER, AVEC|TOUS CES BALLONS !","<squish=0.82>Pass auf, dass du mit all diesen Ballons nicht davonfliegst!",<squish=0.82>ATTENTO A NON|VOLARE VIA CON TUTTI|QUESTI PALLONCINI!,"<squish=0.82>Con tanto globo, ¡cuidado no vayas a salir volando por los aires!",<squish=0.82>Bunca balonla uçup gitme sakın!,01
463,shop_3up_purchase:2:CON,<squish=0.82>Don’t waste 'em!,<squish=0.82>NE LES GÂCHE PAS !,<squish=0.82>Verschwende sie bloss nicht!,<squish=0.82>NON SPRECARLI!,<squish=0.82>¡No los malgastes!,<squish=0.82>Boşa harcama!,01
464,shop_3up_purchase:3:OPT,<squish=0.82>Excellent choice!,<squish=0.82>EXCELLENT CHOIX !,<squish=0.82>Ausgezeichnete Wahl!,<squish=0.82>MI CONGRATULO PER|LA SCELTA!,<squish=0.82>¡Muy buena elección!,<squish=0.82>Harika seçim!,01
465,shop_3up_purchase:4:INT,<squish=0.82>I guess I’ll get back to inflatin’.,"<squish=0.82>BON, BEN, JE VAIS|ALLER GONFLER|D'AUTRES BALLONS...",<squish=0.82>Ich mach mich dann mal wieder ans Aufpusten...,<squish=0.82>PENSO PROPRIO CHE|MI RIMETTERÒ A|GONFIARE.,<squish=0.82>Voy a tener que inflar algunos más...,"<squish=0.82>Neyse, ben yine|balon şişirmeye döneyim.",01
466,shop_3up_purchase:5:OPT,<squish=0.82>You’ll need every balloon you can get if you want to finish this quest.,"<squish=0.82>POUR FINIR CETTE|QUÊTE, TU AURAS|BESOIN DE TOUS LES|BALLONS POSSIBLES.","<squish=0.82>Du wirst jeden Ballon brauchen, um diese Suche erfolgreich abzuschliessen.","<squish=0.82>SE VUOI ARRIVARE|FINO IN FONDO, TI|SERVIRANNO TUTTI I|PALLONCINI CHE RIESCI|A RECUPERARE.","<squish=0.82>Si quieres completar tu misión, ningún globo está de más.",<squish=0.82>Bu macerayı bitirmek istiyorsan|bulabildiğin her balona ihtiyacın olacak.,01
