file,index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
GameInfo.msbt,40,BossNameSectniasoul,Soul of Sectonia,Sectonia Fleurie,Sectonias Blüte,⟦MSBT:0E000000020002005D00⟧Queen Sectonia boccio⟦MSBT:0E000000020002006400⟧,Brote de Sectonia,세크토니아 소울,Sectonia'nın Ruhu
GameOver.msbt,0,ButtonContinue,Continue,Continuer,Fortsetzen,Continua,Continuar,계속하기,Devam Et
GameOver.msbt,1,ButtonExit,Quit,Quitter,Beenden,Esci,Salir,게임을 그만두기,Çık
GoalGame.msbt,0,SpecialBonus,Special Bonus,Bonus spécial,Super-Bonus!,Bonus speciale,⟦MSBT:0E000000020002005A00⟧¡Bonificación especial!⟦MSBT:0E000000020002006400⟧,스페셜 보너스,Özel Bonus
GoalGame.msbt,1,PushBtnText,Push,App. sur,Drücke,Premi,Pulsa,푸시,Bas
KeyChain.msbt,0,Title,"Keychain
Collection","⟦MSBT:0E000000020002005F00⟧Collection de
porte-clés⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Glücksbringer-
Kollektion⟦MSBT:0E000000020002006400⟧","Collezione
portachiavi","Colección
de llaveros",키홀더 컬렉션,"Anahtarlık
Koleksiyonu"
KeyChain.msbt,1,BtnEnd,Back,⟦MSBT:0E000000020002004800⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004A00⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002003E00⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Atrás⟦MSBT:0E000000020002006400⟧,뒤로,Geri
KeyChain.msbt,2,BtnGameCoin,Play Coins,⟦MSBT:0E000000020002006300⟧Pièces de jeu⟦MSBT:0E000000020002006400⟧,Spielmünzen,Monete di gioco,⟦MSBT:0E000000020002005C00⟧Monedas de juego⟦MSBT:0E000000020002006400⟧,게임 코인 교환,Oyun Paraları
KeyChain.msbt,3,RotateKey,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧,⟦MSBT:0E00010004000000⟧⟦MSBT:0E00010005000000⟧
KeyChain.msbt,4,RotateText,Rotate,Rotation,Drehen,Ruota,Girar,회전,Döndür
KeyChain.msbt,5,ZoomKey,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧,⟦MSBT:0E00010000000000⟧
KeyChain.msbt,6,ZoomTextLarge,⟦MSBT:0E000000020002006400⟧Zoom +⟦MSBT:0E000000020002006400⟧,Zoom +,⟦MSBT:0E000000020002006400⟧+ Zoom⟦MSBT:0E000000020002006400⟧,Zoom +,Acercar,크게,⟦MSBT:0E000000020002006400⟧Büyüt +⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,7,ZoomTextSmall,⟦MSBT:0E000000020002006400⟧Zoom -⟦MSBT:0E000000020002006400⟧,Zoom -,⟦MSBT:0E000000020002006400⟧- Zoom⟦MSBT:0E000000020002006400⟧,Zoom -,Alejar,작게,⟦MSBT:0E000000020002004B00⟧Küçült -⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,8,NoDataText,You don't have this keychain.,Vous n'avez pas ce porte-clés.,⟦MSBT:0E000000020002005B00⟧Du hast diesen Glücksbringer nicht.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Non possiedi questo portachiavi.⟦MSBT:0E000000020002006400⟧,No tienes este llavero.,이 키홀더는 아직 갖고 있지 않습니다.,Bu anahtarlık sende yok.
KeyChain.msbt,9,RestExchangeCount,⟦MSBT:0E00020001000000⟧/5,⟦MSBT:0E000000020002005A00⟧Encore ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧,Noch ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00020001000000⟧/5⟦MSBT:0E000000020002006400⟧,Llav.: ⟦MSBT:0E00020001000000⟧,⟦MSBT:0E00020001000000⟧회 남음,⟦MSBT:0E000000020002005A00⟧Kalan ⟦MSBT:0E00020001000000⟧⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,10,Numeral,kc,pc,⟦MSBT:0E000000020002006100⟧Gb⟦MSBT:0E000000020002006400⟧,P.,⟦MSBT:0E000000020002005A00⟧uds.⟦MSBT:0E000000020002006400⟧,개,ad.
KeyChain.msbt,11,DialogGameCoinMain,"You can swap three⟦MSBT:0E00000003000400FF4B32FF⟧ Play
Coins ⟦MSBT:0E00000003000400000000FF⟧for a ⟦MSBT:0E00000003000400FF4B32FF⟧keychain⟦MSBT:0E00000003000400000000FF⟧.
Want to get a ⟦MSBT:0E00000003000400FF4B32FF⟧keychain⟦MSBT:0E00000003000400000000FF⟧?","⟦MSBT:0E000000020002005000⟧Vous pouvez échanger trois
⟦MSBT:0E00000003000400FF4B32FF⟧pièces de jeu⟦MSBT:0E00000003000400000000FF⟧ contre un ⟦MSBT:0E00000003000400FF4B32FF⟧porte-clés⟦MSBT:0E00000003000400000000FF⟧.
Voulez-vous procéder à l'échange ?⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005600⟧Du kannst 3 ⟦MSBT:0E00000003000400FF4B32FF⟧Spielmünzen ⟦MSBT:0E00000003000400000000FF⟧gegen
einen ⟦MSBT:0E00000003000400FF4B32FF⟧Glücksbringer ⟦MSBT:0E00000003000400000000FF⟧eintauschen.
Möchtest du sie eintauschen?⟦MSBT:0E000000020002006400⟧","Puoi scambiare tre⟦MSBT:0E00000003000400FF4B32FF⟧ monete
di gioco ⟦MSBT:0E00000003000400000000FF⟧per un ⟦MSBT:0E00000003000400FF4B32FF⟧portachiavi⟦MSBT:0E00000003000400000000FF⟧.
Vuoi procedere?","Puedes canjear tres ⟦MSBT:0E00000003000400FF4B32FF⟧monedas
de juego ⟦MSBT:0E00000003000400000000FF⟧por un ⟦MSBT:0E00000003000400FF4B32FF⟧llavero⟦MSBT:0E00000003000400000000FF⟧.
¿Las cambias por un ⟦MSBT:0E00000003000400FF4B32FF⟧llavero⟦MSBT:0E00000003000400000000FF⟧?","게임 코인 ⟦MSBT:0E00000003000400FF4B32FF⟧3개⟦MSBT:0E00000003000400000000FF⟧와
⟦MSBT:0E00000003000400FF4B32FF⟧키홀더⟦MSBT:0E00000003000400000000FF⟧를 교환할 수 있습니다.
코인을 사용하시겠습니까?","Üç ⟦MSBT:0E00000003000400FF4B32FF⟧Oyun Parası⟦MSBT:0E00000003000400000000FF⟧ karşılığında
bir ⟦MSBT:0E00000003000400FF4B32FF⟧anahtarlık⟦MSBT:0E00000003000400000000FF⟧ alabilirsin.
Bir tane almak ister misin?"
KeyChain.msbt,12,DialogGameCoinNotEnough,"You don't have enough ⟦MSBT:0E00000003000400FF4B32FF⟧Play
Coins⟦MSBT:0E00000003000400000000FF⟧. You need three⟦MSBT:0E00000003000400FF4B32FF⟧ Play
Coins ⟦MSBT:0E00000003000400000000FF⟧to get a⟦MSBT:0E00000003000400FF4B32FF⟧ keychain⟦MSBT:0E00000003000400000000FF⟧.","Vous n'avez pas assez de
⟦MSBT:0E00000003000400FF4B32FF⟧pièces de jeu⟦MSBT:0E00000003000400000000FF⟧. Il en faut ⟦MSBT:0E00000003000400FF4B32FF⟧trois
⟦MSBT:0E00000003000400000000FF⟧pour obtenir un ⟦MSBT:0E00000003000400FF4B32FF⟧porte-clés⟦MSBT:0E00000003000400000000FF⟧.","⟦MSBT:0E000000020002005600⟧Du hast nicht genug ⟦MSBT:0E00000003000400FF4B32FF⟧Spielmünzen⟦MSBT:0E00000003000400000000FF⟧.
Um sie gegen 1 ⟦MSBT:0E00000003000400FF4B32FF⟧Glücksbringer⟦MSBT:0E00000003000400000000FF⟧ ein-
zutauschen, brauchst du 3 Stück.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006400⟧Non hai abbastanza ⟦MSBT:0E00000003000400FF4B32FF⟧monete⟦MSBT:0E000000020002006400⟧
di gioco⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002006400⟧. Servono tre⟦MSBT:0E00000003000400FF4B32FF⟧ monete⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002006400⟧⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002006400⟧per ottenere un⟦MSBT:0E00000003000400FF4B32FF⟧ portachiavi⟦MSBT:0E00000003000400000000FF⟧.⟦MSBT:0E000000020002006400⟧","No tienes suficientes
⟦MSBT:0E00000003000400FF4B32FF⟧monedas de juego⟦MSBT:0E00000003000400000000FF⟧. Necesitas
⟦MSBT:0E00000003000400FF4B32FF⟧tres ⟦MSBT:0E00000003000400000000FF⟧para obtener un ⟦MSBT:0E00000003000400FF4B32FF⟧llavero⟦MSBT:0E00000003000400000000FF⟧.","게임 코인이 ⟦MSBT:0E00000003000400FF4B32FF⟧부족합니다⟦MSBT:0E00000003000400000000FF⟧.
교환하려면 ⟦MSBT:0E00000003000400FF4B32FF⟧3개⟦MSBT:0E00000003000400000000FF⟧가 필요합니다.","Yeterli ⟦MSBT:0E00000003000400FF4B32FF⟧Oyun Paran⟦MSBT:0E00000003000400000000FF⟧ yok.
Bir ⟦MSBT:0E00000003000400FF4B32FF⟧anahtarlık⟦MSBT:0E00000003000400000000FF⟧ için
⟦MSBT:0E00000003000400FF4B32FF⟧üç Oyun Parası⟦MSBT:0E00000003000400000000FF⟧ gerekir."
KeyChain.msbt,13,DialogGameCoinAlreadyExchanged,"You can get ⟦MSBT:0E00000003000400FF4B32FF⟧five keychains⟦MSBT:0E00000003000400000000FF⟧
at a time. ⟦MSBT:0E00000003000400FF4B32FF⟧Complete a stage
⟦MSBT:0E00000003000400000000FF⟧if you want to get more.","⟦MSBT:0E000000020002005700⟧Vous ne pouvez obtenir que ⟦MSBT:0E00000003000400FF4B32FF⟧cinq
porte-clés⟦MSBT:0E00000003000400000000FF⟧ à la fois. ⟦MSBT:0E00000003000400FF4B32FF⟧Terminez une
étape ⟦MSBT:0E00000003000400000000FF⟧pour en obtenir d'autres.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧Du kannst ⟦MSBT:0E00000003000400FF4B32FF⟧fünf Glücksbringer ⟦MSBT:0E00000003000400000000FF⟧auf
einmal eintauschen. ⟦MSBT:0E00000003000400FF4B32FF⟧Beende einen
Level⟦MSBT:0E00000003000400000000FF⟧, wenn du mehr möchtest.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Puoi ottenere ⟦MSBT:0E00000003000400FF4B32FF⟧cinque portachiavi⟦MSBT:0E00000003000400000000FF⟧
alla volta. ⟦MSBT:0E00000003000400FF4B32FF⟧Completa un livello⟦MSBT:0E00000003000400000000FF⟧
se vuoi ottenerne altri.⟦MSBT:0E000000020002006400⟧","Puedes conseguir hasta ⟦MSBT:0E00000003000400FF4B32FF⟧cinco
llaveros⟦MSBT:0E00000003000400000000FF⟧. ¡Para obtener más,
deberás ⟦MSBT:0E00000003000400FF4B32FF⟧superar otra etapa⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E00000003000400FF4B32FF⟧5번 ⟦MSBT:0E00000003000400000000FF⟧연속 교환 가능합니다.
⟦MSBT:0E00000003000400FF4B32FF⟧스테이지를 플레이⟦MSBT:0E00000003000400000000FF⟧하면
다시 교환할 수 있습니다.","Bir seferde ⟦MSBT:0E00000003000400FF4B32FF⟧beş anahtarlık⟦MSBT:0E00000003000400000000FF⟧
alabilirsin. Daha fazlası için
⟦MSBT:0E00000003000400FF4B32FF⟧bir bölümü tamamla⟦MSBT:0E00000003000400000000FF⟧."
KeyChain.msbt,14,DialogEmpty,"⟦MSBT:0E00000003000400FF4B32FF⟧You don't have any
keychains ⟦MSBT:0E00000003000400000000FF⟧yet. Find
them in the stages!","⟦MSBT:0E00000003000400FF4B32FF⟧Vous n'avez aucun
porte-clés.⟦MSBT:0E00000003000400000000FF⟧ Trouvez-les
dans les étapes !","⟦MSBT:0E00000003000400FF4B32FF⟧Du hast noch keine
Glücksbringer. ⟦MSBT:0E00000003000400000000FF⟧Finde sie
in den einzelnen Leveln!","⟦MSBT:0E00000003000400FF4B32FF⟧Non possiedi ancora
nessun portachiavi.
⟦MSBT:0E00000003000400000000FF⟧Trovali nei vari livelli!","Aún ⟦MSBT:0E00000003000400FF4B32FF⟧no tienes ningún llavero⟦MSBT:0E00000003000400000000FF⟧.
¡Búscalos por las distintas
etapas!","⟦MSBT:0E00000003000400FF4B32FF⟧아직 키홀더가 없습니다.⟦MSBT:0E00000003000400000000FF⟧
스테이지에서 모아 주세요!","⟦MSBT:0E00000003000400FF4B32FF⟧Henüz hiç anahtarlığın yok.⟦MSBT:0E00000003000400000000FF⟧
Bölümlerde onları ara!"
KeyChain.msbt,15,DialogEmptyButton,OK,OK,OK,OK,Vale,OK,⟦MSBT:0E000000020002003C00⟧Tamam⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,16,DialogUse,Get,Échanger,⟦MSBT:0E000000020002005A00⟧Eintausch.⟦MSBT:0E000000020002006400⟧,Sì,Cambiar,사용하기,Al
KeyChain.msbt,17,DialogCancel,Cancel,Annuler,⟦MSBT:0E000000020002005A00⟧Abbrechen⟦MSBT:0E000000020002006400⟧,No,Cancelar,그만두기,İptal
KeyChain.msbt,18,DialogClose,OK,OK,OK,OK,Vale,OK,⟦MSBT:0E000000020002003C00⟧Tamam⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,19,MessageWindowGetNormal,"You got the
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ keychain!","Vous avez trouvé le
porte-clés ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ !","Du erhältst den
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧-Glücksbringer!","Hai ottenuto il portachiavi
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧!","¡Has obtenido el llavero
""⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧""!","키홀더
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧ ⟦MSBT:0E00000003000400000000FF⟧획득!","Yeni anahtarlık:
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧!"
KeyChain.msbt,20,MessageWindowGetRare,"You got the rare
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ keychain!","Vous avez trouvé le
porte-clés rare ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ !","Du erhältst den seltenen
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧-Glücksbringer!","Hai ottenuto il portachiavi raro
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧!","⟦MSBT:0E000000020002006200⟧¡Has obtenido el llavero peculiar
""⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧""!⟦MSBT:0E000000020002006400⟧","레어 키홀더
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧ ⟦MSBT:0E00000003000400000000FF⟧획득!","Nadir anahtarlık:
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧!"
KeyChain.msbt,21,MessageWindowGetSunStoneComplete,"⟦MSBT:0E000000020002006200⟧For collecting all Sun Stones, you
got the ⟦MSBT:0E00000003000400FF4600FF⟧Queen Sectonia ⟦MSBT:0E00000003000400000000FF⟧keychain!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧Vous avez toutes les gemmes solaires et
remportez le porte-clés ⟦MSBT:0E00000003000400FF4600FF⟧Reine Sectonia⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Du hast alle Sonnensteine und erhältst
den ⟦MSBT:0E00000003000400FF4600FF⟧Königin Sectonia⟦MSBT:0E00000003000400000000FF⟧-Glücksbringer!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Hai trovato tutte le Pietre del Sole e
ottenuto il portachiavi ⟦MSBT:0E00000003000400FF4600FF⟧Queen Sectonia⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005600⟧Por reunir todas las Piedras Solares,
¡obtienes el llavero de la ⟦MSBT:0E00000003000400FF4600FF⟧Reina Sectonia⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","컴플리트 기념 키홀더
⟦MSBT:0E00000003000400FF4600FF⟧퀸 세크토니아 ⟦MSBT:0E00000003000400000000FF⟧획득!","⟦MSBT:0E000000020002006200⟧Tüm Güneş Taşlarını topladığın için
⟦MSBT:0E00000003000400FF4600FF⟧Kraliçe Sectonia ⟦MSBT:0E00000003000400000000FF⟧anahtarlığını aldın!⟦MSBT:0E000000020002006400⟧"
KeyChain.msbt,22,MessageWindowCollectorLvUp,"⟦MSBT:0E000000020002006000⟧You've collected ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000003000400000000FF⟧ keychain types
and reached ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧ ⟦MSBT:0E00000003000400000000FF⟧rank!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006300⟧⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧ ⟦MSBT:0E00000003000400000000FF⟧!
Vous avez ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧porte-clés différents.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006000⟧Du hast ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧Glücksbringertypen.
Damit bist du ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005500⟧Hai ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000003000400000000FF⟧ tipi di portachiavi. Hai ottenuto
il titolo di ⟦MSBT:0E00000003000400FF4600FF⟧""⟦MSBT:0E00020002000000⟧""⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005500⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006200⟧¡Tienes ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000003000400000000FF⟧ llaveros distintos! Es
un resultado... ¡⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧ ⟦MSBT:0E00000003000400000000FF⟧종류 달성!
⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧⟦MSBT:0E00000003000400000000FF⟧ 칭호를 획득!","⟦MSBT:0E000000020002006000⟧⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020001000000⟧⟦MSBT:0E00000003000400000000FF⟧ tür anahtarlık topladın
ve ⟦MSBT:0E00000003000400FF4600FF⟧⟦MSBT:0E00020002000000⟧ ⟦MSBT:0E00000003000400000000FF⟧rütbesine ulaştın!⟦MSBT:0E000000020002006400⟧"
KeyChain.msbt,23,MessageWindowCollectorLvUpMax,"⟦MSBT:0E000000020002005A00⟧You've ⟦MSBT:0E00000003000400FF4600FF⟧completed ⟦MSBT:0E00000003000400000000FF⟧the Keychain
Collection! You're a ⟦MSBT:0E00000003000400FF4600FF⟧keychain master⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005400⟧Vous avez ⟦MSBT:0E00000003000400FF4600FF⟧complété⟦MSBT:0E00000003000400000000FF⟧ votre 
collection de porte-clés !
Vous avez une ⟦MSBT:0E00000003000400FF4600FF⟧collection légendaire⟦MSBT:0E00000003000400000000FF⟧ !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006100⟧Deine Glücksbringer-Kollektion ist
⟦MSBT:0E00000003000400FF4600FF⟧komplett⟦MSBT:0E00000003000400000000FF⟧, du ⟦MSBT:0E00000003000400FF4600FF⟧Glücksbringermeister⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005900⟧La tua collezione di portachiavi è
⟦MSBT:0E00000003000400FF4600FF⟧completa⟦MSBT:0E00000003000400000000FF⟧! Ora sei ⟦MSBT:0E00000003000400FF4600FF⟧""Collezionista top""⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧","¡Has ⟦MSBT:0E00000003000400FF4600FF⟧completado⟦MSBT:0E00000003000400000000FF⟧ la colección
de llaveros! ¡Eres ⟦MSBT:0E00000003000400FF4600FF⟧insuperable⟦MSBT:0E00000003000400000000FF⟧!","키홀더 ⟦MSBT:0E00000003000400FF4600FF⟧컴플리트⟦MSBT:0E00000003000400000000FF⟧!
⟦MSBT:0E00000003000400FF4600FF⟧키홀더 마스터⟦MSBT:0E00000003000400000000FF⟧가 되었다!","⟦MSBT:0E000000020002005A00⟧Anahtarlık Koleksiyonunu
⟦MSBT:0E00000003000400FF4600FF⟧tamamladın⟦MSBT:0E00000003000400000000FF⟧! Artık bir
⟦MSBT:0E00000003000400FF4600FF⟧anahtarlık ustasısın⟦MSBT:0E00000003000400000000FF⟧!⟦MSBT:0E000000020002006400⟧"
KeyChain.msbt,24,CollectorLv1Name,⟦MSBT:0E000000020002005F00⟧Amateur Collector⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005400⟧Collection balbutiante⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Sammlerneuling⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧Collezionista in erba⟦MSBT:0E000000020002006400⟧,Correcto,아마추어 콜렉터,⟦MSBT:0E000000020002005F00⟧Acemi Toplayıcı⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,25,CollectorLv2Name,⟦MSBT:0E000000020002005200⟧Fair-Weather Collector⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004E00⟧Collection passe-temps⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005A00⟧Sammler im Training⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Collezionista capace⟦MSBT:0E000000020002006400⟧,Bueno,봄바람 콜렉터,⟦MSBT:0E000000020002005200⟧Hevesli Toplayıcı⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,26,CollectorLv3Name,Keychain Hunter,⟦MSBT:0E000000020002005F00⟧Collection passion⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Glücksbringerjäger⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Specialista di portachiavi⟦MSBT:0E000000020002006400⟧,Muy bueno,키홀더 헌터,Anahtarlık Avcısı
KeyChain.msbt,27,CollectorLv4Name,⟦MSBT:0E000000020002005E00⟧Dream Land Bandit⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Collection considérable⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005D00⟧Dream-Land-Bandit⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Pirata di Dream Land⟦MSBT:0E000000020002006400⟧,Bárbaro,푸푸푸 러버,⟦MSBT:0E000000020002005E00⟧Rüya Diyarı Haydudu⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,28,CollectorLv5Name,Kirby Maniac,⟦MSBT:0E000000020002005000⟧Collection volumineuse⟦MSBT:0E000000020002006400⟧,Kirby-Verrückter,Fan di Kirby,Excelente,커비 마니아,Kirby Delisi
KeyChain.msbt,29,CollectorLv6Name,⟦MSBT:0E000000020002005A00⟧Legendary Collector⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005C00⟧Collection démente⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Sammlerlegende⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Collezionista formidabile⟦MSBT:0E000000020002006400⟧,Legendario,전설의 콜렉터,⟦MSBT:0E000000020002005A00⟧Efsane Toplayıcı⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,30,CollectorLv7Name,⟦MSBT:0E000000020002005C00⟧Superstar Collector⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Collection sensationnelle⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005E00⟧Sammler-Superstar⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005000⟧Collezionista superstar⟦MSBT:0E000000020002006400⟧,Épico,스타 콜렉터,⟦MSBT:0E000000020002005C00⟧Süperstar Toplayıcı⟦MSBT:0E000000020002006400⟧
KeyChain.msbt,31,CollectorLv8Name,Keychain Master,⟦MSBT:0E000000020002005700⟧Collection légendaire⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005700⟧Glücksbringermeister⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Collezionista top⟦MSBT:0E000000020002006400⟧,Insuperable,키홀더 마스터,Anahtarlık Ustası
KeyChain.msbt,32,#Name,,,,,,,
KeyChain.msbt,33,NameK1000,Kirby,Kirby,Kirby,Kirby,Kirby,커비,Kirby
KeyChain.msbt,34,NameK1001,Floating Kirby,Kirby vol,Flug-Kirby,Kirby volante,Kirby flotando,커비(공중에 뜨기),Süzülen Kirby
KeyChain.msbt,35,NameK1002,Warpstar,Étoile Warp,Warp-Stern,Stella Warp,Estrella remolque,워프스타,Warp Yıldızı
KeyChain.msbt,36,NameK1003,Fainted Kirby,Kirby évanoui,Auweia-Kirby,Kirby Errore,Kirby fallo,커비(실수),Baygın Kirby
KeyChain.msbt,37,NameK1004,Waddle Dee,Waddle Dee,Waddle Dee,Waddle Dee,Waddle Dee,웨이들 디,Waddle Dee
KeyChain.msbt,38,NameK1005,Bronto Burt,Buzzy Brut,Rammse,Brontottero,Bronto,브론토버트,Bronto
