ID,English,French,German,Italian,Spanish,Original Turkish,Revised Turkish,Status,Reason
0x0BCD,"I'll stay here, if that's OK...","Je vais attendre ici, d'accord ?","Ich hoffe, es geht in Ordnung,<br>wenn ich hier warte...",Io sto qui se per te va bene...,"Yo me quedo aquí, si te parece...","Ben burada kalayım, olur mu...",Ben... burada kalsam olur mu?,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD1,"...<color=0003>Luigi</color>, can you hear me?","... <color=0003>Luigi</color>, tu m'entends ?","...<color=0003>Luigi</color>, hörst du mich?","... <color=0003>Luigi</color>, mi senti?",<color=0003>Luigi</color>... ¿me oyes?,"...<color=0003>Luigi</color>, beni duyabiliyor musun?","...<color=0003>Luigi</color>, beni duyabiliyor musun?",KORUNDU,
0x0BD2,"Oh, what a relief! That white<br>mist interrupted your signal.",Ce brouillard blanc avait<br>interrompu ton signal !,Bin ich erleichtert! Der<br>weiße Nebel hat das Signal<hr>gestört!,"Oh, che sollievo! Quella nebbia bianca<br>aveva interrotto il segnale.","¡Ay, qué alivio! Esa neblina blanca<br>interrumpió la señal.","Ah, ne rahatladım! O beyaz sis<br>sinyalini kesmişti.","Oh, şükür! O beyaz sis<br>sinyalini yuttu sandım.",DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD3,Hmmm. You seem to have done<br>some serious work there!,Hmm... Il semble que tu aies <br>fait du bon boulot ici !,Hmmm... Du hast dort gute<br>Arbeit geleistet!,Mhm. Sembra che tu abbia<br>fatto davvero un buon lavoro!,"Vaya, sí que has hecho un buen trabajo.",Hımmm. Orada epey ciddi bir<br>iş çıkarmış gibisin!,Hımmm! Orada bayağı<br>ortalığı toparlamışsın!,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD4,Why don't you come on<br>back to the lab?,Et si tu revenais au labo <br>pour te reposer ?,Warum schaust du nicht mal<br>im Labor vorbei?,Perché non torni al laboratorio?,¿Por qué no vuelves al laboratorio?,Neden laboratuvara geri<br>dönmüyorsun?,Laboratuvara dön de<br>bir soluklan.,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD5,We can have dinner while we<br>gaze at these ghost paintings!,Nous pourrions dîner en <br>admirant quelques tableaux.,Wir könnten uns den Anblick<br>der Gemälde mit einem<hr>Abendessen verfeinern!,Possiamo cenare insieme e dare<br>un'occhiata a quei ritratti di fantasmi!,Podemos cenar y disfrutar de<br>los cuadros de los espectros.,Şu hayalet tablolarına bakarken bir<br>yandan da<br>akşam yemeği yeriz.,Hayalet tablolarına baka baka<br>akşam yemeği yeriz!,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD6,Tonight I'll make an old<br>family recipe.,Je cuisinerai une bonne <br>vieille recette familiale.,Heute Abend werde ich ein altes<br>Familienrezept zubereiten!,Preparerò una cenetta secondo<br>un'antica ricetta di famiglia.,"Esta noche, haré una receta de familia.",Bu gece eski bir aile tarifim var.,Bu gece aileden kalma<br>bir tarif yapacağım.,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD7,Pickled dandelions with<br>barnacles in a diesel marinade!,Des pissenlits marinés avec<br>bigorneaux sauce diesel.,"Eingelegter Löwenzahn mit<br>jungen Seepocken, verfeinert<hr>mit einer Diesel-Marinade!!!",Piscialletto sottaceto con gusci<br>di noce marinati!,Dientes de león en escabeche y<br>percebes adobados en salsa de diésel.,Mazot marineli deniz kabuklu<br>turşu karahindiba!,"Mazot marineli, deniz kabuklusu<br>serpiştirilmiş karahindiba turşusu!",DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD8,"Hey now, <color=0003>Luigi</color>! What have<br>you found there? Let me see it!","Hé, <color=0003>Luigi</color> ! Qu'as-tu trouvé ?<br>Laisse-moi donc jeter un œil !","Hallo, <color=0003>Luigi</color>! Was hast du<br>denn da gefunden? Lass mich<hr>mal einen Blick darauf werfen!","Ehi, <color=0003>Luigi</color>! Cos'hai trovato?<br>Fammi vedere!","¡Oye, <color=0003>Luigi</color>! ¿Qué has encontrado?<br>¡Enséñamelo!","Hey, <color=0003>Luigi</color>! Orada ne<br>buldun? Bir bakayım!","Hey, <color=0003>Luigi</color>! Bu kez ne buldun?<br>Ver bakalım!",DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BD9,... Ohh... Ahh... It's...,... Ohh... Ahh... C'est...,Oh... Ach... Das ist...,... Oooh... Aaah... Ma è...,Anda... Pero si es...,... Oooh... Aaah... Bu...,... Oooh... Aaah... Bu...,KORUNDU,
0x0BDA,an <color=0002>Ice Element Medal</color>! Now<br>you can use the <color=0001>Ice Element</color>!,Une <color=0002>médaille élémentaire de glace</color> !<hr>Tu peux maintenant utiliser<br>l'<color=0001>élément glace</color> !,...eine <color=0002>Eis-Elementmünze</color>!<br>Nun kannst du <color=0001>Eis</color><hr>einsetzen!,Una <color=0002>medaglia elemento ghiaccio</color>!<br>Ora puoi usare l'<color=0001>elemento ghiaccio</color>!,¡la <color=0002>medalla de hielo</color>!<br>¡Ya puedes usar el <color=0001>hielo</color>!,Bir <color=0002>Buz Element Madalyası</color>! Artık<br><color=0001>Buz Elementi</color>'ni kullanabilirsin!,Bir <color=0002>Buz Elementi Madalyası</color>! Artık<br><color=0001>Buz Elementini</color> kullanabilirsin!,DÜZELTİLDİ,Terim tamlaması ve ek yazımı düzeltildi.
0x0BDB,<color=0001>Ice Elemental Ghosts</color> are<br>found only in chilly places.<hr>You'll probably find them in<br><color=0001>refrigerators</color> and cold areas<hr>like that...,Les <color=0001>fantômes de glace</color> se trouvent<br>dans les endroits gelés.<hr>Tu les trouveras dans les <color=0001>frigos</color><br>et autres endroits froids.,"<color=0001>Eisgeister</color> findet<br>man ausschließlich an eisigen<hr>Plätzen. Am besten, du suchst<br>in <color=0001>Kühlschränken</color> und<hr>an ähnlich kalten Orten...",I <color=0001>fantasmi ghiaccio</color> si trovano solo<br>nei posti freddi.<hr>Forse li trovi nei <color=0001>frigoriferi</color> e nelle<br>zone fredde...,Los <color=0001>fantasmas de hielo</color> solo<br>aparecen en lugares fríos.<hr>Puede que los veas en <color=0001>neveras</color><br>y en otros sitios fresquitos...,<color=0001>Buz Elementi Hayaletleri</color><br>yalnızca soğuk yerlerde bulunur.<hr>Büyük ihtimalle <color=0001>buzdolaplarında</color><br>ve benzeri serin yerlerde çıkarlar...,<color=0001>Buz Hayaletleri</color><br>yalnızca soğuk yerlerde bulunur.<hr>Büyük ihtimalle <color=0001>buzdolaplarında</color><br>ve benzeri soğuk yerlerde çıkarlar...,DÜZELTİLDİ,Diğer dillerle tutarlı yaratık adı ve anlam düzeltmesi.
0x0BDC,"My research shows that they<br>come out of hiding when you<hr>approach. Use [0019:00000007,00000005] to expel<br><color=0001>Ice Element</color> once you vacuum<hr>one of these ghosts up!","Ils sortent de leur cachette <br>quand quelqu'un approche. <hr>Utilise [0019:00000007,00000005] pour recracher la glace<br>quand tu aspires l'un de ces esprits !","Meine Forschungen haben<br>ergeben, dass sie sich zeigen,<hr>sobald man sich ihnen nähert.<br>Drücke [0019:00000007,00000005], um <color=0001>Eiskristalle</color><hr><color=0001></color>auszustoßen, nachdem du<br>diese Geister eingesaugt hast!","Secondo i miei studi, escono allo<br>scoperto quando ti avvicini.<hr>Quando aspiri uno di questi<br>fantasmi, poi puoi usare [0019:00000007,00000005]<hr>per espellere l'<color=0001>elemento ghiaccio</color>.","Según mis estudios, salen de<br>su escondite cuando te acercas.<hr>Si cazas uno, podrás usar [0019:00000007,00000005]<br>para expeler <color=0001>hielo</color>.","Araştırmalarıma göre, yanlarına<br>yaklaştığında<br>saklandıkları yerden çıkarlar. Bu<hr>hayaletlerden birini içine çektikten<br>sonra [0019:00000007,00000005] ile<br><color=0001>Buz Elementi</color>'ni püskürt!","Araştırmalarıma göre yanlarına<br>yaklaştığında saklandıkları yerden çıkarlar.<hr>Bu hayaletlerden birini süpürdükten<br>sonra [0019:00000007,00000005] ile<br><color=0001>Buz Elementini</color> püskürt!",DÜZELTİLDİ,"v6 manuel son geçiş: metin kutusu genişliği, kaynak anlamı ve karakter tonu birlikte kontrol edilerek kısaltılıp doğallaştırıldı."
0x0BDD,"If you press [0008:00000001] while holding<br>down [0019:00000007,00000005], you can shoot out<hr>a frigid lump of ice!","Si tu appuies sur [0008:00000001] en maintenant<br>[0019:00000007,00000005], tu peux tirer un bloc de glace !","Wenn du [0008:00000001] drückst, während<br>du [0019:00000007,00000005] gedrückt hältst, feuerst<hr>du einen großen Batzen Eis ab!","Se premi [0008:00000001] mentre tieni premuto [0019:00000007,00000005],<br>potrai sparare un pezzo di ghiaccio!","Si pulsas [0008:00000001] mientras mantienes pulsado<br>[0019:00000007,00000005], lanzarás un cañonazo de hielo.","[0019:00000007,00000005]'i basılı tutarken [0008:00000001] basarsan<br>dondurucu bir buz topağı<hr>fırlatabilirsin!","[0019:00000007,00000005] basılı tutarken [0008:00000001] tuşuna basarsan<br>dondurucu bir buz topağı<hr>fırlatabilirsin!",DÜZELTİLDİ,Kontrol ikonlarına apostrofla ek bağlama kaldırıldı; komut anlamı korundu.
0x0BDF,"Yes-sirree. When water gets<br>cold, it freezes, right?<hr>Ice can be very effective<br>against water. You could use it<hr>on water ghosts, for example.","Oui, chef ! Quand l'eau <br>devient très froide, elle gèle.<hr>La glace peut être très efficace<br>contre des fantômes d'eau.<hr>Essaie et tu verras.","Yeppa! Wenn Wasser ausreichend<br>gekühlt wird, gefriert es, nicht wahr?<hr>Deshalb kann Eis äußerst wirkungsvoll<br>gegen Wasser eingesetzt werden...<hr>Gegen Wassergeister beispielsweise.","Sissignore. Quando l'acqua si<br>congela, diventa ghiaccio, OK?<hr>Il ghiaccio è molto efficace<br>contro l'acqua, lo puoi usare <hr>contro i fantasmi acqua.","Eeeso es. Con el frío, el agua se congela,<br>¿no?<hr>Pues el hielo puede hacer mucha pupa<br>al agua.<hr>Usa el hielo con los fantasmas de agua.","Aynen öyle. Su soğuyunca donar,<br>değil mi?<hr>Buz, suya karşı çok etkilidir.<br>Mesela su hayaletlerine karşı<hr>kullanabilirsin.","Aynen öyle! Su soğuyunca donar,<br>değil mi?<hr>Buz suya karşı birebirdir.<br>Su hayaletlerini düşün mesela!",DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BE0,"Even a hot bath would get cold<br>pretty quick if you iced it down.<hr>Yep, that's a very convenient<br>item you found there, <color=0003>Luigi</color>!","Même un bain chaud deviendrait<br>très vite froid si tu le gelais.<hr>À mon avis, tu as trouvé un objet<br>très utile, <color=0003>Luigi</color> !","Selbst ein heißes Bad wäre im<br>Nu gefroren, wenn du es auf<hr>diese Weise vereisen würdest.<br>Du wirst schon bald feststellen,<hr>welch ein praktisches Item<br>du gefunden hast, <color=0003>Luigi</color>!","Hai trovato un ottimo strumento,<br><color=0003>Luigi</color>.<hr>Potresti congelare anche una vasca<br>d'acqua calda!","Hasta el baño más calentito <br>puede enfriarse con hielo. <hr>Sin duda, has encontrado algo<br>utilísimo, <color=0003>Luigi</color>.","Sıcak bir banyo bile üstüne biraz buz<br>eklenince çabucak soğur.<hr>Evet, bulduğun şey gerçekten çok işe<br>yarar,<br><color=0003>Luigi</color>!","Sıcacık banyo bile biraz buz görünce<br>tir tir kesilir.<hr>İşe yarar bir şey buldun,<br><color=0003>Luigi</color>!",DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BE1,???,???,???,???,(?),???,???,KORUNDU,
0x0BE2,OOOO-KAAAAY! You can<br>come in now...,C'eeest boooon !<br>Tu peux entrer maintenant ! ,OOOO-KAAAY! Sie können jetzt<br>reinkommen...,BENISSSIMOOO!<br>Ora puoi entrare...,¡Ya! ¡Ya nos hemos escondido!,T-T-TAMAMDIR! Artık<br>içeri gelebilirsin...,T-T-TAMAM! Artık<br>içeri gelebilirsin...,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BE3,You found <color=0003>Mario</color>'s <color=0002>Shoe</color>!<br>It smells...like <color=0003>Mario</color>'s feet.,Vous trouvez la <color=0002>chaussure</color> de <br><color=0003>Mario</color> ! Elle sent les pieds...,"Das ist <color=0002>Marios Schuh</color>! Er,<br>ähem, riecht nach Marios Füßen.","Hai trovato la <color=0002>scarpa</color> di <color=0003>Mario</color>!<br>Odora di... ehm, piedi...",¡Encontraste el <color=0002>zapato</color> de <color=0003>Mario</color>!<br>Huele a... ¡a los pies de <color=0003>Mario</color>!,<color=0003>Mario</color>'nun <color=0002>Ayakkabısı</color>'nı buldun!<br>Kokusu... <color=0003>Mario</color>'nun ayağı gibi.,<color=0003>Mario</color>'nun <color=0002>Ayakkabısını</color> buldun!<br>Kokusu da... tam <color=0003>Mario</color>'nun ayakları!,DÜZELTİLDİ,v6 manuel kontrol: anlam korunurken konuşmacının karakter sesi ve doğal Türkçe ritmi güçlendirildi.
0x0BE4,You found <color=0003>Mario</color>'s<color=0002> Letter</color>!<br>I wonder what it says...,Vous trouvez la <color=0002>lettre</color> de <color=0003>Mario</color> ! <br>Je me demande ce qu'elle dit...,Das ist <color=0002>Marios Brief</color>! Was<br>wohl drinstehen mag...,Hai trovato la <color=0002>lettera</color> di <color=0003>Mario</color>!<br>Chissà che cosa c'è scritto...,¡Tienes la <color=0002>carta</color> de <color=0003>Mario</color>!<br>¿Qué pondrá?...,<color=0003>Mario</color>'nun <color=0002>Mektubu</color>'nu buldun!<br>Acaba içinde ne yazıyor...,<color=0003>Mario</color>'nun <color=0002>Mektubunu</color> buldun!<br>Acaba içinde ne yazıyor...,DÜZELTİLDİ,Türkçe ek zinciri ve doğal soru anlatımı düzeltildi.
0x0BE5,"You found <color=0003>Mario</color>'s<color=0002> Star</color>!<br>My, what a glittering beauty!",Vous trouvez l'<color=0002>étoile</color> de <color=0003>Mario</color> ! <br>Waaaah ! Quelle brillance...,Das ist <color=0002>Marios Stern</color>! Wie<br>schön er schimmert!,"Hai trovato la <color=0002>stella</color> di <color=0003>Mario</color>!<br>Wow, come brilla...","¡Esa es la <color=0002>estrella</color> de <color=0003>Mario</color>!<br>¡Cómo brilla, qué bonita!","<color=0003>Mario</color>'nun <color=0002>Yıldızı</color>'nı buldun!<br>Aman, ne kadar da ışıl ışıl!","<color=0003>Mario</color>'nun <color=0002>Yıldızını</color> buldun!<br>Vay, ne kadar da ışıl ışıl!",DÜZELTİLDİ,Türkçe ek zinciri ve ünlem anlatımı düzeltildi.
0x0BE6,Hey... Why don't you play<br>hide and seek with us?,Hé ! Pourquoi tu jouerais pas à <br>cache-cache avec nous ?,Hey... Warum spielen Sie nicht<br>Verstecken mit uns?!?,Ehi... Vuoi giocare a nascondino con noi?,Oiga... ¿por qué no juega al escondite<br>con nosotros?,Hey... Bizimle saklambaç<br>oynamaya ne dersin?,Hey... Bizimle saklambaç<br>oynasana?,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BE7,Ha ha ha ha ha ha!,Ha ha ha ha ha ha !,Ha ha ha ha ha ha!,Ah ah ah ah!,¡Nos lo podemos pasar muy bien!,Ha ha ha ha ha ha!,Ha ha ha ha ha ha!,KORUNDU,
0x0BE8,"OK, let's play!",D'accord. Jouons !,"Gut, fangen wir an!","Bene, giochiamo!","¡Vale, juego!","Tamam, oynayalım!","Tamam, oynayalım!",KORUNDU,
0x0BE9,Good-bye.,Salut.,Und tschüss!,Ciao.,Adiós.,Hoşça kal.,Hoşça kal.,KORUNDU,
0x0BEA,Yaaaaay!,Yaaaaah !,Juchhu!,Sììììì!,¡Qué bien!,Yaşasııın!,Yaşasııın!,KORUNDU,
0x0BEB,"OK, we're gonna hide now.<br>Wait outside!","OK, on va se cacher maintenant.<br>Va attendre dehors !","Gut, wir verstecken uns jetzt!<br>Sie müssen draußen warten!","Bene, ora ci nascondiamo.<br>Aspetta fuori!","Venga, que vamos a escondernos.<br>¡Espere fuera!","Tamam, şimdi saklanacağız.<br>Dışarıda bekle!","Tamam, biz saklanıyoruz.<br>Sen dışarıda bekle!",DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BEC,Nyah nyah nyah nyah nyahhh!,Yiark yiark yiark yiark yiaaark !!!,Dann verziehen wir uns!,Nooo nooo nooo no!,¡Pues vaya!,Nyah nyah nyah nyah nyahhh!,Naa-na-na-na-naaa!,DÜZELTİLDİ,İngilizce alaycı çocuk sesi Türkçede doğal ünleme uyarlandı.
0x0BEE,"Hey, mister, what are you doing<br>over there looking all lonely?","Hé, monsieur ! Qu'est-ce que <br>vous faites ici tout seul ?","Hallo, mein Herr! Was machen Sie<br>denn hier ganz allein?","Ehi tu, che ci fai là tutto soletto?","Eh, señor, ¿qué está haciendo<br>ahí tan solo?","Hey, bayım, orada öyle yalnız yalnız<br>ne yapıyorsun?",Hey bayım! Orada tek başına<br>öyle süzülüp ne yapıyorsun?,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BEF,Ah-ATCHOOO!,Ahhh... Tchoum !!!,HA-HATSCHI!!!,Eh-Eh-ECCIÙ!,¡Achís!,Ah-ATCHOOO!,Hapşuuu!,DÜZELTİLDİ,Hapşırma sesi Türkçeleştirildi.
0x0BF0,What...do you seek of me?,Qu'est-ce que tu me veux ?,Um was... ersuchst du mich?,Cosa... cercavi me?,¿Qué? ¿Qué quieres de mí?,Benden... ne... istiyorsun?,Benden... ne... dilersin?,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BF1,Who are you?,Qui es-tu ?,Wer bist du?,Chi sei?,¿Quién eres?,Sen kimsin?,Sen kimsin?,KORUNDU,
0x0BF2,Tell me the future!,Dis-moi l'avenir !,Sag mir die Zukunft!,Dimmi il futuro!,¡Léeme el futuro!,Geleceği söyle!,Geleceğime bak!,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BF4,"I am <color=0003>Madame Clairvoya</color>, seer<br>of <color=0001>dropped items</color>.<hr>Possessions of other people<br>awaken vibrations in my spirit...","Je suis <color=0003>Madame Clairevue</color>,<br>devin des <color=0001>objets perdus</color>.<hr>Les possessions des autres<br>font vibrer mon esprit...","Ich bin <color=0003>Madame Le Caro</color>,<br><color=0001>verlorengegangene Gegen-</color><hr><color=0001>stände</color> ermöglichen mir den<br>Blick in die Zukunft. Besitztümer<hr>anderer Personen inspirieren<br>meinen Geist...","Sono <color=0003>Madame Claravista</color>, veggente<br>di <color=0001>cose perdute</color>.<hr>Gli oggetti di altre persone risvegliano<br>delle vibrazioni nel mio spirito.","Soy <color=0003>Madame Claravidente</color>, <br>leo <color=0001>objetos perdidos</color>. <hr>Los objetos de la gente <br>me transmiten vibraciones...","Ben, <color=0001>düşürülen eşyaların</color> kâhini<br><color=0003>Madame Clairvoya</color>'yım.<hr>Başkalarına ait eşyalar ruhumda<br>titreşimler uyandırır...","Ben, <color=0001>kayıp eşyaların</color> kâhini<br><color=0003>Madame Clairvoya</color>.<hr>Başkalarına ait eşyalar ruhumda<br>titreşimler uyandırır.<hr>Bu titreşimleri yorumlayıp insanların<br>kaderinden kesitler görebilirim.",DÜZELTİLDİ,Madame Clairvoya’nın teatral falcı sesi güçlendirildi; “dropped items” diğer Avrupa dilleri gibi doğal biçimde “kayıp eşyalar” olarak yorumlandı.
0x0BF5,"If you find someone's<br><color=0001>dropped items</color>, you should<hr>bring them to me. I will show<br>you the extent of my vision...","Si tu trouves les <color=0001>objets perdus</color><br>d'une personne, amène-les-moi. <hr>Je te montrerai mes pouvoirs !","Wenn du <color=0001>verlorengegangene</color><br><color=0001>Gegenstände</color> findest, solltest<hr>du sie zu mir bringen. Dann wirst du<br>Zeuge meiner weitreichenden Gabe...","Se trovi <color=0001>cose perdute </color>da altri,<br>portamele.<hr>Ti farò vedere come leggo il futuro...","Si encuentras <color=0001>objetos perdidos</color><br>de alguien y me los traes, <hr>te enseñaré lo que puedo llegar a ver... ","Birinin <color=0001>düşürdüğü eşyaları</color><br>bulursan, onları bana getirmelisin.<hr>Görüşümün ne kadar güçlü olduğunu<br>sana gösteririm...",Birinin <color=0001>kayıp eşyasını</color> bulursan<br>bana getir.<hr>Görüşümün ne kadar uzağa<br>eriştiğini sana göstereyim...,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BF6,Ohh... Harummmm...no. I feel no<br>spiritual vibrations right now.,Hmmm... Je ne ressens aucune<br>vibration spirituelle maintenant...,"Oh... Murmel... Nein, nichts! Ich<br>nehme keinerlei spirituelle<hr>Vibrationen wahr!",Oh... Uhmmm... no. Ora non sento<br>nessuna vibrazione spirituale.,Aumm... Aumm... no.<hr>No siento ninguna vibración espiritual<br>en este instante.,Ohh... Harummm... hayır. Şu anda<br>hiçbir<br>ruhsal titreşim hissetmiyorum.,Ooh... Hımmm... hayır. Şu anda<br>ruhsal bir titreşim hissetmiyorum.,DÜZELTİLDİ,Teatral duraksama korunup yabancı “Harummm” sesi doğal Türkçe mırıltıya çevrildi.
0x0BF8,"Hm? What is this object you<br>have here? Show it, please,<hr>to <color=0003>Madame Clairvoya</color>.",Quel est cet objet que<br>tu possèdes ?<hr>Montre-le à <color=0003>Madame Clairevue</color>.,"Nanu? Was ist das für ein Ge-<br>genstand, den du mit dir führst?<hr>Würdest du ihn bitte <color=0003>Madame</color><br><color=0003>Le Caro</color> zeigen?",Eh? Cos'è quella cosa che hai<br>con te? Mostrala senza indugio<hr>a <color=0003>Madame Claravista</color>.,"¿A ver? ¿Qué tienes ahí? Anda, <br>enséñaselo a <color=0003>Madame Claravidente</color>.",Hm? Elindeki bu nesne de ne?<br>Lütfen onu <color=0003>Madame Clairvoya</color>'ya<hr>göster.,Hımm? Elindeki nedir?<br>Getir de <color=0003>Madame Clairvoya</color><hr>bir baksın.,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BF9,Wh-what is this?,Mais... Qu'est-ce donc ?,Wa-Was ist denn das?,C-che cos'è?,Pe-pero ¿qué es esto?,Bu... bu da ne?,Bu... bu da ne?,KORUNDU,
0x0BFA,"If it isn't <color=0003>Mario</color>'s <color=0002>Hat</color>!<br>Why, it's so clean, as if...<hr>SOMEONE JUST WASHED IT!<br>... Sorry, sometimes I like to<hr>add a little drama, you know.","On dirait le <color=0002>chapeau</color> de <color=0003>Mario</color> !<br>Mais... il est propre...<hr>Comme si ON L'AVAIT LAVÉ ! <br>Euh, désolée...<hr>J'aime bien ajouter une touche<br>dramatique...","Wenn das nicht <color=0003>Marios</color><br><color=0002>Mütze</color> ist! Warum ist sie nur<hr>so sauber... Ganz so, als käme sie<br>AUS DER WÄSCHESCHLEUDER!<hr>...Oh, Pardon! Manchmal neige<br>ich zu dramatischen Ausbrüchen,<hr>musst du wissen.","Ma è il <color=0002>cappello </color>di <color=0003>Mario</color>!<br>Strano... è così pulito, come se...<hr>QUALCUNO l'avesse LAVATO!<br>Scusa, a volte tendo a drammatizzare,<hr>per creare atmosfera...","Pero... ¡si es la <color=0002>gorra </color>de <color=0003>Mario</color>!<hr>Mira, está muy limpia; ¡alguien<br>ha debido de lavarla!<hr>Perdona... a veces soy un poco teatrera.","Bu <color=0003>Mario</color>'nun <color=0002>Şapkası</color> değil mi!<br>Ne kadar temiz, sanki...<hr>BİRİ AZ ÖNCE YIKAMIŞ GİBİ!<br>... Pardon, bazen biraz<hr>drama katmayı seviyorum, bilirsin.",Bu <color=0003>Mario</color>'nun <color=0002>Şapkası</color>!<br>Tertemiz... sanki...<hr>BİRİ AZ ÖNCE YIKAMIŞ!<br>... Pardon.<hr>Sahneye bazen biraz drama gerekir.,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BFB,Hm? Just one moment... Did I<br>just say <color=0003>Mario</color>? Could it be...<hr>THAT <color=0003>Mario</color>?,Est-ce que je viens de dire <color=0003>Mario</color> ?<br>Le même que CE <color=0003>Mario</color>-là ?,Wie? Moment mal... Sagte ich<br>gerade <color=0003>Mario</color>? Es ist doch<hr>nicht etwa...<br>DER  <color=0003>Mario</color>?,Eh? Aspetta un momento... Ho detto<br><color=0003>Mario</color>? Che sia... QUEL <color=0003>Mario</color>?,(?) Espera... ¿He dicho <color=0003>Mario</color>?<br>Podría ser... ¿ese <color=0003>Mario</color>?,Hm? Bir saniye... Ben az önce<br><color=0003>Mario</color> mu dedim? Yoksa...<hr>O <color=0003>Mario</color> mu?,Hımm? Dur bir dakika...<br>Az önce <color=0003>Mario</color> mu dedim?<hr>Yoksa... O <color=0003>Mario</color> mu?!,DÜZELTİLDİ,v5 yaratıcı geçiş: anlam korunarak karakter sesi ve doğal oyun Türkçesi güçlendirildi; EN/FR/DE/IT/ES karşılıkları birlikte değerlendirildi.
0x0BFC,......,...,......,...,(?),......,......,KORUNDU,
