ID,English,Dutch,French,German,Italian,Spanish,Turkish
0x0C0F,Acch! I cannot concentrate...<br>The spirits are leaving me...,,Je ne peux me concentrer... Les<br>esprits me quittent...,Oje! Ich kann mich nicht<br>konzentrieren... Die Geister...<hr>Sie verlassen mich...,Acc! Non riesco a concentrarmi...<br>Gli spiriti mi abbandonano...,¡Argh! No puedo concentrarme...<br>Los espíritus me abandonan...,Aah! Odaklanamıyorum...<br>Ruhlar elimden kayıyor...
0x0C10,"Listen! Can you hear it?<br>The inner voice of your sweet,<hr>beloved <color=0003>Mario</color>!",,Écoute !<br>Tu n'entends pas ? <hr>C'est la douce voix de notre<br>cher <color=0003>Mario</color> ! ,"Hör nur! Hörst du? Die innere<br>Stimme deines süßen, geliebten<hr><color=0003>Mario</color>!",Ascolta! La senti? È la voce del tuo<br>caro <color=0003>Mario</color>!,¡Escucha! ¿La oyes? Es la voz interior<br>de tu adorado hermanito <color=0003>Mario</color>.,Dinle! Duyuyor musun?<br>Sevgili <color=0003>Mario</color>'nun<hr>içinden yükselen o sesi!
0x0C11,Oh horrors! What is this? ...<br>A king? ... <color=0003>King Boo</color>?!<hr>What is this <color=0003>King Boo</color>?!,,Mon dieu ! Qu'est-ce donc ?<br>Un roi ? Le <color=0003>Roi Boo</color> ?!<hr>Qui est ce <color=0003>Roi Boo</color> ?,Schreck lass nach! Was ist das?<br>...Ein König? ...<color=0003>König Buu</color><hr><color=0003>Huu</color>?!? Und wer ist dieser<br><color=0003>König Buu Huu</color>?!?,Oh orrore! Cos'è? Un re? <color=0003>Re Boo</color>?!<br>Ma chi è 'sto <color=0003>Re Boo</color>?!,¡Qué horror! ¿Qué es eso?...<br>¿Un rey?... ¡Es el <color=0003>Rey Boo</color>!<hr>Pero ¿qué es eso de <color=0003>Rey Boo</color>?,Aman dehşet! Bu da ne? ...<br>Bir kral mı? ... <color=0003>Kral Boo</color> mu?!<hr>Kim bu <color=0003>Kral Boo</color>?!
0x0C12,"... I do not understand just<br>what he means, but... Beware<hr>of <color=0003>King Boo</color>! This is<br>what your brother wishes to<hr>say to you. Ohhh, yes, a Boo who<br>wears a crown, I see! This is<hr><color=0003>King Boo</color>! ... SO!<br>He is the one who has captured<hr>your <color=0003>Mario</color>!",,"Je n'arrive pas très bien<br>à comprendre ce qu'il veut dire.<hr>Je crois que c'est<br>« Attention au <color=0003>Roi Boo</color> ! »<hr>Oui, c'est ce qu'il essaie<br>de te dire.<hr>Je vois un Boo couronné.<br>C'est le <color=0003>Roi Boo</color> !<hr>C'est lui qui a capturé ton frère !","...Keine Ahnung, was er meint,<br>aber... Nimm dich in Acht vor<hr><color=0003>König Buu Huu</color>! Das<br>möchte dir dein Bruder mitteilen.<hr>Oh, ja! Ein Buu Huu, der eine<br>Krone trägt! Verstehe! Das ist<hr><color=0003>König Buu Huu</color>! ...<br>Verstehe... Er hat also deinen<hr><color=0003>Mario</color> entführt!","... Non capisco proprio che significhi,<br>ma... Attento a <color=0003>Re Boo</color>!<hr>È questo ciò che tuo fratello vuole dirti.<br>Ohoo, sì, un Boo con una corona in testa,<hr>lo vedo! Questo è <color=0003>Re Boo</color>! ... ECCO!<br>È lui che ha catturato il tuo <color=0003>Mario</color>!","No sé a qué se refiere, pero...<br>lo que quiere decirte es:<hr>¡cuidado con el <color=0003>Rey Boo</color>!<br>Ah, claro, un Boo con corona.<hr>Ya entiendo; ¡habla del <color=0003>Rey Boo</color>!<br>Entonces, ¡ese es el que tiene<hr>a tu hermano <color=0003>Mario</color>!","... Ne demek istediğini tam çözemiyorum,<br>ama mesajı açık: <color=0003>Kral Boo</color>'ya dikkat!<hr>Bir dakika... Taçlı bir Boo görüyorum!<br>Evet, bu <color=0003>Kral Boo</color>!<hr>Demek <color=0003>Mario</color>'yu tutsak eden<br>oymuş!"
0x0C13,Ahhhhh! I can say no more!<br>The spirits leave me even now!,,Aaaaahhh ! Je ne peux plus rien<br>dire ! Les esprits me quittent !,Ahhhhh! Mehr vermag ich nicht<br>zu sagen! Die Geister haben mich<hr>soeben verlassen!,Ahaaa! Non posso dire altro!<br>Gli spiriti mi abbandonano!,"¡Vaya, no puedo decir más!<hr>¡Y que los espíritus me dejen<br>en un momento como este!...",Aaaah! Daha fazlası yok!<br>Ruhlar yine çekiliyor!
0x0C14,"Ah-hahhh! I can hear it!<br>Your brother, <color=0003>Mario</color>!<hr>He cries out for you!",,A-aaah ! Je l'entends !<br>Ton frère <color=0003>Mario</color> t'appelle !<hr>Il a besoin de toi !,Ah-hahhh! Ich kann es hören!<br>Dein Bruder <color=0003>Mario</color>!<hr>Er ruft nach dir!,"Ah-ahhh! Lo sento! Tuo fratello, <color=0003>Mario</color>!<br>Ti chiede aiuto!","¡Ah, sí, puedo oírle! ¡Es tu hermano<br><color=0003>Mario</color>! ¡Te está llamando a voces!",Ah-hah! Duyuyorum!<br><color=0003>Mario</color> sana sesleniyor!
0x0C15,What...? The power of the Boos?<br>You wish to tell us something<hr>of their mysterious Boo-power?,,Comment ?<br>Le pouvoir des Boos ?<hr>Tu veux nous parler de leur<br>mystérieux pouvoir ?,Wie...? Die Kräfte der Buu Huus?<br>Du möchtest uns etwas über die<hr>geheimnisvollen Kräfte der Buu<br>Huus mitteilen?,Cosa...? I poteri dei Boo? Vuoi dirci<br>qualcosa sui loro misteriosi poteri?,¿Cómo?... ¿El poder de los Boos?<hr>¿Quieres contarnos algo sobre<br>el poder oculto de los Boos?,Ne...? Boo'ların gücü mü?<br>Gizemli Boo gücünden<hr>söz etmek istiyorsun demek?
0x0C16,"Ohh... Harummm... The Boos do<br>indeed have strange powers...<hr>When they gather in numbers,<br>their power grows stronger!<hr>... But! They do fear your<br>mighty <color=0002>Poltergust 3000</color>!",,"Oooh hmmm... Les Boos ont<br>de bien étranges pouvoirs.<hr>Lorsqu'ils se rassemblent,<br>leur pouvoir croît.<hr>Mais ils craignent le puissant<br><color=0002>Ectoblast 3000</color> !","Ohh... Murmel... Die Buu Huus<br>haben wahrhaft seltsame Kräfte...<hr>Wenn sie sich zusammenrotten,<br>werden ihre Kräfte stärker!<hr>Aber... sie fürchten sich<br>vor deinem saugstarken<hr><color=0002>Schreckweg 08/16</color>!","Oooh... Uhummm... I Boo hanno<br>di sicuro poteri particolari...<hr>Quando si raggruppano, la loro<br>forza aumenta!<hr>... Ma! Temono il tuo potente<br><color=0002>Poltergust 3000</color>!","Mmm... Aumm... Sí, los Boos tienen<br>extraños poderes...<hr>Cuando forman grupos, ¡su fuerza<br>se multiplica!<hr>Pero... ¡tienen pánico a tu potente<br><color=0002>Succionaentes 3000</color>!",Ohh... Harummm... Boo'ların gerçekten<br>tuhaf güçleri var.<hr>Kalabalıklaştıkça kuvvetlenirler!<br>Ama senin kudretli<hr><color=0002>Poltergust 3000</color>'inden<br>ödleri kopar!
0x0C17,Ugh... I fear that I have only<br>enough power within me to read<hr>one more of your brother's<br><color=0001>dropped items</color>...<hr>My strength ebbs away...,,Il me reste juste assez de <br>pouvoir pour étudier l'un des<hr><color=0001>objets perdus</color> de ton frère.<br>Mes forces faiblissent...,"Uff... Ich fürchte, meine<br>Kräfte reichen gerade noch<hr>aus, um ein weiteres der<br><color=0001>Fundstücke</color> zu ergründen,<hr>die dein Bruder verloren hat...<br>Meine Kraft schwindet...",Uh... Temo di poter leggere soltanto<br>un'altra delle <color=0001>cose perdute </color>di tuo<hr>fratello... Le forze mi abbandonano...,Uf... creo que solo me queda<br>energía para leer una cosa más<hr>en los <color=0001>objetos perdidos</color> <br>de tu hermano...<hr>Las fuerzas se me van...,Ugh... Korkarım kardeşinin<br><color=0001>düşürdüğü eşyalardan</color> yalnızca<hr>birini daha okumaya yetecek kadar<br>gücüm kaldı... Kuvvetim tükeniyor...
0x0C18,"Ah, the spirits return to me!<br>I see! I see! I see your dear<hr><color=0003>Mario</color>! The scene appears<br>before me...",,"Aaah ! Les esprits reviennent !<br>Je vois ! Je vois ton cher <color=0003>Mario</color> !<hr>La scène est là, devant moi !","Ah, die Geister kehren zu mir<br>zurück! Ich sehe! Ich SEHE!<hr>Ich kann deinen geschätzten<br><color=0003>Mario</color> sehen!<hr>Das Szenario entfaltet sich vor<br>meinen Augen...","Ah, gli spiriti tornano a me! Vedo!<br>Vedo! Vedo il tuo caro <color=0003>Mario</color>!<hr>Mi appare una scena davanti agli<br>occhi...","¡Eh, los espíritus están de nuevo<br>conmigo! ¡Veo a tu adorado <color=0003>Mario</color>!<hr>¡Aquí, delante de mis narices!...","Ah, ruhlar geri döndü!<br>Görüyorum... Görüyorum!<hr><color=0003>Mario</color>'yu görüyorum!<br>Sahne gözlerimin önünde açılıyor..."
0x0C19,Wh-what is this!?,,Qu'est-ce donc ?!,Wa-was ist das?!?,Ch-Che cos'è?!,Pero ¿y este?,B-Bu da ne!?
0x0C1A,<color=0003>Bowser</color>?!,,<color=0003>Bowser</color> ?!,<color=0003>Bowser</color>?!?,<color=0003>Bowser</color>?!,¡Es <color=0003>Bowser</color>!,<color=0003>Bowser</color> mı?!
0x0C1B,How can this be?! I see the<br>hideous form of <color=0003>Bowser</color>!<hr>Is <color=0003>Bowser</color> somewhere in this<br>mansion? I cannot believe it...<hr>And yet I see it...,,Comment est-ce possible ? !<br>Je vois l'hideuse forme de <color=0003>Bowser</color> !<hr>Se trouve-t-il quelque part<br>dans cette maison ?<hr>Je n'y crois pas et pourtant...,"Wie ist das möglich?! Ich sehe<br>diese grässliche Fratze von<hr><color=0003>Bowser</color>! Befindet sich<br><color=0003>Bowser</color> etwa in dieser<hr>Villa? Das kann ich kaum glauben...<br>Und doch, die Kugel lügt nicht...",Come può essere?! Vedo l'odiosa<br>figura di <color=0003>Bowser</color>!<hr><color=0003>Bowser</color> è forse da qualche parte<br>in questo palazzo?<hr>Non ci credo... eppur lo vedo...,Pero ¿cómo es posible? ¡Veo la<br>desagradable figura de <color=0003>Bowser</color>!<hr>¿<color=0003>Bowser</color> está en esta mansión?<br>No me lo puedo creer...<hr>Pero es que ahí está...,Bu nasıl olabilir?! Şu iğrenç<br><color=0003>Bowser</color> suretini görüyorum!<hr><color=0003>Bowser</color> bu konağın bir yerinde mi?<br>Buna inanamıyorum...<hr>Ve yine de görüyorum...
0x0C1C,"I thought that <color=0003>Mario</color> had<br>soundly defeated <color=0003>Bowser</color>!<hr>Has <color=0003>King Boo</color> somehow<br>revived <color=0003>Bowser</color>? This could<hr>be horrible! Well, for you. ",,Je croyais que <color=0003>Mario</color> avait<br>vaincu <color=0003>Bowser</color> !<hr>Le <color=0003>Roi Boo</color> aurait-il ramené<br><color=0003>Bowser</color> à la vie ?<hr>Ce serait horrible ! Enfin... pour toi.,"Ich dachte, <color=0003>Mario</color><br>hätte <color=0003>Bowser</color> ein für alle<hr>Mal geschlagen? Hat es <color=0003>König</color><br><color=0003>Buu Huu</color> irgendwie geschafft,<hr><color=0003>Bowser</color> wiederzubeleben?<br>Das wäre ja furchtbar!<hr>Nun, zumindest für dich...","Pensavo che <color=0003>Mario</color> avesse sconfitto<br><color=0003>Bowser</color> per sempre!<hr>Forse <color=0003>Re Boo</color> ha fatto tornare <color=0003>Bowser</color>?<br>Sarebbe terribile! Beh, per te... ","Yo pensaba que <color=0003>Mario </color>había vencido<br>a <color=0003>Bowser</color> de forma definitiva.<hr>¿Habrá sido el <color=0003>Rey Boo</color><br><color=0003></color>el que ha revivido a <color=0003>Bowser</color>?<hr>¡Esto puede ser el fin!... Bueno, el tuyo...","<color=0003>Mario</color>'nun <color=0003>Bowser</color>'ı fena hâlde<br>yendiğini sanıyordum!<hr>Yoksa <color=0003>Kral Boo</color>, <color=0003>Bowser</color>'ı<br>bir şekilde diriltti mi?<hr>Bu korkunç olabilir!<br>Benim için değil tabii."
0x0C1D,"Uggghh! Ahhh no, the powers<br>leave me! The spirits depart!",,Hughgn ! Les esprits me quittent !<br>Mon pouvoir s'évanouit !,"Uff! Äh, tja, die Kräfte verlassen<br>mich! Die Geister schwinden!","Uggghh! Ahaa no, i miei poteri<br>svaniscono! Gli spiriti vanno via!","¡Aaah, nooo, mis poderes me<br>abandonan! ¡Los entes se van!","Uggghh! Ahhh hayır, güçlerim<br>tükeniyor! Ruhlar ayrılıyor!"
0x0C1E,"This is all I can show you,<br><color=0003>Luigi</color>... That was the<hr>last of my power. But I have<br>given words to what the spirits<hr>have shown...so I can return<br>to my painting satisfied.<hr>Send me there now, you vacuum-<br>wielding rogue!",,"C'est tout ce que je peux te <br>montrer, <color=0003>Luigi</color> !<hr>C'étaient mes dernières forces...<br>Je peux tranquillement retourner <hr>dans mon tableau. Renvoie-moi <br>dedans, espèce d'aspireur fou ! <hr>Ahhh, la jeunesse ! Pffff...","Mehr kann ich nicht für dich tun,<br><color=0003>Luigi</color>... Damit sind meine<hr>Kräfte erschöpft. Aber ich habe<br>dem Worte verliehen, was mir die<hr>Geister zeigten... Nun kann ich<br>ausgeglichen in mein Gemälde<hr>zurückkehren. Saug mich nun auf,<br>du staubsaugerschwingender<hr>Schlingel!","Non posso farti vedere altro, <color=0003>Luigi</color>...<br>Ora non ho più poteri.<hr>Ma ho dato voce a ciò che gli spiriti<br>mi hanno mostrato...<hr>Ora posso tornare soddisfatta<br>nel mio quadro.<hr>Rimandami nel quadro, baffone<br>aspiratutto!","Esto es todo lo que puedo decirte,<br><color=0003>Luigi</color>... No me queda más poder.<hr>Pero te he contado lo que me han<br>transmitido los entes...<hr>así que puedo volver a mi cuadro<br>en paz. ¡Venga, guapetón,<hr>pon en marcha la aspiradora!","Sana gösterebileceğim her şey buydu,<br><color=0003>Luigi</color>... Gücüm tükendi.<hr>Ama ruhların anlattıklarına<br>söz verdim.<hr>Artık tabloma huzurla dönebilirim.<br>Haydi gönder beni oraya,<hr>seni süpürge sallayan haydut!"
0x0C1F,"Ahhhhh! Finally, I can return<br>in peace to my painting...<hr>Sweet happiness in oils...",,Aaaahh ! Je peux rentrer<br>en paix dans mon tableau...<hr>Rien de tel qu'une bonne<br>peinture à l'huile.,"Ahhhhh! Endlich kehre ich in<br>Frieden in mein Gemälde zurück...<hr>Ach, diese kraftvollen Ölfarben...",Ahaaa! Finalmente posso tornare<br>in santa pace nel mio quadro...<hr>Un mare tranquillo di oli e tempere...,"¡Uf! Por fin puedo quedarme <br>en mi cuadro tranquilamente... <hr>¡Óleo, dulce óleo! ",Ahhhhh! Sonunda tabloma<br>huzurla döneceğim...<hr>Yağlıboya saadeti...
0x0C20,"I thank you... I thank you,<br>kind <color=0003>Luigi</color>!",,Merci ! Mille mercis mon<br>bon petit <color=0003>Luigi</color> !,"Ich danke dir... Ich danke dir,<br>gütiger <color=0003>Luigi</color>!","Grazie... Grazie a te, caro <color=0003>Luigi</color>!","Gracias, muchas gracias.<br>¡Eres un encanto, <color=0003>Luigi</color>!","Minnettarım... Minnettarım,<br>iyi kalpli <color=0003>Luigi</color>!"
0x0C21,You found <color=0003>Mario</color>'s <color=0002>Glove</color>!<br>Eew... It's a little sweaty.,,Vous trouvez le <color=0002>gant</color> de <color=0003>Mario</color> !<br>Il est plein de transpiration...,"Aha, <color=0002>Marios Handschuh</color>!<br>Igitt! Der ist ganz verschwitzt!!!",È il <color=0002>guanto</color> di <color=0003>Mario</color>!<br>Bleh... è un po' sudaticcio.,"¡Vaya, el <color=0002>guante</color> de <color=0003>Mario</color>!<br>¡Aj!... ¡Está un poco sudado!",<color=0003>Mario</color>'nun <color=0002>Eldivenini</color> buldun!<br>İyy... Biraz terli.
0x0C22,Get me outta heeeeere!,,Sortez-moi de lààààà !,Ich will hier rau-auuus!,Fammi uscire di quiiiiiiii!,"¡<color=0003>Luigi</color>, por fin! ¡No puedo más!<br>¡Sácame de aquí!",Beni buradaaaan çıkar!
0x0C23,......!,,...... !,......!,......!,¡Pe-pe-pero... <color=0003>Mario</color>! ¡Ca-calma!<br>¡Ha-ha-haré lo que pu-pu-pueda!,......!
0x0C24,WRONG! Nyah nyah!!,,Faux ! Niark niark !,FALSCH! Ätschi-Bätschi!,SBAGLIATO! Nonò nonò!,"¡Frío, frío! ¡Ah, se siente!",YANLIŞ! Nyah nyah!!
0x0C25,"Not bad, mister!",,"Pas mal, m'sieur !","Nicht schlecht, mein Herr!","Non male, baffo!","¡No está mal, señor!","Fena değil, bayım!"
0x0C26,"HEY! That's not right!<br>Play fair, cheater!",,Hé ! C'est pas juste !<br>T'es qu'un tricheur ! ,HEY! Das gilt nicht!<br>Sie haben geschummelt!,"EHI! Non è giusto! Gioca lealmente,<br>imbroglione!","¡Oiga, eso no vale! ¡Ha hecho trampa!","HEY! Bu doğru değil!<br>Dürüst oyna, hileci!"
0x0C27,"That scaredy-cat <color=0003>Luigi</color> has<br>made it this far...<hr>Oh, we're so frightened!",,Ce trouillard de <color=0003>Luigi</color> est arrivé<br>jusque là... Hou hou ! On a peur !,Dieser Angsthase <color=0003>Luigi</color> hat es<br>doch tatsächlich bis hierher<hr>geschafft... Da machen wir uns ja<br>fast ins Hemd vor lauter Angst!,"Quel fifone di <color=0003>Luigi</color> è arrivato fino qua...<br>Brrr, che paura che ci fa...","Ese asustadizo <color=0003>Luigi</color> ha ido<br>escapando bien de todo...<hr>¡Ay, qué miedo nos da!","Korkak <color=0003>Luigi</color> taa buralara<br>kadar gelmiş demek...<hr>Ah, ne kadar da korktuk!"
0x0C28,"I guess it's our turn, then...",,"C'est notre tour, donc...","Ich schätze mal, jetzt sind wir an<br>der Reihe...",Mi sa che ora tocca a noi!,Creo que ahora nos toca a nosotros...,Sanırım sıra bizde o hâlde...
0x0C29,"All right, Boos, let's assume<br>our real form...",,"OK, les Boos, prenons notre<br>véritable forme...","Alles klar, Buu Huus! Es ist an<br>der Zeit, unsere wahre Gestalt<hr>anzunehmen...","Bene, Boo, assumiamo la nostra<br>vera forma...","Bueno, Boos, adoptemos nuestra<br>verdadera forma...","Pekâlâ, Boo'lar, gerçek biçimimize<br>bürünelim..."
0x0C2A,"But first, how about giving<br>him a little scare!",,"Mais d'abord, fichons-lui<br>un peu la trouille...",Doch zunächst einmal werden wir<br>ihm einen ordentlichen Schrecken<hr>einjagen!,Ma prima... che ne dite di spaventarlo<br>un po'?!,Pero vamos a asustarle un poquito<br>antes de empezar...,"Ama önce, ona<br>küçük bir korku yaşatalım!"
0x0C2B,"Good evening, dunce! I am the<br>mysterious power of the Boos!",,"Bonsoir, imbécile ! Je suis le<br>mystérieux pouvoir des Boos !","Guten Abend, Schwachkopf! Ich<br>repräsentiere die rätselhafte<hr>Macht der Buu Huus!","Salve, tontolone! Sono il potere<br>misterioso dei Boo!","Buenas noches, tarugo. ¡Yo soy<br>el poder oculto de los Boos!","İyi akşamlar, budala! Ben<br>Boo'ların gizemli gücüyüm!"
0x0C2C,"Ahh, my little simpleton, don't<br>think that you can vacuum ME<hr>with your <color=0002>Poltergust 3000</color>!<br>Why? Because, idiot, I am<hr>a mysterious power! Duh!<br>Tell me, why can't you just<hr>be a good boy and let us turn<br>you into a painting? That desire,<hr>the urge of all the Boos to get<br>a nice painting of a fool...<hr>That's what created me...",,"Ah, jeune ignorant ! Ne crois<br>pas pouvoir m'aspirer avec<hr>ton petit <color=0002>Ectoblast 3000</color> !<br>Pourquoi ? Parce que je suis<hr>un pouvoir mystérieux, idiot !<br>Pourquoi ne veux-tu pas bien te<hr>comporter et nous laisser te changer<br>en tableau ? Ce désir des Boos de<hr>posséder des toiles représentant<br>des crétins... C'est ce qui m'a créé !<hr>C'est grâce à eux !","Ach, kleiner Einfaltspinsel, du<br>glaubst doch nicht etwa, du<hr>könntest MICH mit deinem<br><color=0002>Schreckweg 08/16</color> aufsaugen!<hr>Warum nicht? Weil, du Idiot,<br>ICH eine rätselhafte Macht bin -<hr>ganz einfach... Mann! Sag mal,<br>warum bist du nicht ein braver<hr>Junge und lässt dich einfach in<br>ein Bild bannen? Das Verlangen,<hr>dieser Drang aller Buu Huus,<br>ein tolles Bild von einem echten<hr>Volltrottel zu besitzen...<br>Das hat mich hervorgebracht...","Ah, caro sempliciotto, non<br>credere di poter aspirare ME<hr>con il tuo <color=0002>Poltergust 3000</color>!<br>Perché? Perché, scemone, io sono<hr>una forza misteriosa! Ah!<br>Dimmi, perché non fai il bravo<hr>e ti fai trasformare in un quadro?<br>Questo desiderio dei Boo di avere<hr>un bel quadro di un tonto... è ciò<br>che ha creato me...","¡Inocente! ¿Crees que puedes usar<br>tu <color=0002>Succionaentes 3000</color> conmigo?<hr>¿Que por qué? ¡Que no te enteras, lelo,<br>que soy el poder oculto de los Boos!<hr>Venga, pórtate y déjanos que te<br>metamos en un cuadro.<hr>De ese deseo, del ansia que tienen los<br>Boos por tener a un idiota enmarcado...<hr>De ahí nací yo...","Ahh, zavallı saf! <color=0002>Poltergust 3000</color>'inle<br>BENİ içine çekebileceğini sanma!<hr>Neden mi? Çünkü, ahmak, ben gizemli<br>bir gücüm! Hah! Söyle bakalım, neden<hr>uslu bir çocuk olup seni tabloya<br>çevirmemize izin vermiyorsun?<hr>Tüm Boo'ların bir budalanın güzel bir<br>tablosuna sahip olma arzusu...<hr>Beni yaratan işte o arzuydu..."
0x0C2D,"I cannot let you come further.<br>I despise you and your pathetic<hr><color=0002>Poltergust 3000</color>! Just give up<br>and become a painting, will you?<hr>Since that desire is what made<br>me, it is all I can think of...",,"Je ne peux pas te laisser <br>approcher.<hr>Je te méprise, toi et ton pitoyable<br>petit <color=0002>Ectoblast 3000</color> !<hr>Abandonne et deviens un tableau !<br>C'est mon seul conseil !","Ich kann dich nicht länger herum-<br>lungern lassen. Ich verachte dich<hr>und deinen armseligen <color=0002>Schreck-</color><br><color=0002>weg 08/16</color>! Also gib schon auf<hr>und lass dich in ein Bild verwandeln,<br>ja? Da mich dieses Bestreben<hr>hervorgebracht hat, kann ich an<br>nichts anderes mehr denken...","Non posso farti continuare.<br>Disprezzo te e il tuo patetico<hr><color=0002>Poltergust 3000</color>! Arrenditi<br>e diventa un quadro, va bene?<hr>Poiché è per questo desiderio<br>che io esisto...<hr>Non riesco a pensare ad altro!","¡De aquí no podrás pasar! ¡Te odio y<br>odio a tu odiosa <color=0002>Succionaentes 3000</color>!<hr>Venga, ya te vale, métete<br>en un cuadro, anda.<hr>Mi objetivo es enmarcarte:<br>ese es el origen de mi ser.","Daha ileri gitmene izin veremem.<br>Senden ve acınası<hr><color=0002>Poltergust 3000</color>'inden nefret ediyorum!<br>Haydi vazgeç de tablo oluver, olur mu?<hr>Beni yaratan arzu bu olduğundan,<br>aklımdan geçen tek şey de bu..."
0x0C2E,"There used to be <color=0001>20</color> of us<br>in this area, drawing on our<hr>collective strength, but our<br>mysterious power decreases each<hr>time you catch one of us...",,"Avant, on était <color=0001>20</color> dans le coin.<br>On puisait dans notre énergie <hr>collective, mais notre pouvoir<br>faiblit chaque fois que tu <hr>captures l'un d'entre nous...","Es gab mal <color=0001>20</color> von uns in<br>dieser Gegend, die von der<hr>kollektiven Stärke gezehrt haben!<br>Doch unsere Kraft verlässt uns<hr>mit jedem Einzelnen, den du von<br>uns einfängst...","Una volta c'erano <color=0001>20</color> di noi in<br>quest'area, che facevano<hr>affidamento sulla nostra forza<br>collettiva, ma i nostri poteri<hr>diminuiscono tutte le volte che<br>catturi uno di noi...","Antes éramos <color=0001>20</color> en esta zona,<br>y nuestras fuerzas eran una. <hr>Ahora, cada vez que cazas<br>a uno de nosotros,<hr>nuestro poder oculto disminuye...","Eskiden bu bölgede <color=0001>20</color> kişiydik;<br>gücümüzü birleştirirdik,<hr>ama sen bizden birini her<br>yakaladığında<br>gizemli gücümüz biraz daha azalıyor..."
0x0C2F,"Ordinarily your fate would be more<br>dire, but tonight is a full moon,<hr>and we're feeling merciful...<br>so we'll just blast you back to<hr>the front of the mansion!",,"Normalement, ton sort devrait<br>être horrible, mais ce soir,<hr>c'est la pleine lune et on se sent<br>cléments. On va juste t'expulser<hr>hors de la maison, à l'entrée !","Für gewöhnlich wäre dir das<br>Schicksal nicht so gnädig, aber<hr>heute ist Vollmond, da wollen wir<br>mal nicht so sein... Also pusten<hr>wir dich zurück zur Frontseite<br>der Villa!","Di solito il tuo destino sarebbe<br>molto infelice, ma stanotte c'è<hr>la luna piena e siamo più buoni...<br>perciò ti rispediamo soltanto<hr>all'ingresso del palazzo!","En condiciones normales, tu destino<br>habría sido fatal.<hr>Pero hoy hay luna llena y seremos<br>buenos contigo...<hr>¡Volverás a la entrada de la casa,<br>sin más!","Normalde sonun çok daha fena olurdu,<br>ama bu gece dolunay var ve<hr>merhametli davranıyoruz...<br>O yüzden seni yalnızca konağın<hr>önüne uçurup göndereceğiz!"
0x0C30,Ready? Set?,,À tes marques ! Prêt ?!,Alles klar? Seid ihr bereit?,Pronto?,"¿Preparado, listo?",Hazır mısın? Hazır ol...
0x0C31,"Go, loser!!!!",,"Dégage, minable !","Verschwinde, du Verlierer!!!","Vai, buono a nulla!","¡Pues venga, memo!","Hadi bakalım, ezik!!!!"
0x0C35,"Hello there, nitwit, I am the<br>mysterious power of the Boos<hr>that still remain...",,"Salut, bouffon ! Je suis le mystérieux<br>pouvoir des Boos qui restent...","Du da, Dumpfbirne! Ich repräsentiere<br>die rätselhafte Macht der Buu Huus,<hr>die übrig geblieben sind...","Salve, ranocchio. Io sono il potere<br>misterioso che rimane dei Boo...","Muy buenas, cabeza de chorlito.<hr>¡Aquí está el poder oculto de los<br>Boos que quedan!...","Merhaba budala, ben hâlâ geride kalan<br>Boo'ların gizemli gücüyüm..."
0x0C36,"Just try to get all <color=0001>20</color> of us<br>if you can, dunderpate! Ha har!<hr>Now go back to the beginning<br>and try again, lunkhead!!!",,"Essaie de nous attraper tous les <br><color=0001>20</color>, crétin ! Ha ha ha !<hr>Et maintenant, retourne au début<br>et recommence, tête pleine d'eau !","Ja, versuch nur, alle <color=0001>20</color> von uns<br>zu fangen! Hahar! Geh wieder<hr>zurück zum Anfang und versuch<br>es noch mal, du Armleuchter!","Prova pure a prenderci tutti e <color=0001>20</color> se<br>ci riesci, citrullo!<hr>Ah ah! Ora torna all'inizio e prova<br>di nuovo!","¡Intenta pillarnos a los <color=0001>20</color>, besugo!<br>¡Ja, ja, ja!<hr>Empieza de nuevo.<br>¡Vuelve a intentarlo, merluzo!","Hadi bakalım, gücün yetiyorsa<br>hepimizi,<br>yani <color=0001>20</color>mizi birden yakala, hödük! Ha<br>har!<hr>Şimdi başa dön de bir daha dene,<br>sersem!!!"
0x0C37,BOOO!!!!,,Bouhhh !,BUUUU!!!,BOOO!!!!,¡Boooo!,BOOO!!!!
0x0C47,"<color=0003>Luigi</color>, you must be so exhausted.<br>Let me help you get comfortable.<hr>...La la la!",,"Tu dois être épuisé, <color=0003>Luigi</color>.<br>Laisse-moi t'aider à te mettre à l'aise.<hr>... La la la !","<color=0003>Luigi</color>, du musst doch fix und fertig sein.<br>Ich helfe dir mal, dich zu entspannen.<hr>...La la la!","Devi essere esausto, <color=0003>Luigi</color>. Lascia<br>che ti dia una mano a sentirti meglio.<hr>La la la!","<color=0003>Luigi</color>, debes de estar agotado.<br>¿Por qué no te pones cómodo?<hr>¡La, la, la!","<color=0003>Luigi</color>, çok yorulmuş olmalısın.<br>Seni rahat ettireyim.<hr>...La la la!"
0x0FA0,"Oi! You! With the moustache!<br>Yeah, you! ",,"Hé ! Toi avec la moustache !<br>Ouais, toi !","Holla! Du mit dem Schnurrbart!<br>Ja, genau du!","Ehi! Tu! Con i baffi! Sì, tu! ","¡Eh, tú, el del bigote! ¡Sí, tú!","Hey sen! Bıyıklı!<br>Evet evet, SEN!"
