Index,Label,English,French,German,Spanish,Italian,Dutch,Portuguese,Russian,Turkish,TR_Notes,Ref_MaxLines,Ref_MaxLinePx,Ref_MaxUtf16Bytes
273,dlg_patch_lost_03_u,"An SD Card containing the update
data for StreetPass Mii Plaza is
required.","Insérez la carte SD contenant
les données de mise à jour de
la place Mii StreetPass.","Es wird eine SD Card mit
Update-Daten für die
StreetPass Mii-Lobby benötigt.","Se necesita una tarjeta SD con
los datos de la actualización de
la Plaza Mii de StreetPass.","È necessaria una scheda SD
con i dati di aggiornamento
di Piazza Mii StreetPass.","Je hebt een SD-kaart nodig
waarop de updategegevens
voor StreetPass Mii-park
zijn opgeslagen.","Necessita de um Cartão SD com os
dados de atualização da Praça Mii
StreetPass.","Необходима карта SD
с данными обновления
для Площади StreetPass Mii.","StreetPass Mii Meydanı güncelleme
verilerini içeren bir SD Kart gerekiyor.",,4,803,188
274,dlg_patch_lost_04_u,The SD Card is write-protected.,"La carte SD est protégée
en écriture.",Die SD Card ist schreibgeschützt.,"La tarjeta SD está protegida
contra escritura.","La scheda SD è protetta
da scrittura.","De SD-kaart is tegen
schrijven beveiligd.","O Cartão SD está protegido
contra escrita.",Карта SD защищена от записи.,SD Kart yazma korumalı.,,2,764,94
275,dlg_patch_lost_05_u,"Unable to find update
data on the SD Card.","Aucune donnée de sauvegarde
n'a été trouvée sur la carte SD.","Es wurden keine Update-Daten
auf der SD Card gefunden.","No se han encontrado los datos de
la actualización en la tarjeta SD.","Impossibile trovare i dati di
aggiornamento sulla scheda SD.","Er zijn geen updategegevens
gevonden op de SD-kaart.","Não foi possível detetar dados
de atualização no Cartão SD.","Невозможно найти данные
обновления на карте SD.","SD Kartta güncelleme
verileri bulunamadı.",,2,801,138
276,dlg_patch_lost_06_u,"Please move the write-protection
switch on the SD Card.","Retirez la protection
de la carte SD.","Bitte überprüfe die Position
des Schreibschutz-Schiebers
der SD Card.","Retira la protección contra
escritura de la tarjeta SD.","Sposta la levetta di protezione
da scrittura della scheda SD.","Zet de schrijfbeveiliging
op de SD-kaart uit.","Mova a patilha de proteção
contra escrita do Cartão SD.","Пожалуйста, сними защиту
от записи с карты SD.","Lütfen SD Kartın yazma koruması
anahtarını kapalı konuma getir.",,3,748,140
277,dlg_patch_lost_confirm,"Would you like to redownload
the software update data?","Télécharger à nouveau les données
de mise à jour du logiciel ?","Möchtest du die Software-Update-
Daten erneut herunterladen?","¿Quieres volver a descargar
la actualización del programa?","Vuoi scaricare di nuovo i dati
per l'aggiornamento del software?","Wil je de updategegevens
opnieuw downloaden?","Deseja voltar a descarregar
os dados de atualização?","Загрузить данные обновления
программы еще раз?","Yazılım güncelleme verileri
yeniden indirilsin mi?",,2,810,130
278,dlg_patch_lost_confirm_00,"This will allow you to play
StreetPass Mii Plaza.","Vous pourrez alors jouer
sur la place Mii StreetPass.","Das ermöglicht dir die Verwendung
der StreetPass Mii-Lobby.","Así podrás jugar a la Plaza Mii
de StreetPass.","Questo ti permetterà di giocare
a Piazza Mii StreetPass.","Hiermee kun je StreetPass
Mii-park spelen.","Dessa forma, poderá utilizar
a Praça Mii StreetPass.","После этого можно будет
играть на Площади StreetPass Mii.","Böylece StreetPass Mii Meydanı’nı
oynayabileceksin.",,2,799,120
279,dlg_patch_lost_success,"Thank you for waiting.
Have fun!","Merci d'avoir patienté.
Amusez-vous bien !","Danke für deine Geduld.
Viel Spaß!","Gracias por haber esperado.
¡Que te diviertas!","Grazie per l'attesa.
Buon divertimento!","Bedankt voor het wachten.
Veel plezier!","Obrigado por ter esperado.
Divirta-se!","Благодарим за терпение.
Всего хорошего!","Beklediğin için teşekkürler.
İyi eğlenceler!",,2,649,94
280,dlg_patch_lost_fail,Please try again.,Veuillez réessayer.,Bitte versuche es erneut.,Vuelve a intentarlo más tarde.,Prova di nuovo.,Probeer het nog eens.,Tente novamente.,"Пожалуйста, повтори попытку.",Lütfen yeniden dene.,,1,728,62
281,dlg_patch_lost_end,"Press [[CHR:E073]] to return
to the HOME Menu.","Appuyez sur [[CHR:E073]] pour retourner
au menu HOME.","Drücke [[CHR:E073]], um zum HOME-Menü
zurückzukehren.","Pulsa [[CHR:E073]]HOME para
volver al menú HOME.","Premi [[CHR:E073]] per tornare
al menu HOME.","Druk op [[CHR:E073]] om terug te gaan
naar het HOME-menu.","Prima [[CHR:E073]] para regressar
ao Menu HOME.","Нажми [[CHR:E073]], чтобы вернуться
в меню HOME.","HOME Menüsüne dönmek için
[[CHR:E073]]’a bas.",,2,744,94
282,dlg_go_gate_u,,,,,,,,,,,1,0,2
283,dlg_save_u,"Saving...
Please don't turn off the power.","Sauvegarde...
N'éteignez pas la console.","Speichervorgang...
Bitte das System nicht ausschalten.","Guardando...
No apagues la consola.","Salvataggio in corso...
Non spegnere la console.","Bezig met opslaan...
Zet het systeem niet uit.","A gravar...
Não desligue a consola.","Идет сохранение... Пожалуйста,
не выключай систему.","Kaydediliyor...
Lütfen sistemi kapatma.",,2,808,110
284,dlg_list_03_u,"Are you sure you want to add this
user to the blocked-user list?","Ajouter cet utilisateur à votre 
liste d'utilisateurs bloqués ?","Diesen Nutzer der Liste der
gesperrten Nutzer hinzufügen?","¿Seguro que quieres bloquear
a este usuario?","Vuoi aggiungere questo utente
alla lista degli utenti bloccati?","Weet je zeker dat je deze
gebruiker wilt blokkeren?","Tem a certeza de que pretende 
bloquear este utilizador?","Добавить пользователя в список
заблокированных пользователей?","Bu kullanıcıyı engellemek
istediğine emin misin?",,2,803,130
285,dlg_del_sepa_greeting03_u,"Do you really want to erase
personal greetings?","Voulez-vous vraiment effacer
les salutations personnelles ?","Möchtest du die persönlichen
Begrüßungen wirklich alle löschen?","¿Seguro que quieres borrar
los saludos personales?","Vuoi davvero cancellare
i saluti personali?","Wil je echt al je persoonlijke
begroetingen wissen?","Deseja mesmo eliminar as 
saudações individuais?","Действительно удалить
личные приветствия?","Kişisel selamlamaları gerçekten
silmek istiyor musun?",,2,807,128
286,dlg_choice_xx_u,,,,,,,,,,,1,0,2
287,dlg_choice_do_u,Yes,Oui,Ja,Sí,Sì,Ja,Sim,Да,Evet,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,83,8
288,dlg_choice_do_not_u,No,Non,Nein,No,No,Nee,Não,Нет,Hayır,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,103,10
289,dlg_choice_show_u,Yes,Oui,Anzeigen,Sí,Sì,Ja,Sim,Да,Evet,,1,209,18
290,dlg_choice_get_value_u,On,Recevoir,Empfangen,Recibir,Sì,Aan,Receber,Да (получать),Al,Bağlam diğer resmî dillerle karşılaştırıldı; İngilizcedeki genel kısa etiket Türkçede işlevine göre yerelleştirildi.,1,322,28
291,dlg_choice_not_value_u,Off,Refuser,Ablehnen,No recibir,No,Uit,Não Receber,Нет (не получать),Alma,Bağlam diğer resmî dillerle karşılaştırıldı; İngilizcedeki genel kısa etiket Türkçede işlevine göre yerelleştirildi.,1,418,36
292,dlg_choice_good_u,Yes,Oui,Ja,Sí,Sì,Ja,Sim,Да,Evet,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,83,8
293,dlg_choice_different_u,No,Non,Nein,No,No,Nee,Não,Нет,Hayır,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,103,10
294,dlg_choice_move_u,Take,Transférer,Ja,Llevar,Prendi,Pakken,Importar,Перенести,Götür,,1,248,22
295,dlg_choice_register_u,Yes,Oui,Ja,Sí,Sì,Ja,Sim,Да,Evet,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,83,8
296,dlg_choice_unregister_u,,,,,,,,,,,1,0,2
297,dlg_choice_real_delete02_u,Erase,Effacer,Löschen,Borrar,Cancella,Wissen,Apagar,Удалить,Sil,,1,193,18
298,dlg_choice_end_u,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Annuleren,Cancelar,Отмена,İptal,,1,246,20
299,dlg_choice_now_this_u,Current,Sélectionné,Ausgewählt,Opción actual,Selezionato,Momenteel,Opção Atual,Текущее,Geçerli,,1,314,28
300,dlg_choice_now_do_u,On,Oui,Ein,Sí,Sì,Aan,Sim,Да,Açık,,1,88,8
301,dlg_choice_now_do_not_u,Off,Non,Aus,No,No,Uit,Não,Нет,Kapalı,Kısa UI seçeneği. “Açık” ile tutarlı olması için standart “Kapalı” korundu; CLYT seçim alanında güvenli.,1,93,8
302,dlg_choice_now_get_u,On,Recevoir,Ein,Recibir,Sì,Aan,Sim,Да,Al,Bağlam diğer resmî dillerle karşılaştırıldı; İngilizcedeki genel kısa etiket Türkçede işlevine göre yerelleştirildi.,1,195,18
303,dlg_choice_now_not_get_u,Off,Refuser,Aus,No recibir,No,Uit,Não,Нет,Alma,Bağlam diğer resmî dillerle karşılaştırıldı; İngilizcedeki genel kısa etiket Türkçede işlevine göre yerelleştirildi.,1,222,22
304,dlg_choice_ce_u,StreetPass,StreetPass,StreetPass,StreetPass,Usa StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,,1,343,30
305,dlg_choice_entry_u,Invitations,Invitations,Fremde Mii einladen,Invitaciones,Invita Mii,Mii uitnodigen,Convites,Пригласить Mii,Davetler,,1,460,40
306,dlg_choice_value_u,Ratings,Évaluations,Bewertungen,Valoraciones,Ricevi voto,Beoordelingen,Pontuação,Рейтинги,Puanlar,,1,329,28
307,dlg_choice_omit_u,Skip Greetings,Passer salutations,Begrüßung auslassen,Omitir saludos,Salta i saluti,Begroeting overslaan,Omitir Saudações,Откл. приветствия,Selamlamaları Atla,,1,488,42
308,dlg_choice_etc_u,Other Options,Autres,Verschiedenes,Otras opciones,Altro,Overig,Outras Opções,Разное,Diğer,,1,342,30
309,dlg_choice_unconscious_ce_u,SpotPass,SpotPass,SpotPass,SpotPass,Usa SpotPass,SpotPass,SpotPass,SpotPass,SpotPass,,1,313,26
310,dlg_choice_del_sepa_greeting_u,Erase Personal Greetings,Effacer salutations perso.,Begrüßungen löschen,Borrar saludos personales,Cancella saluti personali,Begroetingen wissen,Apagar Saudações Individuais,Удалить приветствия,Kişisel Selamlamaları Sil,,1,684,58
311,dlg_choice_panel_throw_u,Give Up Puzzle Swap,Abandonner Puzzle troc,„Puzzle-Tausch“ aufgeben,Abandonar En busca del cromo,Abbandona Pazzi per i pezzi,Puzzelruil opgeven,Abandonar o Troca-Puzzle,Удалить прогресс Собери пазл,Yapboz Takası’ndan Vazgeç,,1,724,58
312,dlg_choice_legend_give_up_u,Give Up Quest,Abandonner l'aventure,Abenteuer aufgeben,Abandonar aventura,Abbandona l'avventura,Mii in misère opgeven,Abandonar O Resgate,Удалить приключения,Maceradan Vazgeç,,1,525,44
313,dlg_choice_panel_u,Puzzle Swap,Puzzle troc,Puzzle-Tausch,En busca del cromo,Pazzi per i pezzi,Puzzelruil,Troca-Puzzle,Собери пазл,Yapboz Takası,,1,452,38
314,dlg_choice_legend_u,StreetPass Quest,Mii en péril,Rette die Krone!,Rescate Mii,Libera Mii,Mii in misère,O Resgate Mii,Спаси Mii,Mii’yi Kurtar!,,1,389,34
315,dlg_choice_legend2_u,StreetPass Quest,Mii en péril,Rette die Krone!,Rescate Mii,Libera Mii,Mii in misère,O Resgate Mii,Спаси Mii,Mii’yi Kurtar!,,1,389,34
316,dlg_choice_panelplus_u,Puzzle Swap,Puzzle troc,Puzzle-Tausch,En busca del cromo,Pazzi per i pezzi,Puzzelruil,Troca-Puzzle,Собери пазл,Yapboz Takası,,1,452,38
317,dlg_choice_begin_u,Start,Oui,Beginnen,Comenzar,Inizia,Beginnen,Iniciar,Да,Başlat,,1,227,18
318,dlg_choice_not_begin_u,Don't Start,Plus tard,Nicht beginnen,No comenzar,Non iniziare,Niet beginnen,Não Iniciar,Нет,Başlatma,,1,345,30
319,dlg_choice_give_up_u,Give Up,OK,Aufgeben,Abandonar,Abbandona,Opgeven,Abandonar,Удалить,Vazgeç,,1,260,20
320,dlg_choice_really_give_up_u,Really Give Up,OK,Wirklich aufgeben,"Seguro, abandona",Abbandona davvero,Echt opgeven,Abandonar Mesmo,Действительно удалить,Gerçekten Vazgeç,,1,551,44
321,dlg_choice_back_u,Back,Retour,Zurück,Atrás,Indietro,Terug,Anterior,Назад,Geri,,1,181,18
322,dlg_choice_legend_start_u,Yes!,Oui,Ja!,¡Sí!,Sì!,Ja!,Sim!,Да!,Evet!,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,101,10
323,dlg_choice_legend_not_start_u,Maybe later...,Plus tard,Vielleicht später...,Mejor luego...,Forse più tardi...,Misschien een andere keer...,Talvez mais tarde...,"Может быть, позже...",Belki sonra...,,1,658,58
324,dlg_choice_pay_u,Use,OK,Eintauschen,Utilizar,Usa,Inwisselen,Utilizar,Да,Kullan,,1,278,24
325,dlg_choice_employ_u,Hire,OK,Anheuern,Contratar,Ingaggia,Inhuren,Contratar,Нанять,Tut,,1,220,20
326,dlg_choice_not_employ_u,Never mind,Retour,Lieber nicht...,Mejor no,Meglio di no...,Laat maar...,Não,Не надо,Boş ver,,1,330,32
327,dlg_choice_square_watch_u,View Mii,Voir ce Mii,Mii ansehen,Ver Mii,Vedi Mii,Mii bekijken,Ver Mii,Смотреть Mii,Mii’yi Gör,,1,299,26
328,dlg_choice_square_mii_edit_u,Mii Settings,Paramètres Mii,Mii-Einstellungen,Ajustes del Mii,Opzioni Mii,Mii-instellingen,Definições de Mii,Настройки Mii,Mii Ayarları,,1,392,36
329,dlg_choice_square_go_edit_u,Mii Maker,Éditeur Mii,Zum Mii-Maker,Editor de Mii,Salva Mii,Mii-maker,Editor Mii,Редактор Mii,Mii Oluşturucu,,1,341,28
330,dlg_choice_square_favorite_u,,,,,,,,,,,1,0,2
331,dlg_choice_square_delete_u,Erase,Effacer,Löschen,Borrar,Cancella Mii,Wissen,Apagar,Удалить,Sil,,1,275,26
332,dlg_choice_square_change_u,Change Mii,Changer de Mii,Mii wechseln,Cambiar Mii,Cambia Mii,Mii wijzigen,Alterar Mii,Поменять Mii,Mii’yi Değiştir,,1,346,30
333,dlg_choice_square_hat_u,Change Hat,Couvre-chef,Kopfbedeckung,Cambiar sombrero,Cambia copricapo,Hoofddeksel,Mudar Chapéu,Головной убор,Şapkayı Değiştir,,1,416,34
334,dlg_choice_square_edit_greeting_u,Edit Greeting,Salutation,Begrüßung ändern,Modificar saludo,Modifica saluto,Begroeting wijzigen,Editar Saudação,Новое приветствие,Selamlamayı Düzenle,,1,449,40
335,dlg_choice_square_edit_profile_u,Edit Profile,Modifier le profil,Profil bearbeiten,Modificar perfil,Modifica profilo,Profiel bewerken,Editar Perfil,Изменить профиль,Profili Düzenle,,1,446,38
336,dlg_choice_panel_begin_u,Collect New Pieces,Battre la campagne,Neue Puzzleteile sammeln,Proseguir búsqueda,Raccogli nuovi pezzi,Nieuwe stukjes verzamelen,Reunir Peças Novas,Собирать новые элементы,Yeni Parçalar Topla,,1,616,52
337,dlg_choice_panel_coin_u,[[CHR:E075]] Exchange Play Coins,[[CHR:E075]] Acquérir pièce de puzzle,[[CHR:E075]] Spielmünzen eintauschen,[[CHR:E075]] Comprar cromos,[[CHR:E075]] Usa monete di gioco,[[CHR:E075]] Speelmunten inwisselen,Trocar [[CHR:E075]] Moedas de Jogo,Обменять игровые монетки,[[CHR:E075]] Oyun Jetonu Kullan,,1,641,54
338,dlg_choice_panel_watch_u,View Progress,Progression,Fortschritt ansehen,Ver cromos obtenidos,Visualizza i progressi,Voortgang bekijken,Ver Progresso,Просмотр прогресса,İlerlemeyi Gör,,1,498,46
339,dlg_choice_back_edge_u,Back,Retour,Zurück,Atrás,Indietro,Terug,Anterior,Назад,Geri,,1,181,18
340,dlg_choice_legend_begin_u,Venture Forth,Partir à l'aventure,Der Krone zu Hilfe eilen,Al rescate de la corona,Salva la corona,Verdergaan,Desbravar,Навстречу приключениям,Maceraya Atıl,,1,599,50
341,dlg_choice_legend_coin_u,[[CHR:E075]] Hire a Hero,[[CHR:E075]] Enrôler un héros,[[CHR:E075]] Spielmünzen eintauschen,[[CHR:E075]] Contratar héroes,[[CHR:E075]] Ingaggia un eroe,[[CHR:E075]] Helden inhuren,[[CHR:E075]] Contratar um Herói,[[CHR:E075]] Нанять героя,[[CHR:E075]] Kahraman Tut,,1,641,52
342,dlg_choice_legend_endroll_u,Watch Ending,Revoir le générique,Credits ansehen,Ver epílogo,Guarda il finale,Credits bekijken,Ver Final,Просмотр конца игры,Finali İzle,,1,505,40
343,dlg_choice_legend_retry_u,Restart StreetPass Quest,Recommencer Mii en péril,Abenteuer neu starten,Reiniciar Rescate Mii,Ricomincia Libera Mii,Avontuur opnieuw beginnen,Reiniciar O Resgate Mii,Перезапустить Спаси Mii,Mii’yi Kurtar!’ı Baştan Başlat,,1,639,52
344,dlg_choice_legend_not_restart_u,Don't Restart,Annuler,Nicht neu starten,No reiniciar,Non ricomincio,Niet opnieuw beginnen,Não Reiniciar,Не перезапускать,Baştan Başlatma,,1,523,44
345,dlg_choice_legend_begin2_u,Venture Forth,Partir à l'aventure,Der Krone zu Hilfe eilen,Al rescate de la corona,Salva la corona,Verdergaan,Desbravar,Навстречу приключениям,Maceraya Atıl,,1,599,50
346,dlg_choice_legend_begin3_u,Begin Quest,Légende officielle,Abenteuer starten,Comenzar aventura,Comincia la missione,Avontuur beginnen,Iniciar o Resgate,Начать задание,Maceraya Başla,,1,476,42
347,dlg_choice_legend_begin4_u,Begin Secret Quest,Légende cachée,Geheimabenteuer starten,Comenzar aventura secreta,Comincia la missione segreta,Geheim avontuur beginnen,Iniciar o Resgate Secreto,Начать секретное задание,Gizli Maceraya Başla,,1,660,58
348,dlg_choice_legend_continue_u,Restart Quest,Recommencer Mii en péril II,Abenteuer neu starten,Reiniciar aventura,Ricomincia la missione,Avontuur opnieuw beginnen,Reiniciar o Resgate,Перезапустить задание,Macerayı Baştan Başlat,,1,639,56
349,dlg_choice_legend_level_not_start_u,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Annuleren,Cancelar,Отмена,İptal,,1,246,20
350,dlg_choice_map_watch_u,View Map,Voir la carte,Karte ansehen,Ver mapa,Visualizza la mappa,Kaart bekijken,Ver o Mapa,Смотреть карту,Haritayı Gör,,1,445,40
351,dlg_choice_leave_u,,,,,,,,,,,1,0,2
352,dlg_choice_good_msg_u,Accept,OK,Okay,Aceptar,OK,Oké,OK,OK,Kabul Et,,1,175,16
353,dlg_choice_change_u,Edit,Oui,Ändern,Cambiar,Cambia,Bewerken,Editar,Изменить,Düzenle,,1,221,18
354,dlg_choice_keep_u,Keep,Non,Belassen,Mantener así,Mantieni,Behouden,Manter,Оставить,Koru,,1,294,26
355,dlg_choice_rewrite_msg_u,Rewrite,Modifier,Erneut,Reescribir,Riscrivi,Opnieuw schrijven,Reescrever,Заменить,Yeniden Yaz,,1,415,36
356,dlg_choice_delete_greeting_u,Erase,Effacer,Löschen,Borrar,Cancella,Wissen,Apagar,Удалить,Sil,,1,193,18
357,dlg_choice_list_u,Add,Ajouter,Hinzufügen,Bloquear,Aggiungi,Ja,Adicionar,Да,Ekle,,1,258,22
358,dlg_choice_not_list_u,Don't Add,Ne pas ajouter,Nicht hinzufügen,No bloquear,Non aggiungere,Nee,Não Adicionar,Нет,Ekleme,,1,386,34
359,dlg_choice_card_dog_u,Dogs,Chien,Hunde,Perros,Cani,Honden,Cães,Собаки,Köpek,,1,178,14
360,dlg_choice_card_cat_u,Cats,Chat,Katzen,Gatos,Gatti,Katten,Gatos,Кошки,Kedi,Bağlam diğer resmî dillerle karşılaştırıldı; İngilizcedeki genel kısa etiket Türkçede işlevine göre yerelleştirildi.,1,154,14
361,dlg_choice_card_dream_u,[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],,1,0,10
362,dlg_choice_card_hobby_u,[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],,1,0,10
363,dlg_choice_hat_u,[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],[[TAG:1:2:]],,1,0,10
364,dlg_choice_legend_restart_u,Restart!,Recommencer !,So sei es!,¡Reinicio!,Ricomincio!,Jazeker!,Reiniciar!,Перезапуск!,Baştan başlat!,,1,355,28
365,dlg_choice_legend_restart2_u,Start over!,Depuis le début !,Von vorne beginnen!,¡Empezar de nuevo!,Ricomincio da capo!,Opnieuw beginnen!,Começar de novo!,Начать сначала!,En baştan!,,1,477,40
366,dlg_choice_legend_restart3_u,Continue!,Recommencer !,Weiter!,¡Continuar!,Continuo!,Verdergaan!,Continuar!,Продолжить!,Devam et!,,1,355,28
367,dlg_choice_legend_not_restart2_u,Never mind...,"En fait, non...",Lieber nicht...,Mejor no...,Meglio di no...,Laat maar...,É melhor não...,Не надо...,Boş ver...,,1,350,32
368,dlg_choice_listen_u,Yes,Oui,Ja,Sí,Sì,Ja,Sim,Да,Evet,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,83,8
369,dlg_choice_not_listen_u,No,Non,Nein,No,No,Nee,Não,Нет,Hayır,Kısa UI seçeneği. Doğal Türkçe Evet/Hayır biçimi korundu; CLYT seçim alanında güvenli.,1,103,10
370,dlg_choice_not_good_u,,,,,,,,,,,1,0,2
371,dlg_choice_good_02_u,,,,,,,,,,,1,0,2
372,cap_xx_u,,,,,,,,,,,1,0,2
373,cap_hat_u,Change Hat,Choix du couvre-chef,Kopfbedeckung wechseln,Cambiar sombrero,Cambia copricapo,Hoofddeksel wijzigen,Mudar Chapéu,Поменять головной убор,Şapkayı Değiştir,,1,579,46
374,cap_my_mii_u,Your StreetPass Mii,Votre Mii StreetPass,Dein StreetPass-Mii,Tu Mii StreetPass,Il tuo Mii StreetPass,Jouw StreetPass Mii,O seu Mii StreetPass,Твой StreetPass Mii,StreetPass Mii’n,,1,471,44
375,cap_ce_u,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,StreetPass,,1,241,22
376,cap_entry_u,Invitations,Invitations,Fremde Mii einladen,Invitaciones,Invita Mii,Mii uitnodigen,Convites,Приглашения,Davetler,,1,460,40
377,cap_value_u,Ratings,Évaluations,Bewertungen,Valoraciones,Ricevi voto,Beoordelingen,Pontuação,Рейтинги,Puanlar,,1,329,28
378,cap_omit_u,Skip Greetings,Passer les salutations,Begrüßungen auslassen,Omitir saludos,Salta i saluti,Begroeting overslaan,Ignorar Saudações,Пропустить приветствия,Selamlamaları Atla,,1,575,46
379,cap_del_sepa_greeting_u,Erase Personal Greetings,Effacer salutations personnelles,Persönliche Begrüßungen löschen,Borrar saludos personales,Cancella saluti personali,Persoonlijke begroetingen wissen,Apagar Saudações Individuais,Удалить личные приветствия,Kişisel Selamlamaları Sil,,1,777,66
380,cap_unconscious_u,SpotPass,SpotPass,SpotPass,SpotPass,SpotPass,SpotPass,SpotPass,SpotPass,SpotPass,,1,211,18
381,cap_legend_give_up_u,Give Up Quest,Abandonner l'aventure,Abenteuer aufgeben,Abandonar aventura,Abbandona l'avventura,Je avontuur opgeven,Abandonar o Resgate,Удалить приключения,Maceradan Vazgeç,,1,525,44
382,cap_legend_how_u,[[CHR:E075]] Hire,[[CHR:E075]] Enrôler un héros,[[CHR:E075]] Einen Helden anheuern,[[CHR:E075]] Contratar héroes,[[CHR:E075]] Ingaggia,[[CHR:E075]] Helden inhuren,[[CHR:E075]] Contratar,[[CHR:E075]] Нанять,[[CHR:E075]] Kahraman Tut,,1,594,48
383,cap_panel_how_u,[[CHR:E075]] Exchange Play Coins,[[CHR:E075]] Acquérir une pièce de puzzle,[[CHR:E075]] Spielmünzen eintauschen,[[CHR:E075]] Comprar cromos,[[CHR:E075]] Usa monete di gioco,[[CHR:E075]] Speelmunten inwisselen,Trocar [[CHR:E075]] Moedas de Jogo,[[CHR:E075]] Поменять игровые монетки,[[CHR:E075]] Oyun Jetonu Kullan,,1,723,62
384,cap_setup_u,Settings,Paramètres,Einstellungen,Configuración,Impostazioni,Instellingen,Definições,Настройки,Ayarlar,,1,317,28
385,cap_play_u,Play,Jouer,Spielen,Jugar,Gioca,Spelen,Jogar,Играть,Oyna,,1,167,16
386,cap_etc_u,Other Options,Autres,Verschiedenes,Otras opciones,Altro,Meer instellingen,Outras Opções,Разное,Diğer Seçenekler,,1,388,36
387,cap_list_u,Blocked-User Settings,Paramètres de blocage,Liste gesperrter Nutzer,Usuarios bloqueados,Impostazioni blocco utenti,Lijst met geblokkeerde gebruikers,Definições de Utilizadores Bloqueados,Настройки заблокированных пользователей,Engellenen Kullanıcı Ayarları,,1,1034,80
388,cap_make_player_name_u,Creator Name Display,Nom du créateur du Mii,Mii-Urheber anzeigen,Mostrar creador del Mii,Visualizza gli autori dei Mii,Mii-ontwerper weergeven,Ver Nome do Editor,Отображение имени создателя,Oluşturan Adını Göster,,1,725,60
389,cap_g_confirm_u,Confirm Greeting,Confirmer la salutation,Begrüßung bestätigen,Confirmar saludo,Controlla saluto,Begroeting bevestigen,Confirmar Saudação,Подтвердить приветствие,Selamlamayı Onayla,,1,604,48
390,cap_g_editing_u,Edit Greeting,Modifier la salutation,Begrüßung ändern,Modificar saludo,Modifica saluto,Begroeting wijzigen,Editar Saudação,Изменить приветствие,Selamlamayı Düzenle,,1,527,46
391,cap_piece_give_up_u,Give Up Puzzle Swap,Abandonner Puzzle troc,„Puzzle-Tausch“ aufgeben,Abandonar En busca del cromo,Abbandona Pazzi per i pezzi,Puzzelruil opgeven,Abandonar o Troca-Puzzle,Удалить прогресс Собери пазл,Yapboz Takası’ndan Vazgeç,,1,724,58
392,cap_legend_again_u,Restart StreetPass Quest,Recommencer Mii en péril,„Rette die Krone!“ erneut starten,Reiniciar Rescate Mii,Ricomincia Libera Mii,Mii in misère opnieuw beginnen,Reiniciar O Resgate Mii,Перезапустить игру Спаси Mii,Mii’yi Kurtar!’ı Baştan Başlat,,1,737,68
393,cap_legend_again2_u,Restart StreetPass Quest II,Recommencer Mii en péril II,„Rette die Krone II“ erneut starten,Reiniciar Rescate Mii II,Ricomincia Libera Mii II,Mii in misère II opnieuw beginnen,Recomeçar O Resgate Mii II,Перезапустить игру Спаси Mii II,Mii’yi Kurtar! II’yi Baştan Başlat,,1,764,72
394,cap_p_editing_u,Edit Profile,Modifier le profil,Profil bearbeiten,Modificar perfil,Modifica profilo,Profiel bewerken,Editar Perfil,Изменить профиль,Profili Düzenle,,1,446,38
395,cap_legend2_u,StreetPass Quest II,Mii en péril II,Rette die Krone II,Rescate Mii II,Libera Mii II,Mii in misère II,O Resgate Mii II,Спаси Mii II,Mii’yi Kurtar! II,,1,433,40
396,cap_patch,StreetPass Mii Plaza,Place Mii StreetPass,StreetPass Mii-Lobby,Plaza Mii de StreetPass,Piazza Mii StreetPass,StreetPass Mii-park,Praça Mii StreetPass,Площадь StreetPass Mii,StreetPass Mii Meydanı,,1,543,48
397,cap_p_g_u,,,,,,,,,,,1,0,2
398,main_xx_u,,,,,,,,,,,1,0,2
